Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.25,5,False,,
Runde2,16.75,5,False,Bertha: positive | Linzy: positive,Bertha: 10 | Linzy: 10
Runde3,29.5,7,False,Caroljean: positive | Linzy: positive | Zenia: positive | Willamina: positive | Eleanore: positive,Caroljean: 10 | Linzy: 10.0 | Zenia: 10 | Willamina: 10 | Eleanore: 10
Runde4,60.5,0,False,Zenia: positive | Eleanore: positive | Jonis: positive,Zenia: 10.0 | Eleanore: 10.0 | Jonis: 10
Runde5,89.75,0,False,Aileen: positive | Arlen: positive | Zenia: positive | Willamina: positive | Eleanore: positive | Jonis: positive,Aileen: 10 | Arlen: 10 | Zenia: 10.0 | Willamina: 10.0 | Eleanore: 10.0 | Jonis: 10.0
Runde6,124.75,0,False,Caroljean: positive | Aileen: negative,Caroljean: 10.0 | Aileen: 5.5
Runde7,145.0,3,False,Odelle: negative | Caroljean: negative | Bertha: negative | Aileen: negative | Eleanore: negative,Odelle: 1 | Caroljean: 7.428571428571429 | Bertha: 5.5 | Aileen: 4.857142857142857 | Eleanore: 8.2
Runde8,173.75,18,True,Bertha: negative | Jacky: negative | Aileen: negative | Kare: negative | Linzy: negative | Zenia: negative | Willamina: negative | Eleanore: negative,Bertha: 4.857142857142857 | Jacky: 1 | Aileen: 4.6 | Kare: 1 | Linzy: 7.428571428571429 | Zenia: 8.2 | Willamina: 7.428571428571429 | Eleanore: 7.230769230769231
Runde9,205.5,7,True,Caroljean: negative | Kare: negative | Gretta: negative | Jonis: negative,Caroljean: 6.4 | Kare: 1.0 | Gretta: 1 | Jonis: 7.428571428571429
Runde10,249.75,7,True,Bertha: negative | Arlen: negative | Zenia: negative | Gus: negative | Willamina: negative | Eleanore: negative | Jonis: negative,Bertha: 4.6 | Arlen: 5.5 | Zenia: 7.230769230769231 | Gus: 1 | Willamina: 6.4 | Eleanore: 6.625 | Jonis: 6.4
Runde11,275.75,20,True,Aileen: negative | Linzy: negative | Zenia: negative | Willamina: negative | Eleanore: negative,Aileen: 4.461538461538462 | Linzy: 6.4 | Zenia: 6.625 | Willamina: 5.846153846153846 | Eleanore: 6.2105263157894735
Runde12,322.5,0,True,Caroljean: negative | Kare: negative | Linzy: negative | Willamina: negative | Eleanore: negative | Jonis: negative,Caroljean: 5.846153846153846 | Kare: 1.0 | Linzy: 5.846153846153846 | Willamina: 5.5 | Eleanore: 5.909090909090909 | Jonis: 5.846153846153846
Runde13,349.75,17,True,Bertha: negative | Aileen: negative | Kare: negative | Gretta: negative,Bertha: 4.461538461538462 | Aileen: 4.375 | Kare: 1.0 | Gretta: 1.0
Runde14,380.75,20,True,Odelle: negative | Jacky: negative | Aileen: negative | Arlen: negative | Willamina: negative | Gretta: negative | Jonis: negative,Odelle: 1.0 | Jacky: 1.0 | Aileen: 4.315789473684211 | Arlen: 4.857142857142857 | Willamina: 5.2631578947368425 | Gretta: 1.0 | Jonis: 5.5
Runde15,404.25,18,True,Odelle: negative | Kare: negative | Linzy: negative | Zenia: negative | Willamina: negative | Jonis: negative,Odelle: 1.0 | Kare: 1.0 | Linzy: 5.5 | Zenia: 6.2105263157894735 | Willamina: 5.090909090909091 | Jonis: 5.2631578947368425
Runde16,430.5,19,True,Odelle: negative | Caroljean: negative | Bertha: negative | Jacky: negative | Aileen: negative | Kare: negative | Linzy: negative | Zenia: negative | Willamina: negative | Gretta: negative | Eleanore: negative | Jonis: negative,Odelle: 1.0 | Caroljean: 5.5 | Bertha: 4.375 | Jacky: 1.0 | Aileen: 4.2727272727272725 | Kare: 1.0 | Linzy: 5.2631578947368425 | Zenia: 5.909090909090909 | Willamina: 4.96 | Gretta: 1.0 | Eleanore: 5.68 | Jonis: 5.090909090909091
Runde17,476.5,0,True,Odelle: negative | Arlen: negative | Gus: negative | Eleanore: negative | Jonis: negative,Odelle: 1.0 | Arlen: 4.6 | Gus: 1.0 | Eleanore: 5.5 | Jonis: 4.96
Runde18,502.25,12,False,Odelle: negative | Caroljean: negative | Arlen: negative | Linzy: negative | Willamina: negative | Gretta: negative | Eleanore: negative,Odelle: 1.0 | Caroljean: 5.2631578947368425 | Arlen: 4.461538461538462 | Linzy: 5.090909090909091 | Willamina: 4.857142857142857 | Gretta: 1.0 | Eleanore: 5.354838709677419
Runde19,539.25,19,True,Linzy: negative | Eleanore: negative,Linzy: 4.96 | Eleanore: 5.235294117647059
Runde20,563.0,19,True,Caroljean: negative | Bertha: negative | Aileen: negative | Kare: negative | Linzy: negative | Willamina: negative | Gretta: negative | Eleanore: negative,Caroljean: 5.090909090909091 | Bertha: 4.315789473684211 | Aileen: 4.24 | Kare: 1.0 | Linzy: 4.857142857142857 | Willamina: 4.774193548387097 | Gretta: 1.0 | Eleanore: 5.135135135135135
Runde21,585.75,19,True,Jacky: negative | Kare: negative | Arlen: negative | Zenia: negative | Gus: negative | Willamina: negative | Eleanore: negative | Jonis: negative,Jacky: 1.0 | Kare: 1.0 | Arlen: 4.375 | Zenia: 5.68 | Gus: 1.0 | Willamina: 4.705882352941177 | Eleanore: 5.05 | Jonis: 4.857142857142857
Runde22,612.75,17,True,Caroljean: negative | Kare: negative | Linzy: negative | Zenia: negative | Eleanore: negative,Caroljean: 4.96 | Kare: 1.0 | Linzy: 4.774193548387097 | Zenia: 5.5 | Eleanore: 4.976744186046512
Runde23,639.75,14,True,Odelle: negative | Jacky: negative | Aileen: negative | Kare: negative | Arlen: negative | Gus: negative | Gretta: negative | Eleanore: negative,Odelle: 1.0 | Jacky: 1.0 | Aileen: 4.214285714285714 | Kare: 1.0 | Arlen: 4.315789473684211 | Gus: 1.0 | Gretta: 1.0 | Eleanore: 4.913043478260869
Runde24,677.75,7,True,Odelle: negative | Bertha: negative | Kare: negative | Linzy: negative | Gus: negative | Gretta: negative | Jonis: negative,Odelle: 1.0 | Bertha: 4.2727272727272725 | Kare: 1.0 | Linzy: 4.705882352941177 | Gus: 1.0 | Gretta: 1.0 | Jonis: 4.774193548387097
Runde25,,,False,,
