Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,12.75,3,False,,
Runde2,39.75,0,False,Julie: positive | Mara: positive | Ranna: positive | Faythe: positive,Julie: 10 | Mara: 10 | Ranna: 10 | Faythe: 10
Runde3,67.5,9,False,Marna: positive,Marna: 10
Runde4,125.0,0,False,Melania: negative | Ranna: negative | Alane: positive | Henryetta: negative | Faythe: negative,Melania: 1 | Ranna: 5.5 | Alane: 10 | Henryetta: 1 | Faythe: 5.5
Runde5,156.75,18,False,Melania: negative | Julie: positive | Justina: positive | Mildred: positive | Faythe: negative | Marna: positive,Melania: 1.0 | Julie: 10.0 | Justina: 10 | Mildred: 10 | Faythe: 4.857142857142857 | Marna: 10.0
Runde6,205.0,19,True,Justina: negative | Renee: negative | Scarlet: negative | Charisse: negative | Jody: negative | Retha: negative | Marna: negative,Justina: 5.5 | Renee: 1 | Scarlet: 1 | Charisse: 1 | Jody: 1 | Retha: 1 | Marna: 7.428571428571429
Runde7,272.25,14,True,Latashia: negative | Mildred: negative,Latashia: 1 | Mildred: 5.5
Runde8,345.0,2,True,Quinta: negative | Melania: negative | Renee: negative | Latashia: negative | Mildred: negative | Alane: negative | Faythe: negative,Quinta: 1 | Melania: 1.0 | Renee: 1.0 | Latashia: 1.0 | Mildred: 4.857142857142857 | Alane: 5.5 | Faythe: 4.6
Runde9,408.0,10,True,Quinta: negative | Melania: negative | Renee: negative | Scarlet: negative | Charisse: negative | Marylou: negative | Jody: negative | Shirlene: negative | Alane: negative | Henryetta: negative | Faythe: negative | Marna: negative,Quinta: 1.0 | Melania: 1.0 | Renee: 1.0 | Scarlet: 1.0 | Charisse: 1.0 | Marylou: 1 | Jody: 1.0 | Shirlene: 1 | Alane: 4.857142857142857 | Henryetta: 1.0 | Faythe: 4.461538461538462 | Marna: 6.4
Runde10,474.5,20,True,Quinta: negative | Julie: negative | Justina: negative | Renee: negative | Scarlet: negative | Charisse: negative | Marylou: negative | Latashia: negative | Ranna: negative | Darice: negative | Mildred: negative | Henryetta: negative | Marna: negative,Quinta: 1.0 | Julie: 7.428571428571429 | Justina: 4.857142857142857 | Renee: 1.0 | Scarlet: 1.0 | Charisse: 1.0 | Marylou: 1.0 | Latashia: 1.0 | Ranna: 4.857142857142857 | Darice: 1 | Mildred: 4.6 | Henryetta: 1.0 | Marna: 5.846153846153846
Runde11,556.5,13,True,Julie: negative | Justina: negative | Renee: negative | Mara: negative | Ranna: negative | Alane: negative | Retha: negative | Faythe: negative,Julie: 6.4 | Justina: 4.6 | Renee: 1.0 | Mara: 5.5 | Ranna: 4.6 | Alane: 4.6 | Retha: 1.0 | Faythe: 4.375
Runde12,629.25,8,True,Melania: negative | Julie: negative | Renee: negative | Charisse: negative | Ranna: negative | Alane: negative | Retha: negative,Melania: 1.0 | Julie: 5.846153846153846 | Renee: 1.0 | Charisse: 1.0 | Ranna: 4.461538461538462 | Alane: 4.461538461538462 | Retha: 1.0
Runde13,704.75,2,True,Quinta: negative | Melania: negative | Julie: negative | Justina: negative | Renee: negative | Scarlet: negative | Charisse: negative | Marylou: negative | Jody: negative | Darice: negative | Shirlene: negative | Retha: negative | Faythe: negative | Marna: negative,Quinta: 1.0 | Melania: 1.0 | Julie: 5.5 | Justina: 4.461538461538462 | Renee: 1.0 | Scarlet: 1.0 | Charisse: 1.0 | Marylou: 1.0 | Jody: 1.0 | Darice: 1.0 | Shirlene: 1.0 | Retha: 1.0 | Faythe: 4.315789473684211 | Marna: 5.5
Runde14,765.5,11,True,Quinta: negative | Melania: negative | Julie: negative | Marylou: negative | Mara: negative | Darice: negative | Mildred: negative | Shirlene: negative | Retha: negative | Henryetta: negative | Faythe: negative,Quinta: 1.0 | Melania: 1.0 | Julie: 5.2631578947368425 | Marylou: 1.0 | Mara: 4.857142857142857 | Darice: 1.0 | Mildred: 4.461538461538462 | Shirlene: 1.0 | Retha: 1.0 | Henryetta: 1.0 | Faythe: 4.2727272727272725
Runde15,836.25,12,True,Quinta: negative | Julie: negative | Scarlet: negative | Charisse: negative | Mara: negative | Ranna: negative | Alane: negative | Faythe: negative | Marna: negative,Quinta: 1.0 | Julie: 5.090909090909091 | Scarlet: 1.0 | Charisse: 1.0 | Mara: 4.6 | Ranna: 4.375 | Alane: 4.375 | Faythe: 4.24 | Marna: 5.2631578947368425
Runde16,871.25,16,False,Quinta: negative | Melania: negative | Justina: negative | Renee: negative | Scarlet: negative | Jody: negative | Ranna: negative | Mildred: negative | Shirlene: negative | Alane: negative | Retha: negative,Quinta: 1.0 | Melania: 1.0 | Justina: 4.375 | Renee: 1.0 | Scarlet: 1.0 | Jody: 1.0 | Ranna: 4.315789473684211 | Mildred: 4.375 | Shirlene: 1.0 | Alane: 4.315789473684211 | Retha: 1.0
