Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,12.75,3,False,,
Runde2,28.75,11,False,Justina: positive | Renee: positive | Mara: positive | Ranna: positive | Darice: positive,Justina: 10 | Renee: 10 | Mara: 10 | Ranna: 10 | Darice: 10
Runde3,61.5,4,False,Ranna: positive | Mildred: positive | Alane: positive | Retha: positive,Ranna: 10.0 | Mildred: 10 | Alane: 10 | Retha: 10
Runde4,112.0,1,False,Quinta: positive | Justina: positive | Darice: positive,Quinta: 10 | Justina: 10.0 | Darice: 10.0
Runde5,148.75,13,False,Justina: positive | Renee: positive | Scarlet: positive | Marylou: positive | Latashia: positive | Darice: positive | Henryetta: positive,Justina: 10.0 | Renee: 10.0 | Scarlet: 10 | Marylou: 10 | Latashia: 10 | Darice: 10.0 | Henryetta: 10
Runde6,188.0,7,True,Quinta: positive | Charisse: negative | Marylou: negative | Shirlene: negative | Alane: negative | Retha: negative | Henryetta: positive,Quinta: 10.0 | Charisse: 1 | Marylou: 5.5 | Shirlene: 1 | Alane: 5.5 | Retha: 5.5 | Henryetta: 10.0
Runde7,241.25,10,True,Quinta: positive | Marylou: negative | Jody: positive | Darice: positive | Shirlene: positive | Henryetta: negative | Marna: negative,Quinta: 10.0 | Marylou: 4.857142857142857 | Jody: 10 | Darice: 10.0 | Shirlene: 5.5 | Henryetta: 7.428571428571429 | Marna: 1
Runde8,275.0,14,True,Quinta: positive | Scarlet: positive | Charisse: positive | Jody: positive | Mildred: positive | Retha: positive,Quinta: 10.0 | Scarlet: 10.0 | Charisse: 5.5 | Jody: 10.0 | Mildred: 10.0 | Retha: 7.428571428571429
Runde9,312.0,3,True,Melania: positive | Julie: positive | Renee: positive | Charisse: positive | Latashia: positive | Ranna: positive | Shirlene: positive,Melania: 10 | Julie: 10 | Renee: 10.0 | Charisse: 6.142857142857143 | Latashia: 10.0 | Ranna: 10.0 | Shirlene: 6.142857142857143
Runde10,355.5,7,True,Renee: positive | Charisse: positive | Marylou: positive | Jody: positive | Ranna: positive | Alane: positive | Retha: positive,Renee: 10.0 | Charisse: 6.4 | Marylou: 6.4 | Jody: 10.0 | Ranna: 10.0 | Alane: 7.428571428571429 | Retha: 8.2
Runde11,394.5,20,True,Latashia: positive | Brandice: positive | Henryetta: positive,Latashia: 10.0 | Brandice: 10 | Henryetta: 8.2
Runde12,430.25,9,True,Quinta: positive | Melania: positive | Justina: positive | Renee: positive | Charisse: positive | Marylou: positive | Shirlene: positive | Brandice: positive | Henryetta: positive,Quinta: 10.0 | Melania: 10.0 | Justina: 10.0 | Renee: 10.0 | Charisse: 6.538461538461538 | Marylou: 7.230769230769231 | Shirlene: 6.4 | Brandice: 10.0 | Henryetta: 8.615384615384615
Runde13,460.75,11,True,Melania: positive | Scarlet: positive | Charisse: positive | Ranna: positive | Darice: positive | Shirlene: positive | Brandice: positive | Henryetta: positive,Melania: 10.0 | Scarlet: 10.0 | Charisse: 6.625 | Ranna: 10.0 | Darice: 10.0 | Shirlene: 6.538461538461538 | Brandice: 10.0 | Henryetta: 8.875
Runde14,487.5,9,True,Renee: positive | Marylou: positive | Jody: positive | Mara: positive | Alane: positive | Marna: positive,Renee: 10.0 | Marylou: 7.75 | Jody: 10.0 | Mara: 10.0 | Alane: 8.2 | Marna: 5.5
Runde15,523.25,11,True,Quinta: positive | Melania: positive | Justina: positive | Latashia: positive | Retha: positive,Quinta: 10.0 | Melania: 10.0 | Justina: 10.0 | Latashia: 10.0 | Retha: 8.615384615384615
Runde16,563.25,11,False,Melania: positive | Renee: positive | Scarlet: positive | Charisse: positive | Jody: positive | Latashia: positive | Darice: positive | Brandice: positive | Marna: positive,Melania: 10.0 | Renee: 10.0 | Scarlet: 10.0 | Charisse: 6.684210526315789 | Jody: 10.0 | Latashia: 10.0 | Darice: 10.0 | Brandice: 10.0 | Marna: 6.142857142857143
Runde17,601.75,1,True,Quinta: positive | Melania: positive | Scarlet: positive | Mildred: positive | Alane: positive | Retha: positive | Brandice: positive,Quinta: 10.0 | Melania: 10.0 | Scarlet: 10.0 | Mildred: 10.0 | Alane: 8.615384615384615 | Retha: 8.875 | Brandice: 10.0
Runde18,639.5,7,True,Charisse: positive | Mildred: positive | Alane: positive,Charisse: 6.7272727272727275 | Mildred: 10.0 | Alane: 8.875
Runde19,683.75,6,True,Melania: positive | Julie: positive | Justina: positive | Alane: positive | Henryetta: positive | Marna: positive,Melania: 10.0 | Julie: 10.0 | Justina: 10.0 | Alane: 9.052631578947368 | Henryetta: 9.052631578947368 | Marna: 6.4
