Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,12.75,3,False,,
Runde2,39.75,0,False,Julie: positive | Renee: positive | Mara: positive,Julie: 10 | Renee: 10 | Mara: 10
Runde3,75.5,1,False,Mildred: positive | Retha: positive,Mildred: 10 | Retha: 10
Runde4,121.0,18,True,Melania: negative | Latashia: negative | Ranna: negative | Mildred: negative | Alane: positive | Marna: negative,Melania: 1 | Latashia: 1 | Ranna: 1 | Mildred: 5.5 | Alane: 10 | Marna: 1
Runde5,168.75,2,False,Melania: negative | Charisse: negative | Jody: negative | Mara: negative | Shirlene: negative | Alane: negative | Brandice: negative,Melania: 1.0 | Charisse: 1 | Jody: 1 | Mara: 5.5 | Shirlene: 1 | Alane: 5.5 | Brandice: 1
Runde6,247.0,1,True,Melania: negative | Justina: negative | Renee: negative | Mara: negative | Darice: negative | Mildred: negative | Retha: negative | Faythe: negative,Melania: 1.0 | Justina: 1 | Renee: 5.5 | Mara: 4.857142857142857 | Darice: 1 | Mildred: 4.857142857142857 | Retha: 5.5 | Faythe: 1
Runde7,321.25,19,True,Melania: negative | Julie: negative | Renee: negative | Scarlet: negative | Jody: negative | Latashia: negative | Mildred: negative | Retha: negative | Faythe: negative | Marna: negative,Melania: 1.0 | Julie: 5.5 | Renee: 4.857142857142857 | Scarlet: 1 | Jody: 1.0 | Latashia: 1.0 | Mildred: 4.6 | Retha: 4.857142857142857 | Faythe: 1.0 | Marna: 1.0
Runde8,393.0,12,True,Justina: negative | Latashia: negative | Mara: negative | Darice: negative | Mildred: negative | Alane: negative | Faythe: negative | Marna: negative,Justina: 1.0 | Latashia: 1.0 | Mara: 4.6 | Darice: 1.0 | Mildred: 4.461538461538462 | Alane: 4.857142857142857 | Faythe: 1.0 | Marna: 1.0
Runde9,464.0,5,True,Julie: negative | Renee: negative | Scarlet: negative | Charisse: negative | Jody: negative | Mara: negative | Ranna: negative | Darice: negative | Mildred: negative | Alane: negative | Faythe: negative,Julie: 4.857142857142857 | Renee: 4.6 | Scarlet: 1.0 | Charisse: 1.0 | Jody: 1.0 | Mara: 4.461538461538462 | Ranna: 1.0 | Darice: 1.0 | Mildred: 4.375 | Alane: 4.6 | Faythe: 1.0
Runde10,546.5,4,True,Melania: negative | Julie: negative | Justina: negative | Scarlet: negative | Charisse: negative | Mara: negative | Ranna: negative | Shirlene: negative | Faythe: negative,Melania: 1.0 | Julie: 4.6 | Justina: 1.0 | Scarlet: 1.0 | Charisse: 1.0 | Mara: 4.375 | Ranna: 1.0 | Shirlene: 1.0 | Faythe: 1.0
Runde11,632.5,12,True,Melania: negative | Justina: negative | Scarlet: negative | Latashia: negative | Ranna: negative | Henryetta: negative | Marna: negative,Melania: 1.0 | Justina: 1.0 | Scarlet: 1.0 | Latashia: 1.0 | Ranna: 1.0 | Henryetta: 1 | Marna: 1.0
Runde12,718.25,1,True,Quinta: negative | Melania: negative | Renee: negative | Scarlet: negative | Ranna: negative | Alane: negative | Brandice: negative | Marna: negative,Quinta: 1 | Melania: 1.0 | Renee: 4.461538461538462 | Scarlet: 1.0 | Ranna: 1.0 | Alane: 4.461538461538462 | Brandice: 1.0 | Marna: 1.0
Runde13,789.75,12,True,Scarlet: negative | Darice: negative | Shirlene: negative | Retha: negative | Faythe: negative,Scarlet: 1.0 | Darice: 1.0 | Shirlene: 1.0 | Retha: 4.6 | Faythe: 1.0
Runde14,862.5,5,True,Melania: negative | Julie: negative | Scarlet: negative | Charisse: negative | Mara: negative | Shirlene: negative | Alane: negative | Retha: negative | Marna: negative,Melania: 1.0 | Julie: 4.461538461538462 | Scarlet: 1.0 | Charisse: 1.0 | Mara: 4.315789473684211 | Shirlene: 1.0 | Alane: 4.375 | Retha: 4.461538461538462 | Marna: 1.0
Runde15,939.25,12,True,Quinta: negative | Julie: negative | Renee: negative | Charisse: negative | Mara: negative | Ranna: negative | Alane: negative | Brandice: negative | Faythe: negative,Quinta: 1.0 | Julie: 4.375 | Renee: 4.375 | Charisse: 1.0 | Mara: 4.2727272727272725 | Ranna: 1.0 | Alane: 4.315789473684211 | Brandice: 1.0 | Faythe: 1.0
Runde16,990.25,0,False,Quinta: negative | Melania: negative | Renee: negative | Scarlet: negative | Charisse: negative | Jody: negative | Mara: negative | Ranna: negative | Mildred: negative | Retha: negative | Brandice: negative | Faythe: negative,Quinta: 1.0 | Melania: 1.0 | Renee: 4.315789473684211 | Scarlet: 1.0 | Charisse: 1.0 | Jody: 1.0 | Mara: 4.24 | Ranna: 1.0 | Mildred: 4.315789473684211 | Retha: 4.375 | Brandice: 1.0 | Faythe: 1.0
