Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,15.75,0,False,,
Runde2,39.75,3,False,Ranna: positive,Ranna: 10
Runde3,72.5,4,False,Darice: positive | Retha: positive | Faythe: positive,Darice: 10 | Retha: 10 | Faythe: 10
Runde4,136.0,3,True,Charisse: negative | Marylou: negative | Latashia: negative | Mildred: negative | Marna: negative,Charisse: 1 | Marylou: 1 | Latashia: 1 | Mildred: 1 | Marna: 1
Runde5,180.75,5,True,Justina: positive | Jody: negative | Shirlene: negative | Brandice: negative,Justina: 10 | Jody: 1 | Shirlene: 1 | Brandice: 1
Runde6,254.0,6,True,Scarlet: negative | Mara: negative | Mildred: negative | Alane: negative | Retha: negative | Faythe: negative,Scarlet: 1 | Mara: 1 | Mildred: 1.0 | Alane: 1 | Retha: 5.5 | Faythe: 5.5
Runde7,346.25,7,True,Quinta: negative | Julie: negative | Renee: negative | Latashia: negative | Mildred: negative | Retha: negative | Marna: negative,Quinta: 1 | Julie: 1 | Renee: 1 | Latashia: 1.0 | Mildred: 1.0 | Retha: 4.857142857142857 | Marna: 1.0
Runde8,430.0,9,True,Julie: negative | Justina: negative | Renee: negative | Mara: negative | Darice: negative | Henryetta: negative | Faythe: negative | Marna: negative,Julie: 1.0 | Justina: 5.5 | Renee: 1.0 | Mara: 1.0 | Darice: 5.5 | Henryetta: 1 | Faythe: 4.857142857142857 | Marna: 1.0
Runde9,508.0,7,True,Scarlet: negative | Charisse: negative | Marylou: negative | Darice: negative | Shirlene: negative | Alane: negative | Retha: negative | Faythe: negative,Scarlet: 1.0 | Charisse: 1.0 | Marylou: 1.0 | Darice: 4.857142857142857 | Shirlene: 1.0 | Alane: 1.0 | Retha: 4.6 | Faythe: 4.6
Runde10,596.5,7,True,Justina: negative | Scarlet: negative | Charisse: negative | Latashia: negative | Mara: negative | Ranna: negative | Mildred: negative | Retha: negative | Marna: negative,Justina: 4.857142857142857 | Scarlet: 1.0 | Charisse: 1.0 | Latashia: 1.0 | Mara: 1.0 | Ranna: 5.5 | Mildred: 1.0 | Retha: 4.461538461538462 | Marna: 1.0
Runde11,688.5,12,True,Julie: negative | Charisse: negative | Jody: negative | Latashia: negative | Shirlene: negative | Alane: negative | Retha: negative | Faythe: negative | Marna: negative,Julie: 1.0 | Charisse: 1.0 | Jody: 1.0 | Latashia: 1.0 | Shirlene: 1.0 | Alane: 1.0 | Retha: 4.375 | Faythe: 4.461538461538462 | Marna: 1.0
Runde12,766.25,12,True,Quinta: negative | Julie: negative | Justina: negative | Renee: negative | Charisse: negative | Marylou: negative | Shirlene: negative | Alane: negative | Retha: negative | Brandice: negative,Quinta: 1.0 | Julie: 1.0 | Justina: 4.6 | Renee: 1.0 | Charisse: 1.0 | Marylou: 1.0 | Shirlene: 1.0 | Alane: 1.0 | Retha: 4.315789473684211 | Brandice: 1.0
