Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,10.75,5,False,,
Runde2,32.75,5,False,Julie: positive | Renee: positive | Mara: positive | Darice: positive | Faythe: positive,Julie: 10 | Renee: 10 | Mara: 10 | Darice: 10 | Faythe: 10
Runde3,60.5,9,False,Charisse: positive | Latashia: positive | Darice: positive | Mildred: positive | Shirlene: positive | Alane: positive,Charisse: 10 | Latashia: 10 | Darice: 10.0 | Mildred: 10 | Shirlene: 10 | Alane: 10
Runde4,104.0,8,False,Julie: positive | Scarlet: positive | Jody: positive | Mara: positive | Darice: positive | Shirlene: positive | Brandice: positive,Julie: 10.0 | Scarlet: 10 | Jody: 10 | Mara: 10.0 | Darice: 10.0 | Shirlene: 10.0 | Brandice: 10
Runde5,137.75,16,False,Justina: positive | Renee: positive | Scarlet: positive | Charisse: positive | Marylou: positive | Latashia: positive | Darice: positive | Retha: positive | Henryetta: positive | Marna: positive,Justina: 10 | Renee: 10.0 | Scarlet: 10.0 | Charisse: 10.0 | Marylou: 10 | Latashia: 10.0 | Darice: 10.0 | Retha: 10 | Henryetta: 10 | Marna: 10
Runde6,170.0,14,False,Julie: positive | Renee: positive | Latashia: positive | Ranna: positive | Mildred: positive | Henryetta: positive | Marna: positive,Julie: 10.0 | Renee: 10.0 | Latashia: 10.0 | Ranna: 10 | Mildred: 10.0 | Henryetta: 10.0 | Marna: 10.0
Runde7,214.25,13,True,Melania: positive | Justina: positive | Jody: positive | Mara: positive | Darice: positive | Retha: positive | Brandice: positive | Faythe: positive,Melania: 10 | Justina: 10.0 | Jody: 10.0 | Mara: 10.0 | Darice: 10.0 | Retha: 10.0 | Brandice: 10.0 | Faythe: 10.0
Runde8,253.0,9,True,Melania: positive | Scarlet: positive | Jody: positive | Mara: positive | Shirlene: positive | Alane: positive | Retha: positive | Henryetta: positive | Faythe: positive | Marna: positive,Melania: 10.0 | Scarlet: 10.0 | Jody: 10.0 | Mara: 10.0 | Shirlene: 10.0 | Alane: 10.0 | Retha: 10.0 | Henryetta: 10.0 | Faythe: 10.0 | Marna: 10.0
Runde9,291.0,2,True,Julie: positive | Justina: positive | Renee: positive | Jody: positive | Ranna: positive | Darice: positive | Shirlene: positive,Julie: 10.0 | Justina: 10.0 | Renee: 10.0 | Jody: 10.0 | Ranna: 10.0 | Darice: 10.0 | Shirlene: 10.0
Runde10,325.5,16,True,Melania: positive | Julie: positive | Justina: positive | Marylou: positive | Jody: positive | Ranna: positive | Retha: positive,Melania: 10.0 | Julie: 10.0 | Justina: 10.0 | Marylou: 10.0 | Jody: 10.0 | Ranna: 10.0 | Retha: 10.0
Runde11,371.5,13,True,Melania: positive | Julie: positive | Charisse: positive | Jody: positive | Latashia: positive | Darice: positive | Mildred: positive | Brandice: positive | Marna: positive,Melania: 10.0 | Julie: 10.0 | Charisse: 10.0 | Jody: 10.0 | Latashia: 10.0 | Darice: 10.0 | Mildred: 10.0 | Brandice: 10.0 | Marna: 10.0
Runde12,413.25,3,True,Melania: positive | Julie: positive | Justina: positive | Jody: positive | Latashia: positive | Shirlene: positive | Marna: positive,Melania: 10.0 | Julie: 10.0 | Justina: 10.0 | Jody: 10.0 | Latashia: 10.0 | Shirlene: 10.0 | Marna: 10.0
Runde13,452.75,2,True,Justina: positive | Jody: positive | Mara: positive | Ranna: positive | Darice: positive | Shirlene: positive | Brandice: positive | Henryetta: positive,Justina: 10.0 | Jody: 10.0 | Mara: 10.0 | Ranna: 10.0 | Darice: 10.0 | Shirlene: 10.0 | Brandice: 10.0 | Henryetta: 10.0
Runde14,477.5,11,True,Melania: positive | Marylou: positive | Jody: positive | Latashia: positive | Mara: positive | Darice: positive | Alane: positive,Melania: 10.0 | Marylou: 10.0 | Jody: 10.0 | Latashia: 10.0 | Mara: 10.0 | Darice: 10.0 | Alane: 10.0
Runde15,523.25,1,True,Melania: positive | Justina: positive | Renee: positive | Marylou: positive | Mara: positive | Brandice: positive | Faythe: positive,Melania: 10.0 | Justina: 10.0 | Renee: 10.0 | Marylou: 10.0 | Mara: 10.0 | Brandice: 10.0 | Faythe: 10.0
Runde16,568.25,6,False,Melania: positive | Julie: positive | Justina: positive | Renee: positive | Scarlet: positive | Charisse: positive | Marylou: positive | Ranna: positive | Mildred: positive | Faythe: positive | Marna: positive,Melania: 10.0 | Julie: 10.0 | Justina: 10.0 | Renee: 10.0 | Scarlet: 10.0 | Charisse: 10.0 | Marylou: 10.0 | Ranna: 10.0 | Mildred: 10.0 | Faythe: 10.0 | Marna: 10.0
Runde17,591.75,16,True,Charisse: positive | Jody: positive | Darice: positive | Shirlene: positive | Brandice: positive | Faythe: positive,Charisse: 10.0 | Jody: 10.0 | Darice: 10.0 | Shirlene: 10.0 | Brandice: 10.0 | Faythe: 10.0
Runde18,632.5,4,True,Renee: positive | Scarlet: positive | Jody: positive | Ranna: positive | Mildred: positive | Retha: positive | Marna: positive,Renee: 10.0 | Scarlet: 10.0 | Jody: 10.0 | Ranna: 10.0 | Mildred: 10.0 | Retha: 10.0 | Marna: 10.0
Runde19,680.75,2,True,Charisse: positive | Marylou: positive | Jody: positive | Shirlene: positive,Charisse: 10.0 | Marylou: 10.0 | Jody: 10.0 | Shirlene: 10.0
Runde20,709.25,20,True,Melania: positive | Retha: positive | Faythe: positive,Melania: 10.0 | Retha: 10.0 | Faythe: 10.0
