Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,11.75,4,False,,
Runde2,32.75,6,False,Justina: positive | Darice: positive | Faythe: positive,Justina: 10 | Darice: 10 | Faythe: 10
Runde3,65.5,4,False,Quinta: positive | Scarlet: positive | Latashia: positive | Alane: positive | Retha: positive,Quinta: 10 | Scarlet: 10 | Latashia: 10 | Alane: 10 | Retha: 10
Runde4,107.0,10,True,Jody: positive | Mara: positive | Darice: positive | Alane: positive,Jody: 10 | Mara: 10 | Darice: 10.0 | Alane: 10.0
Runde5,143.75,13,False,Renee: positive | Jody: negative | Retha: positive | Faythe: negative | Marna: positive,Renee: 10 | Jody: 5.5 | Retha: 10.0 | Faythe: 5.5 | Marna: 10
Runde6,178.0,12,True,Quinta: positive | Renee: positive | Retha: negative | Brandice: positive | Henryetta: positive | Faythe: positive,Quinta: 10.0 | Renee: 10.0 | Retha: 7.428571428571429 | Brandice: 10 | Henryetta: 10 | Faythe: 7.428571428571429
Runde7,230.25,5,True,Quinta: positive | Scarlet: positive | Darice: positive | Mildred: positive | Shirlene: positive | Alane: positive | Brandice: positive | Faythe: positive,Quinta: 10.0 | Scarlet: 10.0 | Darice: 10.0 | Mildred: 10 | Shirlene: 10 | Alane: 10.0 | Brandice: 10.0 | Faythe: 8.2
Runde8,264.0,14,True,Quinta: positive | Scarlet: positive | Mara: positive | Mildred: positive | Shirlene: positive | Alane: positive | Retha: positive,Quinta: 10.0 | Scarlet: 10.0 | Mara: 10.0 | Mildred: 10.0 | Shirlene: 10.0 | Alane: 10.0 | Retha: 8.2
Runde9,289.0,15,True,Melania: positive | Renee: positive | Jody: positive | Latashia: positive | Faythe: positive,Melania: 10 | Renee: 10.0 | Jody: 7.428571428571429 | Latashia: 10.0 | Faythe: 8.615384615384615
Runde10,335.5,4,True,Julie: positive | Justina: positive | Charisse: positive | Brandice: positive,Julie: 10 | Justina: 10.0 | Charisse: 10 | Brandice: 10.0
