Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,15.75,0,False,,
Runde2,33.75,9,False,Quinta: positive | Darice: positive,Quinta: 10 | Darice: 10
Runde3,63.5,7,False,Darice: positive | Faythe: positive,Darice: 10.0 | Faythe: 10
Runde4,111.0,4,False,Quinta: positive | Julie: positive | Jody: positive | Mara: positive | Darice: positive | Alane: positive,Quinta: 10.0 | Julie: 10 | Jody: 10 | Mara: 10 | Darice: 10.0 | Alane: 10
Runde5,158.75,2,False,Julie: positive | Renee: positive | Charisse: positive | Latashia: positive | Mara: positive | Mildred: positive | Retha: positive | Brandice: negative | Marna: positive,Julie: 10.0 | Renee: 10 | Charisse: 10 | Latashia: 10 | Mara: 10.0 | Mildred: 10 | Retha: 10 | Brandice: 1 | Marna: 10
Runde6,188.0,17,True,Melania: negative | Julie: positive | Scarlet: negative | Charisse: negative | Darice: negative,Melania: 1 | Julie: 10.0 | Scarlet: 1 | Charisse: 5.5 | Darice: 8.2
Runde7,240.25,20,True,Melania: negative | Julie: negative | Scarlet: negative | Marylou: negative | Darice: negative | Mildred: negative | Retha: negative | Henryetta: negative | Faythe: negative | Marna: negative,Melania: 1.0 | Julie: 8.2 | Scarlet: 1.0 | Marylou: 1 | Darice: 7.230769230769231 | Mildred: 5.5 | Retha: 5.5 | Henryetta: 1 | Faythe: 5.5 | Marna: 5.5
Runde8,281.0,7,True,Quinta: positive | Melania: positive | Justina: positive | Charisse: positive | Jody: positive | Darice: positive | Mildred: positive | Alane: positive | Faythe: positive,Quinta: 10.0 | Melania: 3.5714285714285716 | Justina: 10 | Charisse: 7.428571428571429 | Jody: 10.0 | Darice: 7.75 | Mildred: 7.428571428571429 | Alane: 10.0 | Faythe: 7.428571428571429
Runde9,318.0,3,True,Julie: positive | Justina: positive | Marylou: positive | Faythe: positive,Julie: 8.615384615384615 | Justina: 10.0 | Marylou: 5.5 | Faythe: 8.2
Runde10,360.5,8,True,Julie: positive | Justina: positive | Renee: positive | Ranna: positive | Alane: positive | Retha: positive,Julie: 8.875 | Justina: 10.0 | Renee: 10.0 | Ranna: 10 | Alane: 10.0 | Retha: 7.428571428571429
Runde11,408.5,11,True,Melania: positive | Renee: positive | Scarlet: positive | Charisse: positive | Mara: positive | Brandice: positive | Henryetta: positive | Faythe: positive | Marna: positive,Melania: 4.6 | Renee: 10.0 | Scarlet: 3.5714285714285716 | Charisse: 8.2 | Mara: 10.0 | Brandice: 5.5 | Henryetta: 5.5 | Faythe: 8.615384615384615 | Marna: 7.428571428571429
Runde12,446.25,7,True,Justina: positive | Renee: positive | Charisse: positive | Jody: positive | Latashia: positive | Mara: positive | Brandice: positive | Henryetta: positive | Faythe: positive,Justina: 10.0 | Renee: 10.0 | Charisse: 8.615384615384615 | Jody: 10.0 | Latashia: 10.0 | Mara: 10.0 | Brandice: 6.142857142857143 | Henryetta: 6.142857142857143 | Faythe: 8.875
Runde13,478.75,9,True,Renee: positive | Charisse: positive | Jody: positive | Brandice: positive | Henryetta: positive,Renee: 10.0 | Charisse: 8.875 | Jody: 10.0 | Brandice: 6.4 | Henryetta: 6.4
