Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,14.5,2,False,,
Runde2,46.5,0,False,,
Runde3,90.5,17,False,Aileen: positive | Barbie: positive,Aileen: 10 | Barbie: 10
Runde4,188.0,0,False,Rosamond: positive | Kaylil: negative | Marie: negative | Dalenna: negative | Rubina: negative,Rosamond: 10 | Kaylil: 1 | Marie: 1 | Dalenna: 1 | Rubina: 1
Runde5,256.0,14,False,Kaylil: positive | Aileen: positive | Sibyl: positive | Rubina: positive | Katleen: positive | Gayleen: positive,Kaylil: 5.5 | Aileen: 10.0 | Sibyl: 10 | Rubina: 5.5 | Katleen: 10 | Gayleen: 10
Runde6,313.0,20,False,Rosamond: negative | Kaylil: negative | Marie: negative | Abigael: negative | Barbie: negative,Rosamond: 5.5 | Kaylil: 3.5714285714285716 | Marie: 1.0 | Abigael: 1 | Barbie: 5.5
Runde7,376.0,12,True,Staci: negative | Aileen: negative | Dalenna: negative | Agnella: negative | Barbie: negative | Alie: negative,Staci: 1 | Aileen: 7.428571428571429 | Dalenna: 1.0 | Agnella: 1 | Barbie: 4.857142857142857 | Alie: 1
Runde8,427.0,0,False,Rosamond: negative | Kaylil: negative | Staci: negative | Sibyl: negative | Dalenna: negative | Rubina: negative | Agnella: negative | Barbie: negative,Rosamond: 4.857142857142857 | Kaylil: 2.8 | Staci: 1.0 | Sibyl: 5.5 | Dalenna: 1.0 | Rubina: 3.5714285714285716 | Agnella: 1.0 | Barbie: 4.6
Runde9,509.0,3,True,Rosamond: negative | Marie: negative | Aileen: negative | Sibyl: negative | Rubina: negative | Katleen: negative,Rosamond: 4.6 | Marie: 1.0 | Aileen: 6.4 | Sibyl: 4.857142857142857 | Rubina: 2.8 | Katleen: 5.5
Runde10,587.5,7,True,Kaylil: negative | Staci: negative | Agnella: negative | Gayleen: negative | Alie: negative,Kaylil: 2.3846153846153846 | Staci: 1.0 | Agnella: 1.0 | Gayleen: 5.5 | Alie: 1.0
Runde11,669.5,14,True,Rosamond: negative | Marie: negative | Aileen: negative | Dalenna: negative | Abigael: negative | Barbie: negative | Katleen: negative,Rosamond: 4.461538461538462 | Marie: 1.0 | Aileen: 5.846153846153846 | Dalenna: 1.0 | Abigael: 1.0 | Barbie: 4.461538461538462 | Katleen: 4.857142857142857
Runde12,738.0,2,True,Rosamond: negative | Kaylil: negative | Aileen: negative | Sibyl: negative | Katleen: negative,Rosamond: 4.375 | Kaylil: 2.125 | Aileen: 5.5 | Sibyl: 4.6 | Katleen: 4.6
Runde13,838.5,10,True,Staci: negative | Aileen: negative | Dalenna: negative | Rubina: negative | Agnella: negative | Barbie: negative | Alie: negative,Staci: 1.0 | Aileen: 5.2631578947368425 | Dalenna: 1.0 | Rubina: 2.3846153846153846 | Agnella: 1.0 | Barbie: 4.375 | Alie: 1.0
Runde14,913.5,14,True,Sibyl: negative | Dalenna: negative | Katleen: negative | Gayleen: negative | Alie: negative,Sibyl: 4.461538461538462 | Dalenna: 1.0 | Katleen: 4.461538461538462 | Gayleen: 4.857142857142857 | Alie: 1.0
