Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,14.5,2,False,,
Runde2,46.5,0,False,Abigael: positive,Abigael: 10
Runde3,105.5,2,False,Barbie: positive | Gayleen: positive,Barbie: 10 | Gayleen: 10
Runde4,185.0,12,True,Marie: negative | Alie: negative,Marie: 1 | Alie: 1
Runde5,272.0,16,True,Kaylil: negative | Staci: negative | Aileen: negative | Agnella: negative | Barbie: negative | Katleen: negative | Alie: negative,Kaylil: 1 | Staci: 1 | Aileen: 1 | Agnella: 1 | Barbie: 5.5 | Katleen: 1 | Alie: 1.0
Runde6,341.0,20,True,Kaylil: negative | Marie: negative | Aileen: negative | Sibyl: negative | Barbie: negative | Gayleen: negative,Kaylil: 1.0 | Marie: 1.0 | Aileen: 1.0 | Sibyl: 1 | Barbie: 4.857142857142857 | Gayleen: 5.5
Runde7,418.0,4,True,Rosamond: negative | Kaylil: negative | Marie: negative | Staci: negative | Abigael: negative | Agnella: negative | Gayleen: negative,Rosamond: 1 | Kaylil: 1.0 | Marie: 1.0 | Staci: 1.0 | Abigael: 5.5 | Agnella: 1.0 | Gayleen: 4.857142857142857
Runde8,491.0,8,True,Rosamond: negative | Kaylil: negative | Sibyl: negative | Dalenna: negative | Abigael: negative | Barbie: negative | Gayleen: negative,Rosamond: 1.0 | Kaylil: 1.0 | Sibyl: 1.0 | Dalenna: 1 | Abigael: 4.857142857142857 | Barbie: 4.6 | Gayleen: 4.6
Runde9,565.0,20,True,Myrna: negative | Rosamond: negative | Marie: negative | Staci: negative | Barbie: negative,Myrna: 1 | Rosamond: 1.0 | Marie: 1.0 | Staci: 1.0 | Barbie: 4.461538461538462
Runde10,641.5,18,True,Myrna: negative | Staci: negative | Aileen: negative | Sibyl: negative | Dalenna: negative | Abigael: negative | Agnella: negative | Barbie: negative | Gayleen: negative | Alie: negative,Myrna: 1.0 | Staci: 1.0 | Aileen: 1.0 | Sibyl: 1.0 | Dalenna: 1.0 | Abigael: 4.6 | Agnella: 1.0 | Barbie: 4.375 | Gayleen: 4.461538461538462 | Alie: 1.0
Runde11,736.5,10,True,Myrna: negative | Rosamond: negative | Kaylil: negative | Staci: negative | Aileen: negative | Sibyl: negative | Dalenna: negative | Abigael: negative | Barbie: negative,Myrna: 1.0 | Rosamond: 1.0 | Kaylil: 1.0 | Staci: 1.0 | Aileen: 1.0 | Sibyl: 1.0 | Dalenna: 1.0 | Abigael: 4.461538461538462 | Barbie: 4.315789473684211
Runde12,814.0,2,True,Myrna: negative | Rosamond: negative | Abigael: negative | Agnella: negative | Barbie: negative | Katleen: negative,Myrna: 1.0 | Rosamond: 1.0 | Abigael: 4.375 | Agnella: 1.0 | Barbie: 4.2727272727272725 | Katleen: 1.0
Runde13,917.5,16,True,Myrna: negative | Kaylil: negative | Staci: negative | Aileen: negative | Sibyl: negative | Dalenna: negative,Myrna: 1.0 | Kaylil: 1.0 | Staci: 1.0 | Aileen: 1.0 | Sibyl: 1.0 | Dalenna: 1.0
Runde14,1010.5,5,True,Staci: negative | Aileen: negative | Agnella: negative | Alie: negative,Staci: 1.0 | Aileen: 1.0 | Agnella: 1.0 | Alie: 1.0
