Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,22.5,4,False,,
Runde2,97.5,17,False,Virginia: positive,Virginia: 10
Runde3,174.5,0,False,Sari: positive | Bria: positive | Marcelia: positive | Desiri: positive | Virginia: positive | Eolande: positive | Shirlene: positive | Kiah: positive,Sari: 10 | Bria: 10 | Marcelia: 10 | Desiri: 10 | Virginia: 10.0 | Eolande: 10 | Shirlene: 10 | Kiah: 10
Runde4,252.0,11,True,Sari: positive | Marcelia: positive | Catarina: positive | Sisely: positive | Ebonee: positive | Pauly: positive | Kiah: positive,Sari: 10.0 | Marcelia: 10.0 | Catarina: 10 | Sisely: 10 | Ebonee: 10 | Pauly: 10 | Kiah: 10.0
Runde5,335.0,4,True,Eleen: positive | Sisely: positive | Ebonee: positive,Eleen: 10 | Sisely: 10.0 | Ebonee: 10.0
Runde6,435.5,13,True,Marcelia: positive | Eleen: positive | Sisely: positive | Rosmunda: positive | Pauly: positive | Shirlene: positive | Christean: positive,Marcelia: 10.0 | Eleen: 10.0 | Sisely: 10.0 | Rosmunda: 10 | Pauly: 10.0 | Shirlene: 10.0 | Christean: 10
Runde7,516.0,2,True,Sari: positive | Marcelia: positive | Desiri: positive | Jobina: positive | Sisely: positive | Angele: positive | Julieta: positive | Rosmunda: positive | Pauly: positive | Shirlene: positive | Christean: positive | Helge: positive,Sari: 10.0 | Marcelia: 10.0 | Desiri: 10.0 | Jobina: 10 | Sisely: 10.0 | Angele: 10 | Julieta: 10 | Rosmunda: 10.0 | Pauly: 10.0 | Shirlene: 10.0 | Christean: 10.0 | Helge: 10
Runde8,610.5,0,True,Catarina: positive | Jobina: positive | Sisely: positive | Virginia: positive | Pauly: positive | Shirlene: positive,Catarina: 10.0 | Jobina: 10.0 | Sisely: 10.0 | Virginia: 10.0 | Pauly: 10.0 | Shirlene: 10.0
Runde9,689.0,16,False,Bria: positive | Desiri: positive | Sisely: positive | Brietta: positive | Virginia: positive | Eolande: positive | Helge: positive,Bria: 10.0 | Desiri: 10.0 | Sisely: 10.0 | Brietta: 10 | Virginia: 10.0 | Eolande: 10.0 | Helge: 10.0
Runde10,781.0,12,True,Eleen: positive | Jobina: positive | Sisely: positive | Angele: positive | Rosmunda: positive | Christean: positive,Eleen: 10.0 | Jobina: 10.0 | Sisely: 10.0 | Angele: 10.0 | Rosmunda: 10.0 | Christean: 10.0
Runde11,846.0,2,True,Sari: positive | Desiri: positive | Catarina: positive | Eolande: positive | Ebonee: positive | Pauly: positive | Shirlene: positive,Sari: 10.0 | Desiri: 10.0 | Catarina: 10.0 | Eolande: 10.0 | Ebonee: 10.0 | Pauly: 10.0 | Shirlene: 10.0
Runde12,914.5,6,True,Bria: positive | Eleen: positive | Angele: positive | Rosmunda: positive | Shirlene: positive | Helge: positive,Bria: 10.0 | Eleen: 10.0 | Angele: 10.0 | Rosmunda: 10.0 | Shirlene: 10.0 | Helge: 10.0
Runde13,987.5,15,True,Bria: positive | Eleen: positive | Kiah: positive,Bria: 10.0 | Eleen: 10.0 | Kiah: 10.0
Runde14,1069.5,4,True,Sari: positive | Bria: positive | Desiri: positive | Sisely: positive | Angele: positive | Virginia: positive | Julieta: positive | Ebonee: positive,Sari: 10.0 | Bria: 10.0 | Desiri: 10.0 | Sisely: 10.0 | Angele: 10.0 | Virginia: 10.0 | Julieta: 10.0 | Ebonee: 10.0
Runde15,1146.0,8,True,Sari: positive | Desiri: positive | Julieta: positive | Rosmunda: positive | Helge: positive,Sari: 10.0 | Desiri: 10.0 | Julieta: 10.0 | Rosmunda: 10.0 | Helge: 10.0
Runde16,1229.0,7,True,Bria: positive | Desiri: positive | Catarina: positive | Julieta: positive | Pauly: positive | Shirlene: positive,Bria: 10.0 | Desiri: 10.0 | Catarina: 10.0 | Julieta: 10.0 | Pauly: 10.0 | Shirlene: 10.0
Runde17,1327.5,19,False,Jobina: positive | Eolande: positive | Christean: positive | Helge: positive,Jobina: 10.0 | Eolande: 10.0 | Christean: 10.0 | Helge: 10.0
Runde18,1418.5,0,True,Sari: positive | Catarina: positive | Jobina: positive | Sisely: positive | Brietta: positive | Rosmunda: positive | Shirlene: positive,Sari: 10.0 | Catarina: 10.0 | Jobina: 10.0 | Sisely: 10.0 | Brietta: 10.0 | Rosmunda: 10.0 | Shirlene: 10.0
Runde19,1479.5,15,False,Bria: positive | Desiri: positive | Virginia: positive | Julieta: positive | Eolande: positive | Pauly: positive,Bria: 10.0 | Desiri: 10.0 | Virginia: 10.0 | Julieta: 10.0 | Eolande: 10.0 | Pauly: 10.0
Runde20,1557.0,15,True,Bria: positive | Eleen: positive | Desiri: positive | Julieta: positive | Helge: positive,Bria: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Julieta: 10.0 | Helge: 10.0
Runde21,1648.0,5,False,Desiri: positive | Brietta: positive | Virginia: positive | Ebonee: positive | Pauly: positive | Shirlene: positive | Helge: positive,Desiri: 10.0 | Brietta: 10.0 | Virginia: 10.0 | Ebonee: 10.0 | Pauly: 10.0 | Shirlene: 10.0 | Helge: 10.0
Runde22,1749.5,3,True,Sari: positive | Eleen: positive | Desiri: positive | Catarina: positive | Jobina: positive | Julieta: positive | Rosmunda: positive | Shirlene: positive | Christean: positive | Kiah: positive,Sari: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Catarina: 10.0 | Jobina: 10.0 | Julieta: 10.0 | Rosmunda: 10.0 | Shirlene: 10.0 | Christean: 10.0 | Kiah: 10.0
Runde23,1808.5,18,True,Sari: positive | Catarina: positive | Sisely: positive | Angele: positive | Julieta: positive | Eolande: positive | Rosmunda: positive | Ebonee: positive | Pauly: positive | Kiah: positive,Sari: 10.0 | Catarina: 10.0 | Sisely: 10.0 | Angele: 10.0 | Julieta: 10.0 | Eolande: 10.0 | Rosmunda: 10.0 | Ebonee: 10.0 | Pauly: 10.0 | Kiah: 10.0
Runde24,1900.5,1,True,Marcelia: positive | Eleen: positive | Desiri: positive | Sisely: positive | Pauly: positive | Helge: positive,Marcelia: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Sisely: 10.0 | Pauly: 10.0 | Helge: 10.0
Runde25,,,False,,
