Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,26.5,0,False,,
Runde2,118.5,0,False,,
Runde3,187.5,8,False,Brietta: positive | Eolande: positive,Brietta: 10 | Eolande: 10
Runde4,284.0,13,True,Sisely: negative | Brietta: negative | Virginia: negative | Eolande: negative | Rosmunda: negative | Coriss: negative | Shirlene: negative | Christean: negative | Kiah: negative,Sisely: 1 | Brietta: 5.5 | Virginia: 1 | Eolande: 5.5 | Rosmunda: 1 | Coriss: 1 | Shirlene: 1 | Christean: 1 | Kiah: 1
Runde5,391.0,7,True,Brietta: negative | Julieta: negative | Rosmunda: negative | Coriss: negative | Pauly: negative | Shirlene: negative,Brietta: 4.857142857142857 | Julieta: 1 | Rosmunda: 1.0 | Coriss: 1.0 | Pauly: 1 | Shirlene: 1.0
Runde6,524.5,19,True,Bria: negative | Desiri: negative | Sisely: negative | Brietta: negative | Ebonee: negative | Helge: negative,Bria: 1 | Desiri: 1 | Sisely: 1.0 | Brietta: 4.6 | Ebonee: 1 | Helge: 1
Runde7,647.0,5,True,Marcelia: negative | Desiri: negative | Angele: negative | Brietta: negative | Julieta: negative | Rosmunda: negative | Coriss: negative | Ebonee: negative | Christean: negative,Marcelia: 1 | Desiri: 1.0 | Angele: 1 | Brietta: 4.461538461538462 | Julieta: 1.0 | Rosmunda: 1.0 | Coriss: 1.0 | Ebonee: 1.0 | Christean: 1.0
Runde8,790.5,2,True,Bria: negative | Catarina: negative | Jobina: negative | Sisely: negative | Eolande: negative | Rosmunda: negative | Kiah: negative | Helge: negative,Bria: 1.0 | Catarina: 1 | Jobina: 1 | Sisely: 1.0 | Eolande: 4.857142857142857 | Rosmunda: 1.0 | Kiah: 1.0 | Helge: 1.0
Runde9,867.0,18,True,Catarina: negative | Sisely: negative | Angele: negative | Eolande: negative | Coriss: negative | Ebonee: negative | Shirlene: negative,Catarina: 1.0 | Sisely: 1.0 | Angele: 1.0 | Eolande: 4.6 | Coriss: 1.0 | Ebonee: 1.0 | Shirlene: 1.0
Runde10,1008.0,14,True,Bria: negative | Desiri: negative | Jobina: negative | Sisely: negative | Virginia: negative | Eolande: negative | Pauly: negative | Shirlene: negative | Christean: negative | Kiah: negative,Bria: 1.0 | Desiri: 1.0 | Jobina: 1.0 | Sisely: 1.0 | Virginia: 1.0 | Eolande: 4.461538461538462 | Pauly: 1.0 | Shirlene: 1.0 | Christean: 1.0 | Kiah: 1.0
Runde11,1118.0,8,True,Virginia: negative | Julieta: negative | Ebonee: negative,Virginia: 1.0 | Julieta: 1.0 | Ebonee: 1.0
Runde12,1234.5,12,True,Sari: negative | Bria: negative | Catarina: negative | Angele: negative | Virginia: negative,Sari: 1 | Bria: 1.0 | Catarina: 1.0 | Angele: 1.0 | Virginia: 1.0
Runde13,1372.5,4,True,Desiri: negative | Catarina: negative | Jobina: negative | Sisely: negative | Angele: negative | Brietta: negative | Rosmunda: negative | Coriss: negative | Ebonee: negative | Shirlene: negative | Kiah: negative | Helge: negative,Desiri: 1.0 | Catarina: 1.0 | Jobina: 1.0 | Sisely: 1.0 | Angele: 1.0 | Brietta: 4.375 | Rosmunda: 1.0 | Coriss: 1.0 | Ebonee: 1.0 | Shirlene: 1.0 | Kiah: 1.0 | Helge: 1.0
Runde14,1493.5,19,True,Bria: negative | Jobina: negative | Julieta: negative | Eolande: negative | Rosmunda: negative | Coriss: negative | Shirlene: negative | Kiah: negative,Bria: 1.0 | Jobina: 1.0 | Julieta: 1.0 | Eolande: 4.375 | Rosmunda: 1.0 | Coriss: 1.0 | Shirlene: 1.0 | Kiah: 1.0
Runde15,1630.0,2,True,Sari: negative | Marcelia: negative | Sisely: negative | Julieta: negative | Coriss: negative | Pauly: negative | Shirlene: negative | Kiah: negative,Sari: 1.0 | Marcelia: 1.0 | Sisely: 1.0 | Julieta: 1.0 | Coriss: 1.0 | Pauly: 1.0 | Shirlene: 1.0 | Kiah: 1.0
Runde16,1760.0,14,True,Marcelia: negative | Catarina: negative | Jobina: negative | Angele: negative | Julieta: negative | Eolande: negative | Coriss: negative | Shirlene: negative | Kiah: negative | Helge: negative,Marcelia: 1.0 | Catarina: 1.0 | Jobina: 1.0 | Angele: 1.0 | Julieta: 1.0 | Eolande: 4.315789473684211 | Coriss: 1.0 | Shirlene: 1.0 | Kiah: 1.0 | Helge: 1.0
Runde17,1874.5,3,True,Sari: negative | Marcelia: negative | Catarina: negative | Sisely: negative | Brietta: negative | Virginia: negative | Rosmunda: negative | Coriss: negative | Shirlene: negative | Kiah: negative,Sari: 1.0 | Marcelia: 1.0 | Catarina: 1.0 | Sisely: 1.0 | Brietta: 4.315789473684211 | Virginia: 1.0 | Rosmunda: 1.0 | Coriss: 1.0 | Shirlene: 1.0 | Kiah: 1.0
Runde18,2019.5,0,True,Marcelia: negative | Desiri: negative | Angele: negative | Brietta: negative | Virginia: negative | Julieta: negative | Ebonee: negative | Shirlene: negative | Christean: negative,Marcelia: 1.0 | Desiri: 1.0 | Angele: 1.0 | Brietta: 4.2727272727272725 | Virginia: 1.0 | Julieta: 1.0 | Ebonee: 1.0 | Shirlene: 1.0 | Christean: 1.0
Runde19,2089.5,6,True,Marcelia: negative | Catarina: negative | Jobina: negative | Angele: negative | Virginia: negative | Julieta: negative | Pauly: negative | Shirlene: negative | Kiah: negative,Marcelia: 1.0 | Catarina: 1.0 | Jobina: 1.0 | Angele: 1.0 | Virginia: 1.0 | Julieta: 1.0 | Pauly: 1.0 | Shirlene: 1.0 | Kiah: 1.0
Runde20,2235.0,1,True,Marcelia: negative | Brietta: negative | Virginia: negative | Rosmunda: negative | Pauly: negative | Shirlene: negative,Marcelia: 1.0 | Brietta: 4.24 | Virginia: 1.0 | Rosmunda: 1.0 | Pauly: 1.0 | Shirlene: 1.0
Runde21,2312.0,19,True,Sari: negative | Bria: negative | Marcelia: negative | Catarina: negative | Julieta: negative | Eolande: negative | Coriss: negative | Ebonee: negative | Kiah: negative,Sari: 1.0 | Bria: 1.0 | Marcelia: 1.0 | Catarina: 1.0 | Julieta: 1.0 | Eolande: 4.2727272727272725 | Coriss: 1.0 | Ebonee: 1.0 | Kiah: 1.0
Runde22,2454.5,16,True,Sari: negative | Angele: negative | Virginia: negative | Julieta: negative | Rosmunda: negative | Ebonee: negative | Pauly: negative | Christean: negative | Kiah: negative,Sari: 1.0 | Angele: 1.0 | Virginia: 1.0 | Julieta: 1.0 | Rosmunda: 1.0 | Ebonee: 1.0 | Pauly: 1.0 | Christean: 1.0 | Kiah: 1.0
Runde23,2577.5,8,True,Bria: negative | Desiri: negative | Angele: negative | Brietta: negative | Eolande: negative | Pauly: negative | Shirlene: negative | Christean: negative | Kiah: negative | Helge: negative,Bria: 1.0 | Desiri: 1.0 | Angele: 1.0 | Brietta: 4.214285714285714 | Eolande: 4.24 | Pauly: 1.0 | Shirlene: 1.0 | Christean: 1.0 | Kiah: 1.0 | Helge: 1.0
Runde24,2716.5,8,True,Sari: negative | Bria: negative | Jobina: negative | Sisely: negative | Brietta: negative | Virginia: negative | Eolande: negative | Ebonee: negative | Christean: negative | Helge: negative,Sari: 1.0 | Bria: 1.0 | Jobina: 1.0 | Sisely: 1.0 | Brietta: 4.193548387096774 | Virginia: 1.0 | Eolande: 4.214285714285714 | Ebonee: 1.0 | Christean: 1.0 | Helge: 1.0
Runde25,,,False,,
