Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,25.5,1,False,,
Runde2,115.5,2,False,Eolande: positive,Eolande: 10
Runde3,185.5,7,False,Desiri: positive | Brietta: positive | Julieta: positive | Ebonee: positive,Desiri: 10 | Brietta: 10 | Julieta: 10 | Ebonee: 10
Runde4,285.0,16,True,Sari: negative | Bria: negative | Eleen: negative | Desiri: negative | Virginia: negative | Rosmunda: negative | Coriss: negative | Pauly: negative | Christean: negative | Kiah: negative,Sari: 1 | Bria: 1 | Eleen: 1 | Desiri: 5.5 | Virginia: 1 | Rosmunda: 1 | Coriss: 1 | Pauly: 1 | Christean: 1 | Kiah: 1
Runde5,388.0,17,True,Desiri: negative | Sisely: negative | Brietta: negative | Virginia: negative | Julieta: negative | Eolande: negative | Coriss: negative | Pauly: negative | Shirlene: negative | Christean: negative,Desiri: 4.857142857142857 | Sisely: 1 | Brietta: 5.5 | Virginia: 1.0 | Julieta: 5.5 | Eolande: 5.5 | Coriss: 1.0 | Pauly: 1.0 | Shirlene: 1 | Christean: 1.0
Runde6,530.5,13,True,Sari: negative | Bria: negative | Marcelia: negative | Catarina: negative | Virginia: negative | Rosmunda: negative | Ebonee: negative | Kiah: negative | Helge: negative,Sari: 1.0 | Bria: 1.0 | Marcelia: 1 | Catarina: 1 | Virginia: 1.0 | Rosmunda: 1.0 | Ebonee: 5.5 | Kiah: 1.0 | Helge: 1
Runde7,645.0,13,True,Bria: negative | Sisely: negative | Angele: negative | Brietta: negative | Rosmunda: negative | Ebonee: negative | Christean: negative | Kiah: negative,Bria: 1.0 | Sisely: 1.0 | Angele: 1 | Brietta: 4.857142857142857 | Rosmunda: 1.0 | Ebonee: 4.857142857142857 | Christean: 1.0 | Kiah: 1.0
Runde8,771.5,13,True,Catarina: negative | Virginia: negative | Julieta: negative | Eolande: negative | Pauly: negative | Kiah: negative | Helge: negative,Catarina: 1.0 | Virginia: 1.0 | Julieta: 4.857142857142857 | Eolande: 4.857142857142857 | Pauly: 1.0 | Kiah: 1.0 | Helge: 1.0
Runde9,855.0,11,True,Catarina: negative | Sisely: negative | Angele: negative | Julieta: negative | Eolande: negative | Rosmunda: negative | Shirlene: negative | Kiah: negative,Catarina: 1.0 | Sisely: 1.0 | Angele: 1.0 | Julieta: 4.6 | Eolande: 4.6 | Rosmunda: 1.0 | Shirlene: 1.0 | Kiah: 1.0
Runde10,986.0,18,True,Sisely: negative | Julieta: negative | Eolande: negative | Christean: negative | Kiah: negative,Sisely: 1.0 | Julieta: 4.461538461538462 | Eolande: 4.461538461538462 | Christean: 1.0 | Kiah: 1.0
Runde11,1079.0,19,True,Sari: negative | Eleen: negative | Catarina: negative | Sisely: negative | Angele: negative | Virginia: negative | Julieta: negative | Eolande: negative | Coriss: negative | Ebonee: negative | Kiah: negative,Sari: 1.0 | Eleen: 1.0 | Catarina: 1.0 | Sisely: 1.0 | Angele: 1.0 | Virginia: 1.0 | Julieta: 4.375 | Eolande: 4.375 | Coriss: 1.0 | Ebonee: 4.6 | Kiah: 1.0
Runde12,1188.5,10,True,Sari: negative | Bria: negative | Marcelia: negative | Catarina: negative | Sisely: negative | Angele: negative | Julieta: negative | Rosmunda: negative | Pauly: negative | Shirlene: negative | Christean: negative | Helge: negative,Sari: 1.0 | Bria: 1.0 | Marcelia: 1.0 | Catarina: 1.0 | Sisely: 1.0 | Angele: 1.0 | Julieta: 4.315789473684211 | Rosmunda: 1.0 | Pauly: 1.0 | Shirlene: 1.0 | Christean: 1.0 | Helge: 1.0
Runde13,1321.5,0,True,Sari: negative | Bria: negative | Marcelia: negative | Catarina: negative | Virginia: negative | Eolande: negative | Ebonee: negative | Shirlene: negative | Christean: negative | Kiah: negative,Sari: 1.0 | Bria: 1.0 | Marcelia: 1.0 | Catarina: 1.0 | Virginia: 1.0 | Eolande: 4.315789473684211 | Ebonee: 4.461538461538462 | Shirlene: 1.0 | Christean: 1.0 | Kiah: 1.0
Runde14,1436.5,16,True,Bria: negative | Eleen: negative | Sisely: negative | Brietta: negative | Virginia: negative | Julieta: negative | Rosmunda: negative | Coriss: negative,Bria: 1.0 | Eleen: 1.0 | Sisely: 1.0 | Brietta: 4.6 | Virginia: 1.0 | Julieta: 4.2727272727272725 | Rosmunda: 1.0 | Coriss: 1.0
Runde15,1560.0,6,True,Marcelia: negative | Catarina: negative | Sisely: negative | Angele: negative | Julieta: negative | Eolande: negative | Coriss: negative | Pauly: negative | Shirlene: negative | Christean: negative,Marcelia: 1.0 | Catarina: 1.0 | Sisely: 1.0 | Angele: 1.0 | Julieta: 4.24 | Eolande: 4.2727272727272725 | Coriss: 1.0 | Pauly: 1.0 | Shirlene: 1.0 | Christean: 1.0
