Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,24.5,2,False,,
Runde2,99.5,17,False,Virginia: positive,Virginia: 10
Runde3,164.5,12,False,Sari: positive | Desiri: positive | Eolande: positive | Coriss: positive | Ebonee: positive,Sari: 10 | Desiri: 10 | Eolande: 10 | Coriss: 10 | Ebonee: 10
Runde4,249.0,4,True,Sari: positive | Bria: positive | Catarina: positive | Sisely: positive | Angele: positive | Virginia: positive | Ebonee: positive,Sari: 10.0 | Bria: 10 | Catarina: 10 | Sisely: 10 | Angele: 10 | Virginia: 10.0 | Ebonee: 10.0
Runde5,332.0,4,True,Marcelia: positive | Eleen: positive | Brietta: positive | Coriss: positive | Christean: positive,Marcelia: 10 | Eleen: 10 | Brietta: 10 | Coriss: 10.0 | Christean: 10
Runde6,442.5,3,True,Sari: positive | Bria: positive | Eleen: positive | Desiri: positive | Sisely: positive | Julieta: positive | Rosmunda: positive | Christean: positive,Sari: 10.0 | Bria: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Sisely: 10.0 | Julieta: 10 | Rosmunda: 10 | Christean: 10.0
Runde7,521.0,4,True,Marcelia: positive | Catarina: positive | Angele: positive | Brietta: positive | Rosmunda: positive | Coriss: positive | Ebonee: positive | Christean: positive,Marcelia: 10.0 | Catarina: 10.0 | Angele: 10.0 | Brietta: 10.0 | Rosmunda: 10.0 | Coriss: 10.0 | Ebonee: 10.0 | Christean: 10.0
Runde8,614.5,1,True,Eleen: positive | Angele: positive | Eolande: positive | Ebonee: positive,Eleen: 10.0 | Angele: 10.0 | Eolande: 10.0 | Ebonee: 10.0
Runde9,709.0,0,True,Bria: positive | Sisely: positive | Virginia: positive | Julieta: positive | Eolande: positive | Ebonee: positive | Shirlene: positive,Bria: 10.0 | Sisely: 10.0 | Virginia: 10.0 | Julieta: 10.0 | Eolande: 10.0 | Ebonee: 10.0 | Shirlene: 10
Runde10,813.0,0,True,Sari: positive | Marcelia: positive | Eleen: positive | Sisely: positive | Brietta: positive | Rosmunda: positive | Ebonee: positive | Pauly: positive,Sari: 10.0 | Marcelia: 10.0 | Eleen: 10.0 | Sisely: 10.0 | Brietta: 10.0 | Rosmunda: 10.0 | Ebonee: 10.0 | Pauly: 10
Runde11,862.0,18,True,Bria: positive | Catarina: positive | Brietta: positive | Eolande: positive | Shirlene: positive | Christean: positive,Bria: 10.0 | Catarina: 10.0 | Brietta: 10.0 | Eolande: 10.0 | Shirlene: 10.0 | Christean: 10.0
Runde12,921.5,15,True,Bria: positive | Marcelia: positive | Desiri: positive | Jobina: positive | Angele: positive | Virginia: positive | Shirlene: positive | Helge: positive,Bria: 10.0 | Marcelia: 10.0 | Desiri: 10.0 | Jobina: 10 | Angele: 10.0 | Virginia: 10.0 | Shirlene: 10.0 | Helge: 10
Runde13,1005.5,4,True,Jobina: positive | Brietta: positive | Coriss: positive | Pauly: positive,Jobina: 10.0 | Brietta: 10.0 | Coriss: 10.0 | Pauly: 10.0
