Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,21.5,5,False,,
Runde2,101.5,12,False,Eolande: positive,Eolande: 10
Runde3,170.5,8,False,Sari: positive | Bria: positive | Marcelia: positive | Desiri: positive | Brietta: positive | Eolande: positive,Sari: 10 | Bria: 10 | Marcelia: 10 | Desiri: 10 | Brietta: 10 | Eolande: 10.0
Runde4,256.0,3,True,Bria: positive | Eleen: positive | Jobina: positive | Sisely: positive | Angele: positive | Ebonee: positive,Bria: 10.0 | Eleen: 10 | Jobina: 10 | Sisely: 10 | Angele: 10 | Ebonee: 10
Runde5,343.0,0,True,Sari: positive | Marcelia: positive | Eleen: positive | Desiri: positive | Brietta: positive | Ebonee: positive | Shirlene: positive | Christean: positive,Sari: 10.0 | Marcelia: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Brietta: 10.0 | Ebonee: 10.0 | Shirlene: 10 | Christean: 10
Runde6,455.5,1,True,Bria: positive | Marcelia: positive | Eleen: positive | Desiri: positive | Julieta: positive | Eolande: positive | Rosmunda: positive | Pauly: positive | Christean: positive,Bria: 10.0 | Marcelia: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Julieta: 10 | Eolande: 10.0 | Rosmunda: 10 | Pauly: 10 | Christean: 10.0
Runde7,527.0,11,True,Sari: positive | Bria: positive | Desiri: positive | Julieta: positive | Coriss: positive | Ebonee: positive | Shirlene: positive,Sari: 10.0 | Bria: 10.0 | Desiri: 10.0 | Julieta: 10.0 | Coriss: 10 | Ebonee: 10.0 | Shirlene: 10.0
Runde8,601.5,20,True,Catarina: positive | Jobina: positive | Sisely: positive | Eolande: positive | Shirlene: positive | Helge: positive,Catarina: 10 | Jobina: 10.0 | Sisely: 10.0 | Eolande: 10.0 | Shirlene: 10.0 | Helge: 10
Runde9,696.0,0,False,Bria: positive | Desiri: positive | Jobina: positive | Brietta: positive | Ebonee: positive,Bria: 10.0 | Desiri: 10.0 | Jobina: 10.0 | Brietta: 10.0 | Ebonee: 10.0
Runde10,785.0,15,True,Marcelia: positive | Desiri: positive | Sisely: positive | Coriss: positive | Ebonee: positive | Pauly: positive | Christean: positive | Helge: positive,Marcelia: 10.0 | Desiri: 10.0 | Sisely: 10.0 | Coriss: 10.0 | Ebonee: 10.0 | Pauly: 10.0 | Christean: 10.0 | Helge: 10.0
Runde11,847.0,5,True,Desiri: positive | Catarina: positive | Sisely: positive | Angele: positive | Brietta: positive | Ebonee: positive | Shirlene: positive,Desiri: 10.0 | Catarina: 10.0 | Sisely: 10.0 | Angele: 10.0 | Brietta: 10.0 | Ebonee: 10.0 | Shirlene: 10.0
Runde12,918.5,3,True,Marcelia: positive | Eleen: positive | Jobina: positive | Angele: positive | Rosmunda: positive | Helge: positive,Marcelia: 10.0 | Eleen: 10.0 | Jobina: 10.0 | Angele: 10.0 | Rosmunda: 10.0 | Helge: 10.0
Runde13,997.5,9,True,Eleen: positive | Angele: positive | Brietta: positive | Coriss: positive | Pauly: positive | Shirlene: positive,Eleen: 10.0 | Angele: 10.0 | Brietta: 10.0 | Coriss: 10.0 | Pauly: 10.0 | Shirlene: 10.0
Runde14,1083.5,0,True,Marcelia: positive | Angele: positive | Julieta: positive | Ebonee: positive | Helge: positive,Marcelia: 10.0 | Angele: 10.0 | Julieta: 10.0 | Ebonee: 10.0 | Helge: 10.0
Runde15,1168.0,0,True,Sari: positive | Eleen: positive | Desiri: positive | Catarina: positive | Julieta: positive | Ebonee: positive | Helge: positive,Sari: 10.0 | Eleen: 10.0 | Desiri: 10.0 | Catarina: 10.0 | Julieta: 10.0 | Ebonee: 10.0 | Helge: 10.0
Runde16,1244.0,14,True,Bria: positive | Desiri: positive | Jobina: positive | Sisely: positive | Julieta: positive | Coriss: positive | Pauly: positive | Christean: positive | Helge: positive,Bria: 10.0 | Desiri: 10.0 | Jobina: 10.0 | Sisely: 10.0 | Julieta: 10.0 | Coriss: 10.0 | Pauly: 10.0 | Christean: 10.0 | Helge: 10.0
Runde17,1360.5,1,False,Desiri: positive | Eolande: positive | Coriss: positive | Christean: positive | Helge: positive,Desiri: 10.0 | Eolande: 10.0 | Coriss: 10.0 | Christean: 10.0 | Helge: 10.0
Runde18,1445.5,6,True,Sari: positive | Julieta: positive | Eolande: positive | Ebonee: positive | Shirlene: positive | Christean: positive,Sari: 10.0 | Julieta: 10.0 | Eolande: 10.0 | Ebonee: 10.0 | Shirlene: 10.0 | Christean: 10.0
Runde19,1510.5,11,False,Bria: positive | Sisely: positive | Angele: positive | Eolande: positive,Bria: 10.0 | Sisely: 10.0 | Angele: 10.0 | Eolande: 10.0
Runde20,1586.0,17,True,Bria: positive | Sisely: positive | Julieta: positive | Pauly: positive,Bria: 10.0 | Sisely: 10.0 | Julieta: 10.0 | Pauly: 10.0
Runde21,1678.0,4,False,Sisely: positive | Rosmunda: positive | Coriss: positive | Ebonee: positive,Sisely: 10.0 | Rosmunda: 10.0 | Coriss: 10.0 | Ebonee: 10.0
Runde22,1782.5,0,True,Sari: positive | Marcelia: positive | Eleen: positive | Sisely: positive | Julieta: positive | Rosmunda: positive | Shirlene: positive | Christean: positive,Sari: 10.0 | Marcelia: 10.0 | Eleen: 10.0 | Sisely: 10.0 | Julieta: 10.0 | Rosmunda: 10.0 | Shirlene: 10.0 | Christean: 10.0
Runde23,1857.5,2,True,Marcelia: positive | Eleen: positive | Jobina: positive | Sisely: positive | Julieta: positive | Rosmunda: positive | Ebonee: positive | Pauly: positive,Marcelia: 10.0 | Eleen: 10.0 | Jobina: 10.0 | Sisely: 10.0 | Julieta: 10.0 | Rosmunda: 10.0 | Ebonee: 10.0 | Pauly: 10.0
Runde24,1938.5,12,True,Bria: positive | Eleen: positive | Rosmunda: positive | Pauly: positive | Christean: positive,Bria: 10.0 | Eleen: 10.0 | Rosmunda: 10.0 | Pauly: 10.0 | Christean: 10.0
Runde25,,,False,,
