Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.0,3,False,,
Runde2,15.0,2,False,Caron: positive | Avie: positive,Caron: 10 | Avie: 10
Runde3,17.5,12,False,Gwenneth: positive,Gwenneth: 10
Runde4,47.0,2,False,,
Runde5,62.0,13,False,Gwenneth: positive,Gwenneth: 10.0
Runde6,78.5,14,False,Avie: negative,Avie: 5.5
Runde7,90.5,4,False,Gwenneth: positive | Denice: positive,Gwenneth: 10.0 | Denice: 10
Runde8,117.0,1,False,Gwenneth: positive,Gwenneth: 10.0
Runde9,137.0,16,False,Avie: positive,Avie: 7.428571428571429
Runde10,151.0,15,False,Denice: negative,Denice: 5.5
Runde11,166.0,15,False,,
Runde12,182.5,20,False,Gwenneth: positive | Denice: positive | Erika: positive,Gwenneth: 10.0 | Denice: 7.428571428571429 | Erika: 10
Runde13,200.0,7,False,Denice: positive | Avie: positive,Denice: 8.2 | Avie: 8.2
Runde14,230.0,1,False,Gwenneth: positive | Caron: positive,Gwenneth: 10.0 | Caron: 10.0
Runde15,247.5,0,False,Gwenneth: positive | Denice: positive,Gwenneth: 10.0 | Denice: 8.615384615384615
Runde16,251.5,17,False,Gwenneth: positive | Avie: positive,Gwenneth: 10.0 | Avie: 8.615384615384615
Runde17,261.5,16,False,,
Runde18,273.5,17,False,Denice: positive,Denice: 8.875
Runde19,301.0,10,False,Caron: positive | Avie: positive,Caron: 10.0 | Avie: 8.875
Runde20,315.5,12,False,Denice: positive | Erika: positive | Caron: positive | Avie: positive,Denice: 9.052631578947368 | Erika: 10.0 | Caron: 10.0 | Avie: 9.052631578947368
Runde21,340.0,5,False,Denice: positive,Denice: 9.181818181818182
Runde22,365.5,1,False,Avie: positive,Avie: 9.181818181818182
Runde23,383.0,4,False,Gwenneth: positive,Gwenneth: 10.0
Runde24,421.0,4,False,Gwenneth: positive | Avie: positive,Gwenneth: 10.0 | Avie: 9.28
Runde25,,,False,,
