Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,24.0,2,False,,
Runde2,100.25,13,False,,
Runde3,236.75,0,False,Ardith: positive | Kathye: positive | Joya: positive,Ardith: 10 | Kathye: 10 | Joya: 10
Runde4,361.25,3,False,Diannne: positive | Shawnee: positive | Lynette: positive,Diannne: 10 | Shawnee: 10 | Lynette: 10
Runde5,451.5,14,False,Helga: negative | Lynette: negative | Kathye: negative | Vilhelmina: negative,Helga: 1 | Lynette: 5.5 | Kathye: 5.5 | Vilhelmina: 1
Runde6,514.25,1,True,Diannne: negative | Helga: negative | Joya: negative | Vilhelmina: negative,Diannne: 5.5 | Helga: 1.0 | Joya: 5.5 | Vilhelmina: 1.0
Runde7,648.75,8,True,Diannne: negative | Joellen: negative | Marthe: negative | Shawnee: negative | Vickie: negative | Lynette: negative | Kathye: negative | Joya: negative | Isadora: negative,Diannne: 4.857142857142857 | Joellen: 1 | Marthe: 1 | Shawnee: 5.5 | Vickie: 1 | Lynette: 4.857142857142857 | Kathye: 4.857142857142857 | Joya: 4.857142857142857 | Isadora: 1
Runde8,745.0,17,True,Marthe: negative | Shawnee: negative | Lynette: negative,Marthe: 1.0 | Shawnee: 4.857142857142857 | Lynette: 4.6
Runde9,869.75,5,True,Joellen: negative | Vickie: negative | Joya: negative | Isadora: negative,Joellen: 1.0 | Vickie: 1.0 | Joya: 4.6 | Isadora: 1.0
Runde10,952.75,16,False,Diannne: negative | Joellen: negative | Lena: negative | Ardith: negative | Shawnee: negative | Helga: negative | Lynette: negative | Joya: negative | Vilhelmina: negative,Diannne: 4.6 | Joellen: 1.0 | Lena: 1 | Ardith: 5.5 | Shawnee: 4.6 | Helga: 1.0 | Lynette: 4.461538461538462 | Joya: 4.461538461538462 | Vilhelmina: 1.0
