Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,29.25,5,False,,
Runde2,154.0,20,False,,
Runde3,290.75,5,False,Ludovika: positive | Eleni: positive | Tabitha: positive | Thomasine: positive,Ludovika: 10 | Eleni: 10 | Tabitha: 10 | Thomasine: 10
Runde4,463.25,9,False,Jacquetta: positive | Shandie: positive | Cristen: positive | Christabella: positive | Caresse: positive | Tabitha: positive | Traci: positive | Pegeen: positive,Jacquetta: 10 | Shandie: 10 | Cristen: 10 | Christabella: 10 | Caresse: 10 | Tabitha: 10.0 | Traci: 10 | Pegeen: 10
Runde5,596.75,3,False,Sunny: positive | Jacquetta: positive | Cristen: positive | Ariadne: positive | Caresse: positive | Tabitha: positive | Madalyn: positive | Traci: positive | Pegeen: positive | Thomasine: positive,Sunny: 10 | Jacquetta: 10.0 | Cristen: 10.0 | Ariadne: 10 | Caresse: 10.0 | Tabitha: 10.0 | Madalyn: 10 | Traci: 10.0 | Pegeen: 10.0 | Thomasine: 10.0
Runde6,712.25,15,False,Ludovika: positive | Shandie: positive | Dniren: positive | Ariadne: positive | Tabitha: positive | Madalyn: positive,Ludovika: 10.0 | Shandie: 10.0 | Dniren: 10 | Ariadne: 10.0 | Tabitha: 10.0 | Madalyn: 10.0
Runde7,840.5,12,False,Ludovika: positive | Shandie: positive | Cristen: positive | Ariadne: positive | Christabella: positive | Tabitha: positive | Thomasine: positive,Ludovika: 10.0 | Shandie: 10.0 | Cristen: 10.0 | Ariadne: 10.0 | Christabella: 10.0 | Tabitha: 10.0 | Thomasine: 10.0
Runde8,986.5,19,False,Jacquetta: positive | Cristen: positive | Tabitha: positive | Madalyn: positive | Traci: positive | Pegeen: positive,Jacquetta: 10.0 | Cristen: 10.0 | Tabitha: 10.0 | Madalyn: 10.0 | Traci: 10.0 | Pegeen: 10.0
Runde9,1129.0,9,False,Sunny: positive | Dniren: positive | Ariadne: positive | Christabella: positive | Traci: positive | Felicity: positive | Thomasine: positive,Sunny: 10.0 | Dniren: 10.0 | Ariadne: 10.0 | Christabella: 10.0 | Traci: 10.0 | Felicity: 10 | Thomasine: 10.0
Runde10,1269.5,8,True,Sunny: positive | Jacquetta: positive | Shandie: positive | Cristen: positive | Ariadne: positive | Christabella: positive | Eleni: positive | Tabitha: positive | Traci: positive | Felicity: positive,Sunny: 10.0 | Jacquetta: 10.0 | Shandie: 10.0 | Cristen: 10.0 | Ariadne: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Tabitha: 10.0 | Traci: 10.0 | Felicity: 10.0
Runde11,1436.25,5,False,Sunny: positive | Jacquetta: positive | Ludovika: positive | Ariadne: positive | Eleni: positive | Madalyn: positive | Gisella: positive | Traci: positive | Thomasine: positive,Sunny: 10.0 | Jacquetta: 10.0 | Ludovika: 10.0 | Ariadne: 10.0 | Eleni: 10.0 | Madalyn: 10.0 | Gisella: 10 | Traci: 10.0 | Thomasine: 10.0
Runde12,1591.5,18,False,Shannon: positive | Sunny: positive | Shandie: positive | Christabella: positive | Tabitha: positive | Madalyn: positive | Pegeen: positive | Felicity: positive,Shannon: 10 | Sunny: 10.0 | Shandie: 10.0 | Christabella: 10.0 | Tabitha: 10.0 | Madalyn: 10.0 | Pegeen: 10.0 | Felicity: 10.0
Runde13,1726.5,6,True,Shannon: positive | Mallorie: positive | Shandie: positive | Eleni: positive | Madalyn: positive | Gisella: positive | Pegeen: positive | Thomasine: positive,Shannon: 10.0 | Mallorie: 10 | Shandie: 10.0 | Eleni: 10.0 | Madalyn: 10.0 | Gisella: 10.0 | Pegeen: 10.0 | Thomasine: 10.0
Runde14,1865.5,17,True,Mallorie: positive | Christabella: positive | Eleni: positive | Traci: positive,Mallorie: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Traci: 10.0
Runde15,2010.0,7,True,Shannon: positive | Sunny: positive | Mallorie: positive | Dniren: positive | Christabella: positive | Eleni: positive | Tabitha: positive | Madalyn: positive | Traci: positive,Shannon: 10.0 | Sunny: 10.0 | Mallorie: 10.0 | Dniren: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Tabitha: 10.0 | Madalyn: 10.0 | Traci: 10.0
Runde16,2129.75,7,False,Shannon: positive | Sunny: positive | Ludovika: positive | Cristen: positive | Eleni: positive | Caresse: positive | Madalyn: positive,Shannon: 10.0 | Sunny: 10.0 | Ludovika: 10.0 | Cristen: 10.0 | Eleni: 10.0 | Caresse: 10.0 | Madalyn: 10.0
Runde17,2248.0,10,True,Shannon: positive | Jacquetta: positive | Cristen: positive | Ariadne: positive | Christabella: positive | Caresse: positive,Shannon: 10.0 | Jacquetta: 10.0 | Cristen: 10.0 | Ariadne: 10.0 | Christabella: 10.0 | Caresse: 10.0
Runde18,2360.25,7,True,Shannon: positive | Herminia: positive | Ariadne: positive | Madalyn: positive | Pegeen: positive,Shannon: 10.0 | Herminia: 10 | Ariadne: 10.0 | Madalyn: 10.0 | Pegeen: 10.0
Runde19,2510.25,6,True,Shannon: positive | Sunny: positive | Shandie: positive | Christabella: positive | Eleni: positive | Tabitha: positive,Shannon: 10.0 | Sunny: 10.0 | Shandie: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Tabitha: 10.0
