Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,32.25,2,False,,
Runde2,173.0,4,False,Blinny: positive | Thomasine: positive,Blinny: 10 | Thomasine: 10
Runde3,306.75,8,False,Ludovika: positive | Christabella: positive | Madalyn: positive | Traci: positive,Ludovika: 10 | Christabella: 10 | Madalyn: 10 | Traci: 10
Runde4,468.25,20,False,Shannon: negative | Sunny: negative | Dniren: negative | Herminia: negative | Eleni: negative,Shannon: 1 | Sunny: 1 | Dniren: 1 | Herminia: 1 | Eleni: 1
Runde5,600.75,19,False,Shannon: negative | Sunny: negative | Herminia: positive | Pegeen: negative,Shannon: 1.0 | Sunny: 1.0 | Herminia: 5.5 | Pegeen: 1
Runde6,720.25,11,False,Dniren: positive | Cristen: positive | Tabitha: positive | Traci: positive,Dniren: 5.5 | Cristen: 10 | Tabitha: 10 | Traci: 10.0
Runde7,860.5,0,True,Sunny: positive | Ludovika: positive | Shandie: positive | Christabella: positive | Blinny: positive,Sunny: 3.5714285714285716 | Ludovika: 10.0 | Shandie: 10 | Christabella: 10.0 | Blinny: 10.0
Runde8,1012.5,13,False,Sunny: positive | Shandie: positive | Cristen: positive | Christabella: positive | Tabitha: positive,Sunny: 4.6 | Shandie: 10.0 | Cristen: 10.0 | Christabella: 10.0 | Tabitha: 10.0
Runde9,1159.0,5,True,Sunny: positive | Jacquetta: positive | Ludovika: positive | Dniren: positive | Cristen: positive | Ariadne: positive | Christabella: positive | Tabitha: positive | Blinny: positive | Traci: positive | Pegeen: positive | Thomasine: positive,Sunny: 5.153846153846154 | Jacquetta: 10 | Ludovika: 10.0 | Dniren: 6.142857142857143 | Cristen: 10.0 | Ariadne: 10 | Christabella: 10.0 | Tabitha: 10.0 | Blinny: 10.0 | Traci: 10.0 | Pegeen: 5.5 | Thomasine: 10.0
Runde10,1289.5,18,True,Shannon: positive | Jacquetta: positive | Ludovika: positive | Shandie: positive | Dniren: positive | Ariadne: positive | Felicity: positive,Shannon: 3.5714285714285716 | Jacquetta: 10.0 | Ludovika: 10.0 | Shandie: 10.0 | Dniren: 6.4 | Ariadne: 10.0 | Felicity: 10
Runde11,1441.25,20,False,Sunny: positive | Mallorie: positive | Ludovika: positive | Ariadne: positive | Traci: positive,Sunny: 5.5 | Mallorie: 10 | Ludovika: 10.0 | Ariadne: 10.0 | Traci: 10.0
