Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,30.25,4,False,,
Runde2,169.0,6,False,Thomasine: positive,Thomasine: 10
Runde3,308.75,2,False,Mallorie: positive | Ludovika: positive | Herminia: positive | Christabella: positive | Eleni: positive | Gisella: positive | Blinny: positive | Pegeen: positive | Felicity: positive | Thomasine: positive,Mallorie: 10 | Ludovika: 10 | Herminia: 10 | Christabella: 10 | Eleni: 10 | Gisella: 10 | Blinny: 10 | Pegeen: 10 | Felicity: 10 | Thomasine: 10.0
Runde4,476.25,14,True,Shannon: negative | Mallorie: positive | Ludovika: negative | Ariadne: negative | Tabitha: positive | Madalyn: negative | Gisella: negative,Shannon: 1 | Mallorie: 10.0 | Ludovika: 5.5 | Ariadne: 1 | Tabitha: 10 | Madalyn: 1 | Gisella: 5.5
Runde5,602.75,19,True,Shannon: negative | Ariadne: negative | Christabella: negative | Madalyn: negative | Felicity: negative | Thomasine: negative,Shannon: 1.0 | Ariadne: 1.0 | Christabella: 5.5 | Madalyn: 1.0 | Felicity: 5.5 | Thomasine: 7.428571428571429
Runde6,743.25,2,True,Jacquetta: negative | Ludovika: negative | Eleni: negative | Gisella: negative | Blinny: negative | Pegeen: negative | Felicity: negative | Thomasine: negative,Jacquetta: 1 | Ludovika: 4.857142857142857 | Eleni: 5.5 | Gisella: 4.857142857142857 | Blinny: 5.5 | Pegeen: 5.5 | Felicity: 4.857142857142857 | Thomasine: 6.4
Runde7,866.5,17,True,Sunny: positive | Mallorie: negative | Christabella: positive | Madalyn: negative | Blinny: positive | Felicity: negative,Sunny: 10 | Mallorie: 7.428571428571429 | Christabella: 7.428571428571429 | Madalyn: 1.0 | Blinny: 7.428571428571429 | Felicity: 4.6
Runde8,1020.5,11,False,Shannon: negative | Ludovika: negative | Cristen: negative | Herminia: negative | Christabella: negative | Caresse: negative,Shannon: 1.0 | Ludovika: 4.6 | Cristen: 1 | Herminia: 5.5 | Christabella: 6.4 | Caresse: 1
Runde9,1165.0,7,True,Sunny: positive | Jacquetta: positive | Ludovika: positive | Shandie: positive | Cristen: positive | Christabella: positive | Caresse: positive | Traci: positive | Pegeen: positive | Thomasine: positive,Sunny: 10.0 | Jacquetta: 5.5 | Ludovika: 5.846153846153846 | Shandie: 10 | Cristen: 5.5 | Christabella: 7.230769230769231 | Caresse: 5.5 | Traci: 10 | Pegeen: 7.428571428571429 | Thomasine: 7.230769230769231
Runde10,1309.5,4,True,Jacquetta: positive | Ludovika: positive | Shandie: positive | Ariadne: positive | Tabitha: positive | Madalyn: positive | Blinny: positive | Traci: positive,Jacquetta: 6.142857142857143 | Ludovika: 6.625 | Shandie: 10.0 | Ariadne: 3.5714285714285716 | Tabitha: 10.0 | Madalyn: 2.8 | Blinny: 8.2 | Traci: 10.0
Runde11,1480.25,1,False,Sunny: positive | Jacquetta: positive | Mallorie: positive | Ludovika: positive | Cristen: positive | Caresse: positive | Madalyn: positive | Gisella: positive | Thomasine: positive,Sunny: 10.0 | Jacquetta: 6.4 | Mallorie: 8.2 | Ludovika: 7.157894736842105 | Cristen: 6.142857142857143 | Caresse: 6.142857142857143 | Madalyn: 3.769230769230769 | Gisella: 6.4 | Thomasine: 7.75
Runde12,1636.5,17,False,Shannon: positive | Ariadne: positive | Christabella: positive | Eleni: positive | Caresse: positive | Tabitha: positive | Madalyn: positive | Blinny: positive | Traci: positive | Pegeen: positive | Felicity: positive | Thomasine: positive,Shannon: 2.8 | Ariadne: 4.6 | Christabella: 7.75 | Eleni: 7.428571428571429 | Caresse: 6.4 | Tabitha: 10.0 | Madalyn: 4.375 | Blinny: 8.615384615384615 | Traci: 10.0 | Pegeen: 8.2 | Felicity: 5.846153846153846 | Thomasine: 8.105263157894736
Runde13,1757.5,20,True,Shannon: positive | Shandie: positive | Cristen: positive | Ariadne: positive | Tabitha: positive | Madalyn: positive | Gisella: positive | Pegeen: positive | Thomasine: positive,Shannon: 3.769230769230769 | Shandie: 10.0 | Cristen: 6.4 | Ariadne: 5.153846153846154 | Tabitha: 10.0 | Madalyn: 4.7894736842105265 | Gisella: 7.230769230769231 | Pegeen: 8.615384615384615 | Thomasine: 8.363636363636363
Runde14,1897.5,16,True,Shannon: positive | Mallorie: positive | Eleni: positive | Madalyn: positive | Blinny: positive,Shannon: 4.375 | Mallorie: 8.615384615384615 | Eleni: 8.2 | Madalyn: 5.090909090909091 | Blinny: 8.875
