Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,31.25,3,False,,
Runde2,167.0,9,False,Herminia: positive,Herminia: 10
Runde3,308.75,0,False,Shannon: positive | Mallorie: positive | Eleni: positive | Blinny: positive | Pegeen: positive | Thomasine: positive,Shannon: 10 | Mallorie: 10 | Eleni: 10 | Blinny: 10 | Pegeen: 10 | Thomasine: 10
Runde4,478.25,12,False,Sunny: negative | Jacquetta: positive | Cristen: positive | Herminia: negative | Thomasine: positive,Sunny: 1 | Jacquetta: 10 | Cristen: 10 | Herminia: 5.5 | Thomasine: 10.0
Runde5,613.75,7,True,Sunny: negative | Mallorie: negative | Madalyn: negative | Blinny: negative | Thomasine: negative,Sunny: 1.0 | Mallorie: 5.5 | Madalyn: 1 | Blinny: 5.5 | Thomasine: 7.428571428571429
Runde6,747.25,12,True,Shannon: negative | Sunny: negative | Jacquetta: negative | Ariadne: negative | Christabella: negative | Eleni: negative | Tabitha: negative | Blinny: negative | Pegeen: negative | Thomasine: negative,Shannon: 5.5 | Sunny: 1.0 | Jacquetta: 5.5 | Ariadne: 1 | Christabella: 1 | Eleni: 5.5 | Tabitha: 1 | Blinny: 4.857142857142857 | Pegeen: 5.5 | Thomasine: 6.4
Runde7,883.5,4,True,Shannon: negative | Sunny: negative | Dniren: negative | Herminia: negative | Ariadne: negative | Tabitha: negative | Madalyn: negative | Traci: negative | Pegeen: negative | Felicity: negative,Shannon: 4.857142857142857 | Sunny: 1.0 | Dniren: 1 | Herminia: 4.857142857142857 | Ariadne: 1.0 | Tabitha: 1.0 | Madalyn: 1.0 | Traci: 1 | Pegeen: 4.857142857142857 | Felicity: 1
Runde8,1038.5,10,False,Shannon: negative | Mallorie: negative | Cristen: negative | Ariadne: negative | Christabella: negative | Madalyn: negative | Blinny: negative | Felicity: negative,Shannon: 4.6 | Mallorie: 4.857142857142857 | Cristen: 5.5 | Ariadne: 1.0 | Christabella: 1.0 | Madalyn: 1.0 | Blinny: 4.6 | Felicity: 1.0
Runde9,1202.0,15,True,Shannon: negative | Sunny: negative | Jacquetta: negative | Mallorie: negative | Caresse: negative | Pegeen: negative,Shannon: 4.461538461538462 | Sunny: 1.0 | Jacquetta: 4.857142857142857 | Mallorie: 4.6 | Caresse: 1 | Pegeen: 4.6
Runde10,1361.5,16,True,Shannon: negative | Sunny: negative | Jacquetta: negative | Mallorie: negative | Herminia: negative | Christabella: negative | Caresse: negative | Tabitha: negative | Blinny: negative | Pegeen: negative,Shannon: 4.375 | Sunny: 1.0 | Jacquetta: 4.6 | Mallorie: 4.461538461538462 | Herminia: 4.6 | Christabella: 1.0 | Caresse: 1.0 | Tabitha: 1.0 | Blinny: 4.461538461538462 | Pegeen: 4.461538461538462
Runde11,1531.25,2,False,Jacquetta: negative | Mallorie: negative | Shandie: negative | Dniren: negative | Christabella: negative | Madalyn: negative | Pegeen: negative,Jacquetta: 4.461538461538462 | Mallorie: 4.375 | Shandie: 1 | Dniren: 1.0 | Christabella: 1.0 | Madalyn: 1.0 | Pegeen: 4.375
Runde12,1695.5,9,False,Tabitha: negative | Blinny: negative | Traci: negative | Pegeen: negative,Tabitha: 1.0 | Blinny: 4.375 | Traci: 1.0 | Pegeen: 4.315789473684211
Runde13,1861.5,8,True,Jacquetta: negative | Mallorie: negative | Herminia: negative | Christabella: negative | Eleni: negative | Caresse: negative | Gisella: negative | Felicity: negative,Jacquetta: 4.375 | Mallorie: 4.315789473684211 | Herminia: 4.461538461538462 | Christabella: 1.0 | Eleni: 4.857142857142857 | Caresse: 1.0 | Gisella: 1 | Felicity: 1.0
Runde14,2031.5,19,True,Shannon: negative | Jacquetta: negative | Mallorie: negative | Shandie: negative | Cristen: negative | Herminia: negative | Christabella: negative | Caresse: negative | Madalyn: negative | Gisella: negative | Blinny: negative | Traci: negative | Pegeen: negative,Shannon: 4.315789473684211 | Jacquetta: 4.315789473684211 | Mallorie: 4.2727272727272725 | Shandie: 1.0 | Cristen: 4.857142857142857 | Herminia: 4.375 | Christabella: 1.0 | Caresse: 1.0 | Madalyn: 1.0 | Gisella: 1.0 | Blinny: 4.315789473684211 | Traci: 1.0 | Pegeen: 4.2727272727272725
Runde15,2200.0,16,True,Jacquetta: negative | Mallorie: negative | Herminia: negative | Christabella: negative | Caresse: negative | Madalyn: negative | Traci: negative,Jacquetta: 4.2727272727272725 | Mallorie: 4.24 | Herminia: 4.315789473684211 | Christabella: 1.0 | Caresse: 1.0 | Madalyn: 1.0 | Traci: 1.0
Runde16,2326.75,0,False,Shannon: negative | Sunny: negative | Jacquetta: negative | Mallorie: negative | Dniren: negative | Herminia: negative | Ariadne: negative | Eleni: negative | Tabitha: negative | Blinny: negative | Traci: negative | Felicity: negative,Shannon: 4.2727272727272725 | Sunny: 1.0 | Jacquetta: 4.24 | Mallorie: 4.214285714285714 | Dniren: 1.0 | Herminia: 4.2727272727272725 | Ariadne: 1.0 | Eleni: 4.6 | Tabitha: 1.0 | Blinny: 4.2727272727272725 | Traci: 1.0 | Felicity: 1.0
Runde17,2481.0,7,True,Sunny: negative | Shandie: negative | Cristen: negative | Christabella: negative | Eleni: negative | Caresse: negative | Blinny: negative | Traci: negative | Thomasine: negative,Sunny: 1.0 | Shandie: 1.0 | Cristen: 4.6 | Christabella: 1.0 | Eleni: 4.461538461538462 | Caresse: 1.0 | Blinny: 4.24 | Traci: 1.0 | Thomasine: 5.846153846153846
Runde18,2624.25,9,True,Shannon: negative | Jacquetta: negative | Mallorie: negative | Ariadne: negative | Caresse: negative | Tabitha: negative | Gisella: negative | Pegeen: negative | Felicity: negative | Thomasine: negative,Shannon: 4.24 | Jacquetta: 4.214285714285714 | Mallorie: 4.193548387096774 | Ariadne: 1.0 | Caresse: 1.0 | Tabitha: 1.0 | Gisella: 1.0 | Pegeen: 4.24 | Felicity: 1.0 | Thomasine: 5.5
Runde19,2800.25,13,True,Jacquetta: negative | Dniren: negative | Herminia: negative | Eleni: negative | Traci: negative | Pegeen: negative | Thomasine: negative,Jacquetta: 4.193548387096774 | Dniren: 1.0 | Herminia: 4.24 | Eleni: 4.375 | Traci: 1.0 | Pegeen: 4.214285714285714 | Thomasine: 5.2631578947368425
Runde20,2976.25,19,False,Dniren: negative | Cristen: negative | Ariadne: negative | Christabella: negative | Caresse: negative | Traci: negative | Pegeen: negative | Felicity: negative,Dniren: 1.0 | Cristen: 4.461538461538462 | Ariadne: 1.0 | Christabella: 1.0 | Caresse: 1.0 | Traci: 1.0 | Pegeen: 4.193548387096774 | Felicity: 1.0
Runde21,3118.0,9,False,Sunny: negative | Jacquetta: negative | Shandie: negative | Cristen: negative | Eleni: negative | Madalyn: negative | Blinny: negative | Felicity: negative,Sunny: 1.0 | Jacquetta: 4.176470588235294 | Shandie: 1.0 | Cristen: 4.375 | Eleni: 4.315789473684211 | Madalyn: 1.0 | Blinny: 4.214285714285714 | Felicity: 1.0
Runde22,3277.25,5,True,Sunny: negative | Shandie: negative | Ariadne: negative | Christabella: negative | Tabitha: negative | Gisella: negative | Blinny: negative,Sunny: 1.0 | Shandie: 1.0 | Ariadne: 1.0 | Christabella: 1.0 | Tabitha: 1.0 | Gisella: 1.0 | Blinny: 4.193548387096774
Runde23,3465.25,16,True,Jacquetta: negative | Mallorie: negative | Cristen: negative | Christabella: negative | Tabitha: negative | Gisella: negative | Blinny: negative | Traci: negative | Thomasine: negative,Jacquetta: 4.162162162162162 | Mallorie: 4.176470588235294 | Cristen: 4.315789473684211 | Christabella: 1.0 | Tabitha: 1.0 | Gisella: 1.0 | Blinny: 4.176470588235294 | Traci: 1.0 | Thomasine: 5.090909090909091
Runde24,3568.75,15,True,Sunny: negative | Mallorie: negative | Cristen: negative | Caresse: negative | Tabitha: negative | Madalyn: negative | Blinny: negative | Traci: negative | Pegeen: negative | Thomasine: negative,Sunny: 1.0 | Mallorie: 4.162162162162162 | Cristen: 4.2727272727272725 | Caresse: 1.0 | Tabitha: 1.0 | Madalyn: 1.0 | Blinny: 4.162162162162162 | Traci: 1.0 | Pegeen: 4.176470588235294 | Thomasine: 4.96
Runde25,,,False,,
