Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,32.25,2,False,,
Runde2,167.0,10,False,Blinny: positive,Blinny: 10
Runde3,296.75,12,False,Mallorie: positive | Christabella: positive | Tabitha: positive | Gisella: positive | Traci: positive | Felicity: positive,Mallorie: 10 | Christabella: 10 | Tabitha: 10 | Gisella: 10 | Traci: 10 | Felicity: 10
Runde4,473.25,5,False,Ludovika: negative | Dniren: negative | Herminia: negative | Tabitha: positive | Traci: positive | Thomasine: positive,Ludovika: 1 | Dniren: 1 | Herminia: 1 | Tabitha: 10.0 | Traci: 10.0 | Thomasine: 10
Runde5,603.75,6,True,Shannon: negative | Jacquetta: positive | Ludovika: positive | Dniren: positive | Herminia: positive | Eleni: positive | Caresse: positive | Gisella: positive | Felicity: positive,Shannon: 1 | Jacquetta: 10 | Ludovika: 5.5 | Dniren: 5.5 | Herminia: 5.5 | Eleni: 10 | Caresse: 10 | Gisella: 10.0 | Felicity: 10.0
Runde6,740.25,6,True,Shannon: negative | Sunny: negative | Jacquetta: negative | Ludovika: negative | Dniren: positive | Herminia: negative | Christabella: negative | Eleni: negative | Gisella: negative | Blinny: negative | Thomasine: negative,Shannon: 1.0 | Sunny: 1 | Jacquetta: 5.5 | Ludovika: 3.5714285714285716 | Dniren: 6.142857142857143 | Herminia: 3.5714285714285716 | Christabella: 5.5 | Eleni: 5.5 | Gisella: 7.428571428571429 | Blinny: 5.5 | Thomasine: 5.5
Runde7,868.5,12,True,Jacquetta: negative | Mallorie: negative | Shandie: positive | Gisella: positive | Blinny: positive | Felicity: negative,Jacquetta: 4.857142857142857 | Mallorie: 5.5 | Shandie: 10 | Gisella: 8.2 | Blinny: 7.428571428571429 | Felicity: 7.428571428571429
Runde8,1023.5,10,False,Dniren: positive | Ariadne: negative | Traci: negative | Thomasine: positive,Dniren: 6.4 | Ariadne: 1 | Traci: 7.428571428571429 | Thomasine: 7.428571428571429
Runde9,1172.0,3,True,Ludovika: positive | Dniren: positive | Eleni: positive | Tabitha: positive | Blinny: positive | Traci: positive | Thomasine: positive,Ludovika: 4.6 | Dniren: 6.538461538461538 | Eleni: 7.428571428571429 | Tabitha: 10.0 | Blinny: 8.2 | Traci: 8.2 | Thomasine: 8.2
Runde10,1318.5,2,True,Shannon: positive | Ludovika: positive | Ariadne: positive | Traci: positive,Shannon: 3.5714285714285716 | Ludovika: 5.153846153846154 | Ariadne: 5.5 | Traci: 8.615384615384615
