Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,32.25,2,False,,
Runde2,159.0,18,False,Blinny: positive,Blinny: 10
Runde3,295.75,5,False,Tabitha: positive | Madalyn: positive | Blinny: positive | Traci: positive | Felicity: positive,Tabitha: 10 | Madalyn: 10 | Blinny: 10.0 | Traci: 10 | Felicity: 10
Runde4,477.25,0,True,Jacquetta: positive | Cristen: positive | Christabella: positive | Caresse: positive | Tabitha: positive | Blinny: positive | Pegeen: positive,Jacquetta: 10 | Cristen: 10 | Christabella: 10 | Caresse: 10 | Tabitha: 10.0 | Blinny: 10.0 | Pegeen: 10
Runde5,611.75,2,True,Ludovika: positive | Dniren: positive | Herminia: positive | Ariadne: positive | Eleni: positive | Tabitha: positive | Madalyn: positive | Blinny: positive | Traci: positive | Thomasine: positive,Ludovika: 10 | Dniren: 10 | Herminia: 10 | Ariadne: 10 | Eleni: 10 | Tabitha: 10.0 | Madalyn: 10.0 | Blinny: 10.0 | Traci: 10.0 | Thomasine: 10
Runde6,740.25,8,True,Jacquetta: negative | Mallorie: negative | Herminia: negative | Christabella: negative | Eleni: negative | Gisella: negative | Felicity: negative | Thomasine: negative,Jacquetta: 5.5 | Mallorie: 1 | Herminia: 5.5 | Christabella: 5.5 | Eleni: 5.5 | Gisella: 1 | Felicity: 5.5 | Thomasine: 5.5
Runde7,877.5,3,True,Jacquetta: negative | Mallorie: negative | Cristen: negative | Eleni: negative | Caresse: negative | Tabitha: negative | Traci: negative | Felicity: negative,Jacquetta: 4.857142857142857 | Mallorie: 1.0 | Cristen: 5.5 | Eleni: 4.857142857142857 | Caresse: 5.5 | Tabitha: 8.2 | Traci: 7.428571428571429 | Felicity: 4.857142857142857
Runde8,1036.5,6,False,Jacquetta: negative | Dniren: positive | Felicity: negative | Thomasine: positive,Jacquetta: 4.6 | Dniren: 10.0 | Felicity: 4.6 | Thomasine: 7.428571428571429
Runde9,1184.0,13,True,Jacquetta: negative | Mallorie: negative | Shandie: negative | Herminia: negative | Christabella: negative | Madalyn: negative | Gisella: negative | Blinny: positive | Thomasine: negative,Jacquetta: 4.461538461538462 | Mallorie: 1.0 | Shandie: 1 | Herminia: 4.857142857142857 | Christabella: 4.857142857142857 | Madalyn: 7.428571428571429 | Gisella: 1.0 | Blinny: 10.0 | Thomasine: 6.4
