Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,34.25,0,False,,
Runde2,167.0,12,False,Thomasine: positive,Thomasine: 10
Runde3,307.75,1,False,Shannon: positive | Mallorie: positive | Ludovika: positive | Tabitha: positive | Madalyn: positive | Blinny: positive | Thomasine: positive,Shannon: 10 | Mallorie: 10 | Ludovika: 10 | Tabitha: 10 | Madalyn: 10 | Blinny: 10 | Thomasine: 10.0
Runde4,484.25,5,True,Ludovika: negative | Herminia: negative | Ariadne: negative | Tabitha: positive | Madalyn: negative | Traci: positive | Felicity: positive | Thomasine: positive,Ludovika: 5.5 | Herminia: 1 | Ariadne: 1 | Tabitha: 10.0 | Madalyn: 5.5 | Traci: 10 | Felicity: 10 | Thomasine: 10.0
Runde5,625.75,4,True,Ariadne: negative | Madalyn: negative | Pegeen: negative | Thomasine: negative,Ariadne: 1.0 | Madalyn: 4.857142857142857 | Pegeen: 1 | Thomasine: 8.2
Runde6,762.25,12,True,Mallorie: negative | Ludovika: negative | Shandie: negative | Eleni: negative | Madalyn: negative | Gisella: negative | Traci: negative | Felicity: negative | Thomasine: negative,Mallorie: 5.5 | Ludovika: 4.857142857142857 | Shandie: 1 | Eleni: 1 | Madalyn: 4.6 | Gisella: 1 | Traci: 5.5 | Felicity: 5.5 | Thomasine: 7.230769230769231
Runde7,914.5,15,True,Shannon: negative | Jacquetta: negative | Mallorie: negative | Dniren: negative | Herminia: negative | Ariadne: negative | Caresse: negative | Tabitha: negative | Gisella: negative | Blinny: negative | Felicity: negative | Thomasine: negative,Shannon: 5.5 | Jacquetta: 1 | Mallorie: 4.857142857142857 | Dniren: 1 | Herminia: 1.0 | Ariadne: 1.0 | Caresse: 1 | Tabitha: 7.428571428571429 | Gisella: 1.0 | Blinny: 5.5 | Felicity: 4.857142857142857 | Thomasine: 6.625
Runde8,1071.5,8,False,Shannon: negative | Jacquetta: negative | Shandie: negative | Cristen: negative | Ariadne: negative | Christabella: negative | Eleni: negative | Tabitha: negative | Madalyn: negative | Traci: negative,Shannon: 4.857142857142857 | Jacquetta: 1.0 | Shandie: 1.0 | Cristen: 1 | Ariadne: 1.0 | Christabella: 1 | Eleni: 1.0 | Tabitha: 6.4 | Madalyn: 4.461538461538462 | Traci: 4.857142857142857
Runde9,1250.0,6,True,Shannon: negative | Mallorie: negative | Dniren: negative | Herminia: negative | Madalyn: negative | Traci: negative | Thomasine: negative,Shannon: 4.6 | Mallorie: 4.6 | Dniren: 1.0 | Herminia: 1.0 | Madalyn: 4.375 | Traci: 4.6 | Thomasine: 6.2105263157894735
Runde10,1419.5,12,True,Shannon: negative | Jacquetta: negative | Ludovika: negative | Shandie: negative | Dniren: negative | Cristen: negative | Herminia: negative | Caresse: negative | Madalyn: negative | Gisella: negative | Felicity: negative | Thomasine: negative,Shannon: 4.461538461538462 | Jacquetta: 1.0 | Ludovika: 4.6 | Shandie: 1.0 | Dniren: 1.0 | Cristen: 1.0 | Herminia: 1.0 | Caresse: 1.0 | Madalyn: 4.315789473684211 | Gisella: 1.0 | Felicity: 4.6 | Thomasine: 5.909090909090909
Runde11,1573.25,18,False,Jacquetta: negative | Dniren: negative | Cristen: negative | Eleni: negative | Madalyn: negative | Gisella: negative | Blinny: negative,Jacquetta: 1.0 | Dniren: 1.0 | Cristen: 1.0 | Eleni: 1.0 | Madalyn: 4.2727272727272725 | Gisella: 1.0 | Blinny: 4.857142857142857
Runde12,1743.5,3,False,Ludovika: negative | Shandie: negative | Cristen: negative | Madalyn: negative | Gisella: negative | Traci: negative | Felicity: negative,Ludovika: 4.461538461538462 | Shandie: 1.0 | Cristen: 1.0 | Madalyn: 4.24 | Gisella: 1.0 | Traci: 4.461538461538462 | Felicity: 4.461538461538462
Runde13,1905.5,12,True,Shannon: negative | Mallorie: negative | Ludovika: negative | Herminia: negative | Christabella: negative | Eleni: negative | Tabitha: negative | Traci: negative | Thomasine: negative,Shannon: 4.375 | Mallorie: 4.461538461538462 | Ludovika: 4.375 | Herminia: 1.0 | Christabella: 1.0 | Eleni: 1.0 | Tabitha: 5.846153846153846 | Traci: 4.375 | Thomasine: 5.68
Runde14,2074.5,20,True,Mallorie: negative | Ludovika: negative | Shandie: negative | Herminia: negative | Christabella: negative | Eleni: negative | Caresse: negative | Madalyn: negative | Blinny: negative | Thomasine: negative,Mallorie: 4.375 | Ludovika: 4.315789473684211 | Shandie: 1.0 | Herminia: 1.0 | Christabella: 1.0 | Eleni: 1.0 | Caresse: 1.0 | Madalyn: 4.214285714285714 | Blinny: 4.6 | Thomasine: 5.5
Runde15,2244.0,15,True,Jacquetta: negative | Herminia: negative | Christabella: negative | Caresse: negative | Madalyn: negative | Gisella: negative | Pegeen: negative | Felicity: negative,Jacquetta: 1.0 | Herminia: 1.0 | Christabella: 1.0 | Caresse: 1.0 | Madalyn: 4.193548387096774 | Gisella: 1.0 | Pegeen: 1.0 | Felicity: 4.375
Runde16,2366.75,4,False,Shannon: negative | Jacquetta: negative | Shandie: negative | Dniren: negative | Herminia: negative | Christabella: negative | Caresse: negative | Madalyn: negative | Gisella: negative,Shannon: 4.315789473684211 | Jacquetta: 1.0 | Shandie: 1.0 | Dniren: 1.0 | Herminia: 1.0 | Christabella: 1.0 | Caresse: 1.0 | Madalyn: 4.176470588235294 | Gisella: 1.0
Runde17,2510.0,18,True,Dniren: negative | Christabella: negative | Caresse: negative | Tabitha: negative,Dniren: 1.0 | Christabella: 1.0 | Caresse: 1.0 | Tabitha: 5.5
Runde18,2642.25,20,True,Shannon: negative | Mallorie: negative | Ludovika: negative | Shandie: negative | Cristen: negative | Herminia: negative | Ariadne: negative | Eleni: negative | Caresse: negative | Gisella: negative | Blinny: negative | Pegeen: negative | Felicity: negative,Shannon: 4.2727272727272725 | Mallorie: 4.315789473684211 | Ludovika: 4.2727272727272725 | Shandie: 1.0 | Cristen: 1.0 | Herminia: 1.0 | Ariadne: 1.0 | Eleni: 1.0 | Caresse: 1.0 | Gisella: 1.0 | Blinny: 4.461538461538462 | Pegeen: 1.0 | Felicity: 4.315789473684211
