Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,34.25,0,False,,
Runde2,169.0,10,False,Herminia: positive,Herminia: 10
Runde3,294.75,16,False,Ludovika: positive | Herminia: positive | Christabella: positive | Tabitha: positive | Madalyn: positive | Blinny: positive,Ludovika: 10 | Herminia: 10.0 | Christabella: 10 | Tabitha: 10 | Madalyn: 10 | Blinny: 10
Runde4,458.25,18,False,Shannon: negative | Ludovika: negative | Dniren: negative | Cristen: positive | Tabitha: positive | Madalyn: negative,Shannon: 1 | Ludovika: 5.5 | Dniren: 1 | Cristen: 10 | Tabitha: 10.0 | Madalyn: 5.5
Runde5,579.75,15,False,Jacquetta: positive | Shandie: positive | Cristen: positive | Ariadne: positive | Tabitha: positive | Madalyn: positive | Blinny: positive | Felicity: positive | Thomasine: positive,Jacquetta: 10 | Shandie: 10 | Cristen: 10.0 | Ariadne: 10 | Tabitha: 10.0 | Madalyn: 7.428571428571429 | Blinny: 10.0 | Felicity: 10 | Thomasine: 10
Runde6,704.25,6,True,Mallorie: positive | Shandie: positive | Dniren: positive | Christabella: positive | Pegeen: positive | Felicity: positive,Mallorie: 10 | Shandie: 10.0 | Dniren: 5.5 | Christabella: 10.0 | Pegeen: 10 | Felicity: 10.0
Runde7,839.5,5,True,Ludovika: positive | Christabella: positive | Eleni: positive | Caresse: positive | Gisella: positive | Blinny: positive | Pegeen: positive | Thomasine: positive,Ludovika: 7.428571428571429 | Christabella: 10.0 | Eleni: 10 | Caresse: 10 | Gisella: 10 | Blinny: 10.0 | Pegeen: 10.0 | Thomasine: 10.0
Runde8,990.5,14,False,Jacquetta: positive | Shandie: positive | Christabella: positive | Tabitha: positive | Madalyn: positive | Gisella: positive | Pegeen: positive | Thomasine: positive,Jacquetta: 10.0 | Shandie: 10.0 | Christabella: 10.0 | Tabitha: 10.0 | Madalyn: 8.2 | Gisella: 10.0 | Pegeen: 10.0 | Thomasine: 10.0
Runde9,1124.0,18,True,Sunny: positive | Jacquetta: positive | Shandie: positive | Dniren: positive | Cristen: positive | Ariadne: positive | Eleni: positive | Tabitha: positive | Pegeen: positive | Felicity: positive,Sunny: 10 | Jacquetta: 10.0 | Shandie: 10.0 | Dniren: 6.142857142857143 | Cristen: 10.0 | Ariadne: 10.0 | Eleni: 10.0 | Tabitha: 10.0 | Pegeen: 10.0 | Felicity: 10.0
Runde10,1252.5,20,True,Jacquetta: positive | Ludovika: positive | Christabella: positive | Eleni: positive | Caresse: positive | Tabitha: positive,Jacquetta: 10.0 | Ludovika: 8.2 | Christabella: 10.0 | Eleni: 10.0 | Caresse: 10.0 | Tabitha: 10.0
Runde11,1413.25,11,False,Sunny: positive | Jacquetta: positive | Mallorie: positive | Shandie: positive | Eleni: positive | Madalyn: positive | Gisella: positive | Thomasine: positive,Sunny: 10.0 | Jacquetta: 10.0 | Mallorie: 10.0 | Shandie: 10.0 | Eleni: 10.0 | Madalyn: 8.615384615384615 | Gisella: 10.0 | Thomasine: 10.0
Runde12,1575.5,11,False,Ariadne: positive | Christabella: positive | Eleni: positive | Caresse: positive | Tabitha: positive | Madalyn: positive | Pegeen: positive | Felicity: positive,Ariadne: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Caresse: 10.0 | Tabitha: 10.0 | Madalyn: 8.875 | Pegeen: 10.0 | Felicity: 10.0
Runde13,1703.5,13,True,Shannon: positive | Jacquetta: positive | Mallorie: positive | Ludovika: positive | Shandie: positive | Herminia: positive | Ariadne: positive | Eleni: positive,Shannon: 5.5 | Jacquetta: 10.0 | Mallorie: 10.0 | Ludovika: 8.615384615384615 | Shandie: 10.0 | Herminia: 10.0 | Ariadne: 10.0 | Eleni: 10.0
Runde14,1854.5,5,True,Shannon: positive | Sunny: positive | Jacquetta: positive | Dniren: positive | Eleni: positive | Caresse: positive | Blinny: positive,Shannon: 6.142857142857143 | Sunny: 10.0 | Jacquetta: 10.0 | Dniren: 6.4 | Eleni: 10.0 | Caresse: 10.0 | Blinny: 10.0
Runde15,2001.0,5,True,Mallorie: positive | Ludovika: positive | Shandie: positive | Cristen: positive | Herminia: positive | Eleni: positive | Tabitha: positive | Madalyn: positive,Mallorie: 10.0 | Ludovika: 8.875 | Shandie: 10.0 | Cristen: 10.0 | Herminia: 10.0 | Eleni: 10.0 | Tabitha: 10.0 | Madalyn: 9.052631578947368
Runde16,2124.75,3,False,Sunny: positive | Ludovika: positive | Ariadne: positive | Caresse: positive | Gisella: positive | Pegeen: positive | Felicity: positive,Sunny: 10.0 | Ludovika: 9.052631578947368 | Ariadne: 10.0 | Caresse: 10.0 | Gisella: 10.0 | Pegeen: 10.0 | Felicity: 10.0
Runde17,2245.0,8,True,Mallorie: positive | Cristen: positive | Ariadne: positive | Thomasine: positive,Mallorie: 10.0 | Cristen: 10.0 | Ariadne: 10.0 | Thomasine: 10.0
Runde18,2361.25,3,True,Sunny: positive | Ludovika: positive | Dniren: positive | Herminia: positive | Felicity: positive | Thomasine: positive,Sunny: 10.0 | Ludovika: 9.181818181818182 | Dniren: 6.538461538461538 | Herminia: 10.0 | Felicity: 10.0 | Thomasine: 10.0
Runde19,2516.25,1,True,Shannon: positive | Sunny: positive | Ludovika: positive | Herminia: positive | Ariadne: positive | Christabella: positive | Eleni: positive | Tabitha: positive,Shannon: 6.4 | Sunny: 10.0 | Ludovika: 9.28 | Herminia: 10.0 | Ariadne: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Tabitha: 10.0
Runde20,2694.25,17,False,Shannon: positive | Shandie: positive | Cristen: positive | Herminia: positive | Ariadne: positive | Christabella: positive | Eleni: positive | Caresse: positive | Gisella: positive | Pegeen: positive | Thomasine: positive,Shannon: 6.538461538461538 | Shandie: 10.0 | Cristen: 10.0 | Herminia: 10.0 | Ariadne: 10.0 | Christabella: 10.0 | Eleni: 10.0 | Caresse: 10.0 | Gisella: 10.0 | Pegeen: 10.0 | Thomasine: 10.0
Runde21,2845.0,0,False,Shannon: positive | Sunny: positive | Jacquetta: positive | Mallorie: positive | Cristen: positive | Tabitha: positive | Madalyn: positive | Thomasine: positive,Shannon: 6.625 | Sunny: 10.0 | Jacquetta: 10.0 | Mallorie: 10.0 | Cristen: 10.0 | Tabitha: 10.0 | Madalyn: 9.181818181818182 | Thomasine: 10.0
