Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,13.5,2,False,,
Runde2,32.75,10,False,Shanna: positive,Shanna: 10
Runde3,78.25,13,False,Floria: positive,Floria: 10
Runde4,112.75,3,False,Shanna: positive | Lila: positive | Jenilee: positive,Shanna: 10.0 | Lila: 10 | Jenilee: 10
Runde5,139.75,0,True,Shanna: negative | Lila: positive,Shanna: 7.428571428571429 | Lila: 10.0
Runde6,165.0,16,True,Shanna: negative | Addia: negative | Floria: positive,Shanna: 6.4 | Addia: 1 | Floria: 10.0
Runde7,205.25,1,False,Addia: negative,Addia: 1.0
Runde8,244.75,4,True,,
Runde9,256.25,17,True,Floria: negative,Floria: 7.428571428571429
Runde10,285.75,2,True,Shanna: negative | Lila: negative,Shanna: 5.846153846153846 | Lila: 7.428571428571429
Runde11,323.5,11,True,,
Runde12,342.0,19,True,Lila: negative,Lila: 6.4
Runde13,372.5,10,True,Jenilee: negative,Jenilee: 5.5
Runde14,410.5,1,True,Shanna: positive | Addia: positive,Shanna: 6.625 | Addia: 3.5714285714285716
Runde15,445.25,8,True,,
Runde16,464.0,0,True,Shanna: positive | Addia: positive | Floria: positive | Jenilee: positive,Shanna: 7.157894736842105 | Addia: 4.6 | Floria: 8.2 | Jenilee: 7.428571428571429
Runde17,495.5,0,True,Lila: positive | Jenilee: positive,Lila: 7.230769230769231 | Jenilee: 8.2
Runde18,527.75,3,True,Floria: positive | Jenilee: positive,Floria: 8.615384615384615 | Jenilee: 8.615384615384615
Runde19,569.0,3,True,Shanna: positive | Floria: positive | Jenilee: positive,Shanna: 7.545454545454546 | Floria: 8.875 | Jenilee: 8.875
Runde20,603.5,6,True,Lila: positive | Floria: positive,Lila: 7.75 | Floria: 9.052631578947368
Runde21,633.25,10,True,Shanna: negative,Shanna: 7.12
Runde22,678.0,13,True,,
Runde23,718.25,19,True,Addia: positive | Lila: negative,Addia: 5.153846153846154 | Lila: 7.157894736842105
Runde24,759.25,19,True,Lila: negative | Floria: positive,Lila: 6.7272727272727275 | Floria: 9.181818181818182
Runde25,,,False,,
