Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.75,4,False,,
Runde2,20.25,3,False,Edythe: positive | Sophi: positive,Edythe: 10 | Sophi: 10
Runde3,49.25,2,False,Edythe: positive | Leontyne: positive | Karry: positive,Edythe: 10.0 | Leontyne: 10 | Karry: 10
Runde4,79.75,4,False,Nolie: positive | Simonette: positive,Nolie: 10 | Simonette: 10
Runde5,102.0,13,False,Estell: negative | Raine: negative | Sophi: positive | Leontyne: negative | Karry: negative | Nolie: negative | Natasha: negative,Estell: 1 | Raine: 1 | Sophi: 10.0 | Leontyne: 5.5 | Karry: 5.5 | Nolie: 5.5 | Natasha: 1
Runde6,119.5,17,False,Christa: negative,Christa: 1
Runde7,137.0,15,False,Estell: negative | Raine: negative | Sophi: negative | Ajay: negative | Leontyne: negative | Gwenore: negative | Natasha: negative,Estell: 1.0 | Raine: 1.0 | Sophi: 7.428571428571429 | Ajay: 1 | Leontyne: 4.857142857142857 | Gwenore: 1 | Natasha: 1.0
Runde8,162.75,8,False,Gwenore: negative | Nolie: positive,Gwenore: 1.0 | Nolie: 7.428571428571429
Runde9,196.0,1,False,Raine: positive | Leontyne: positive | Karry: positive | Gwenore: positive | Nolie: positive | Simonette: positive,Raine: 3.5714285714285716 | Leontyne: 6.4 | Karry: 7.428571428571429 | Gwenore: 3.5714285714285716 | Nolie: 8.2 | Simonette: 10.0
Runde10,222.5,6,False,Edythe: positive | Raine: positive | Sharline: positive | Sophi: positive | Leontyne: positive | Christa: positive | Simonette: positive,Edythe: 10.0 | Raine: 4.6 | Sharline: 10 | Sophi: 8.2 | Leontyne: 7.230769230769231 | Christa: 5.5 | Simonette: 10.0
Runde11,245.25,4,False,Sharline: negative | Karry: positive | Natasha: negative | Mair: negative,Sharline: 5.5 | Karry: 8.2 | Natasha: 1.0 | Mair: 1
Runde12,271.5,9,False,Sharline: negative | Sophi: negative | Ajay: positive | Karry: negative | Nolie: negative | Mair: negative | Simonette: negative,Sharline: 4.857142857142857 | Sophi: 7.230769230769231 | Ajay: 5.5 | Karry: 7.230769230769231 | Nolie: 7.230769230769231 | Mair: 1.0 | Simonette: 8.2
Runde13,288.0,16,False,Raine: negative | Sophi: negative | Ajay: negative | Gwenore: negative | Mair: negative | Christa: negative,Raine: 3.769230769230769 | Sophi: 6.625 | Ajay: 3.5714285714285716 | Gwenore: 2.8 | Mair: 1.0 | Christa: 3.5714285714285716
Runde14,303.5,18,False,Raine: negative | Sharline: negative | Ajay: negative | Gwenore: negative | Natasha: negative | Simonette: negative,Raine: 3.25 | Sharline: 4.6 | Ajay: 2.8 | Gwenore: 2.3846153846153846 | Natasha: 1.0 | Simonette: 7.230769230769231
