Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,11.75,0,False,,
Runde2,25.25,2,False,Pam: positive | Sophi: positive | Karry: positive,Pam: 10 | Sophi: 10 | Karry: 10
Runde3,45.25,11,False,Karry: positive,Karry: 10.0
Runde4,65.75,14,False,Mair: negative,Mair: 1
Runde5,91.0,10,False,Edythe: positive | Gwenore: positive | Nolie: negative | Natasha: negative,Edythe: 10 | Gwenore: 10 | Nolie: 1 | Natasha: 1
Runde6,107.5,18,False,Raine: negative | Sharline: positive | Ajay: positive | Leontyne: positive | Natasha: positive,Raine: 1 | Sharline: 10 | Ajay: 10 | Leontyne: 10 | Natasha: 5.5
Runde7,140.0,0,False,Sophi: positive | Ajay: positive,Sophi: 10.0 | Ajay: 10.0
Runde8,163.75,10,False,Estell: positive | Edythe: positive | Pam: positive | Sophi: positive | Nolie: positive | Natasha: positive,Estell: 10 | Edythe: 10.0 | Pam: 10.0 | Sophi: 10.0 | Nolie: 5.5 | Natasha: 6.142857142857143
Runde9,184.0,14,False,Estell: positive | Ajay: positive | Karry: positive,Estell: 10.0 | Ajay: 10.0 | Karry: 10.0
Runde10,202.5,14,False,Edythe: positive | Gwenore: positive | Christa: positive,Edythe: 10.0 | Gwenore: 10.0 | Christa: 10
Runde11,226.25,3,False,Estell: positive | Edythe: positive | Raine: positive | Gwenore: positive,Estell: 10.0 | Edythe: 10.0 | Raine: 5.5 | Gwenore: 10.0
Runde12,242.5,19,False,Natasha: positive | Christa: positive,Natasha: 6.4 | Christa: 10.0
Runde13,263.0,12,False,Edythe: positive | Pam: positive | Sophi: positive | Leontyne: positive | Gwenore: positive | Christa: positive,Edythe: 10.0 | Pam: 10.0 | Sophi: 10.0 | Leontyne: 10.0 | Gwenore: 10.0 | Christa: 10.0
Runde14,293.5,3,False,Pam: positive | Christa: positive,Pam: 10.0 | Christa: 10.0
Runde15,325.0,8,False,Raine: positive | Karry: positive | Nolie: positive | Natasha: positive | Mair: positive | Christa: positive,Raine: 6.142857142857143 | Karry: 10.0 | Nolie: 6.142857142857143 | Natasha: 6.538461538461538 | Mair: 5.5 | Christa: 10.0
Runde16,353.0,5,False,Estell: positive | Ajay: positive | Leontyne: positive | Karry: positive | Mair: positive,Estell: 10.0 | Ajay: 10.0 | Leontyne: 10.0 | Karry: 10.0 | Mair: 6.142857142857143
Runde17,372.5,10,False,Leontyne: positive | Karry: positive,Leontyne: 10.0 | Karry: 10.0
Runde18,389.75,11,False,Estell: positive | Edythe: positive | Sharline: positive | Sophi: positive | Gwenore: positive | Nolie: positive | Natasha: positive | Mair: positive,Estell: 10.0 | Edythe: 10.0 | Sharline: 10.0 | Sophi: 10.0 | Gwenore: 10.0 | Nolie: 6.4 | Natasha: 6.625 | Mair: 6.4
Runde19,415.0,15,False,Raine: positive,Raine: 6.4
Runde20,443.25,12,False,Estell: positive | Sharline: positive | Karry: positive | Gwenore: positive | Mair: positive | Christa: positive,Estell: 10.0 | Sharline: 10.0 | Karry: 10.0 | Gwenore: 10.0 | Mair: 6.538461538461538 | Christa: 10.0
Runde21,468.25,17,False,Pam: positive | Ajay: positive | Leontyne: positive | Gwenore: positive,Pam: 10.0 | Ajay: 10.0 | Leontyne: 10.0 | Gwenore: 10.0
Runde22,497.25,2,False,Pam: positive | Sharline: positive | Sophi: positive | Leontyne: positive | Nolie: positive | Natasha: positive | Christa: positive,Pam: 10.0 | Sharline: 10.0 | Sophi: 10.0 | Leontyne: 10.0 | Nolie: 6.538461538461538 | Natasha: 6.684210526315789 | Christa: 10.0
Runde23,525.75,4,False,Estell: positive | Natasha: positive | Christa: positive,Estell: 10.0 | Natasha: 6.7272727272727275 | Christa: 10.0
Runde24,555.25,1,False,Pam: positive | Raine: positive | Sharline: positive | Sophi: positive | Ajay: positive | Karry: positive | Natasha: positive | Mair: positive | Christa: positive,Pam: 10.0 | Raine: 6.538461538461538 | Sharline: 10.0 | Sophi: 10.0 | Ajay: 10.0 | Karry: 10.0 | Natasha: 6.76 | Mair: 6.625 | Christa: 10.0
Runde25,,,False,,
