Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,13.5,0,False,,
Runde2,23.25,3,False,Joane: positive | Beverley: positive | Raychel: positive | Bunni: positive,Joane: 10 | Beverley: 10 | Raychel: 10 | Bunni: 10
Runde3,59.75,0,False,,
Runde4,103.5,2,False,Carie: positive | Raychel: positive | Anett: positive | Jewell: positive | Bunni: positive | Martynne: positive,Carie: 10 | Raychel: 10.0 | Anett: 10 | Jewell: 10 | Bunni: 10.0 | Martynne: 10
Runde5,135.25,1,False,Maible: negative | Jewell: negative | Sharia: negative | Bunni: negative | Tine: negative,Maible: 1 | Jewell: 5.5 | Sharia: 1 | Bunni: 7.428571428571429 | Tine: 1
Runde6,163.75,1,False,Joane: negative | Agace: negative | Maible: negative | Raychel: negative | Jewell: negative | Annetta: negative | Sharia: negative | Irita: negative | Cordey: negative | Fernanda: negative | Alla: negative | Martynne: negative | Maribel: negative,Joane: 5.5 | Agace: 1 | Maible: 1.0 | Raychel: 7.428571428571429 | Jewell: 4.857142857142857 | Annetta: 1 | Sharia: 1.0 | Irita: 1 | Cordey: 1 | Fernanda: 1 | Alla: 1 | Martynne: 5.5 | Maribel: 1
Runde7,195.25,9,False,Agace: negative | Bunni: negative | Cordey: negative | Fernanda: negative | Tine: negative | Martynne: negative | Maribel: negative,Agace: 1.0 | Bunni: 6.4 | Cordey: 1.0 | Fernanda: 1.0 | Tine: 1.0 | Martynne: 4.857142857142857 | Maribel: 1.0
Runde8,225.5,12,False,Beverley: negative | Annetta: negative | Irita: negative | Min: negative | Fernanda: negative | Tine: negative | Alla: negative,Beverley: 5.5 | Annetta: 1.0 | Irita: 1.0 | Min: 1 | Fernanda: 1.0 | Tine: 1.0 | Alla: 1.0
Runde9,254.5,12,False,Carie: negative | Joane: negative | Maible: negative | Beverley: negative | Raychel: negative | Jewell: negative | Bunni: negative | Cordey: negative | Fernanda: negative | Maribel: negative,Carie: 5.5 | Joane: 4.857142857142857 | Maible: 1.0 | Beverley: 4.857142857142857 | Raychel: 6.4 | Jewell: 4.6 | Bunni: 5.846153846153846 | Cordey: 1.0 | Fernanda: 1.0 | Maribel: 1.0
Runde10,288.5,6,False,Carie: negative | Agace: negative | Maible: negative | Beverley: negative | Raychel: negative | Anett: negative | Sharia: negative | Bunni: negative | Fernanda: negative | Maribel: negative,Carie: 4.857142857142857 | Agace: 1.0 | Maible: 1.0 | Beverley: 4.6 | Raychel: 5.846153846153846 | Anett: 5.5 | Sharia: 1.0 | Bunni: 5.5 | Fernanda: 1.0 | Maribel: 1.0
Runde11,330.25,3,False,Joane: negative | Maible: negative | Beverley: negative | Bunni: negative | Fernanda: negative | Alla: negative,Joane: 4.6 | Maible: 1.0 | Beverley: 4.461538461538462 | Bunni: 5.2631578947368425 | Fernanda: 1.0 | Alla: 1.0
Runde12,351.25,17,False,Carie: negative | Raychel: negative | Anett: negative | Sharia: negative | Alla: negative,Carie: 4.6 | Raychel: 5.5 | Anett: 4.857142857142857 | Sharia: 1.0 | Alla: 1.0
