Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,12.5,1,False,,
Runde2,24.25,1,False,Beverley: positive | Martynne: positive,Beverley: 10 | Martynne: 10
Runde3,60.75,0,False,Carie: positive,Carie: 10
Runde4,97.5,9,False,Carie: positive | Anett: positive | Annetta: positive | Addy: negative | Martynne: positive,Carie: 10.0 | Anett: 10 | Annetta: 10 | Addy: 1 | Martynne: 10.0
Runde5,126.25,4,False,Maible: negative | Anett: negative | Jewell: negative | Sharia: negative | Bunni: negative | Min: negative | Fernanda: negative,Maible: 1 | Anett: 5.5 | Jewell: 1 | Sharia: 1 | Bunni: 1 | Min: 1 | Fernanda: 1
Runde6,148.75,7,False,Carie: negative | Raychel: negative | Anett: negative | Jewell: negative | Sharia: negative | Bunni: negative | Irita: negative | Min: negative | Fernanda: negative | Tine: negative | Alla: negative | Martynne: negative | Maribel: negative,Carie: 7.428571428571429 | Raychel: 1 | Anett: 4.857142857142857 | Jewell: 1.0 | Sharia: 1.0 | Bunni: 1.0 | Irita: 1 | Min: 1.0 | Fernanda: 1.0 | Tine: 1 | Alla: 1 | Martynne: 7.428571428571429 | Maribel: 1
Runde7,169.25,20,False,Maible: negative | Raychel: negative | Anett: negative | Annetta: negative | Bunni: negative | Irita: negative | Fernanda: negative | Alla: negative | Maribel: negative,Maible: 1.0 | Raychel: 1.0 | Anett: 4.6 | Annetta: 5.5 | Bunni: 1.0 | Irita: 1.0 | Fernanda: 1.0 | Alla: 1.0 | Maribel: 1.0
Runde8,195.5,16,False,Carie: negative | Maible: negative | Beverley: negative | Raychel: negative | Bunni: negative | Min: negative | Addy: negative | Fernanda: negative | Martynne: negative,Carie: 6.4 | Maible: 1.0 | Beverley: 5.5 | Raychel: 1.0 | Bunni: 1.0 | Min: 1.0 | Addy: 1.0 | Fernanda: 1.0 | Martynne: 6.4
Runde9,227.5,9,False,Annetta: negative | Min: positive | Addy: positive | Alla: positive | Maribel: positive,Annetta: 4.857142857142857 | Min: 2.8 | Addy: 3.5714285714285716 | Alla: 3.5714285714285716 | Maribel: 3.5714285714285716
Runde10,263.5,4,False,Maible: positive | Annetta: positive | Bunni: positive | Cordey: positive | Fernanda: positive,Maible: 2.8 | Annetta: 6.4 | Bunni: 2.3846153846153846 | Cordey: 10 | Fernanda: 2.3846153846153846
Runde11,297.25,11,False,Beverley: positive | Cordey: positive | Addy: positive | Fernanda: positive | Tine: positive | Martynne: positive | Maribel: positive,Beverley: 7.428571428571429 | Cordey: 10.0 | Addy: 4.6 | Fernanda: 3.25 | Tine: 5.5 | Martynne: 7.230769230769231 | Maribel: 4.6
Runde12,315.25,20,False,Cordey: positive | Martynne: positive | Maribel: positive,Cordey: 10.0 | Martynne: 7.75 | Maribel: 5.153846153846154
Runde13,355.25,0,False,Carie: positive | Beverley: positive | Raychel: positive | Addy: positive | Tine: positive,Carie: 7.230769230769231 | Beverley: 8.2 | Raychel: 2.8 | Addy: 5.153846153846154 | Tine: 6.142857142857143
Runde14,379.0,18,False,Maible: positive | Anett: positive | Annetta: positive | Sharia: positive | Bunni: positive | Irita: positive | Min: positive | Addy: positive | Martynne: positive,Maible: 3.769230769230769 | Anett: 5.846153846153846 | Annetta: 7.230769230769231 | Sharia: 3.5714285714285716 | Bunni: 3.25 | Irita: 3.5714285714285716 | Min: 3.769230769230769 | Addy: 5.5 | Martynne: 8.105263157894736
Runde15,413.25,2,False,Beverley: positive | Annetta: positive | Sharia: positive | Addy: positive | Fernanda: positive,Beverley: 8.615384615384615 | Annetta: 7.75 | Sharia: 4.6 | Addy: 5.7368421052631575 | Fernanda: 3.8421052631578947
Runde16,438.25,11,False,Carie: positive | Maible: positive | Maribel: positive,Carie: 7.75 | Maible: 4.375 | Maribel: 5.5
Runde17,474.5,9,False,Carie: positive | Raychel: positive | Annetta: positive | Cordey: positive | Maribel: positive,Carie: 8.105263157894736 | Raychel: 3.769230769230769 | Annetta: 8.105263157894736 | Cordey: 10.0 | Maribel: 5.7368421052631575
Runde18,502.0,10,False,Joane: positive | Maible: positive | Beverley: positive | Raychel: positive | Sharia: positive | Bunni: positive | Cordey: positive | Tine: positive | Alla: positive | Maribel: positive,Joane: 10 | Maible: 4.7894736842105265 | Beverley: 8.875 | Raychel: 4.375 | Sharia: 5.153846153846154 | Bunni: 3.8421052631578947 | Cordey: 10.0 | Tine: 6.4 | Alla: 4.6 | Maribel: 5.909090909090909
