Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,12.5,1,False,,
Runde2,23.25,2,False,Jewell: positive | Bunni: positive | Alla: positive | Martynne: positive,Jewell: 10 | Bunni: 10 | Alla: 10 | Martynne: 10
Runde3,58.75,1,False,Maible: positive,Maible: 10
Runde4,100.5,4,False,Carie: positive | Raychel: positive | Anett: positive | Annetta: positive | Tine: positive | Maribel: positive,Carie: 10 | Raychel: 10 | Anett: 10 | Annetta: 10 | Tine: 10 | Maribel: 10
Runde5,119.25,14,False,Maible: negative | Bunni: negative | Fernanda: negative | Martynne: negative | Maribel: negative,Maible: 5.5 | Bunni: 5.5 | Fernanda: 1 | Martynne: 5.5 | Maribel: 5.5
Runde6,131.75,17,False,Carie: negative | Joane: negative | Agace: negative | Maible: negative | Raychel: negative | Jewell: negative | Annetta: negative | Min: negative | Cordey: negative | Addy: negative | Fernanda: negative | Tine: negative | Alla: negative | Martynne: negative | Maribel: negative,Carie: 5.5 | Joane: 1 | Agace: 1 | Maible: 4.857142857142857 | Raychel: 5.5 | Jewell: 5.5 | Annetta: 5.5 | Min: 1 | Cordey: 1 | Addy: 1 | Fernanda: 1.0 | Tine: 5.5 | Alla: 5.5 | Martynne: 4.857142857142857 | Maribel: 4.857142857142857
Runde7,157.25,15,False,Maible: negative | Jewell: negative | Annetta: negative | Bunni: negative | Irita: negative | Min: positive | Fernanda: negative | Tine: negative,Maible: 4.6 | Jewell: 4.857142857142857 | Annetta: 4.857142857142857 | Bunni: 4.857142857142857 | Irita: 1 | Min: 5.5 | Fernanda: 1.0 | Tine: 4.857142857142857
Runde8,196.5,3,False,Joane: positive | Agace: positive | Beverley: positive | Martynne: positive,Joane: 5.5 | Agace: 5.5 | Beverley: 10 | Martynne: 6.4
Runde9,230.5,7,False,Carie: positive | Beverley: positive | Raychel: positive | Jewell: positive | Bunni: positive | Addy: positive | Fernanda: positive | Tine: positive | Martynne: positive,Carie: 7.428571428571429 | Beverley: 10.0 | Raychel: 7.428571428571429 | Jewell: 6.4 | Bunni: 6.4 | Addy: 5.5 | Fernanda: 2.8 | Tine: 6.4 | Martynne: 7.230769230769231
Runde10,264.5,6,False,Maible: positive | Beverley: positive | Raychel: positive | Addy: positive | Fernanda: positive | Alla: positive,Maible: 5.846153846153846 | Beverley: 10.0 | Raychel: 8.2 | Addy: 6.142857142857143 | Fernanda: 3.769230769230769 | Alla: 7.428571428571429
Runde11,309.25,0,False,Joane: positive | Min: positive | Addy: positive | Fernanda: positive,Joane: 6.142857142857143 | Min: 6.142857142857143 | Addy: 6.4 | Fernanda: 4.375
Runde12,339.25,8,False,Agace: positive | Maible: positive | Cordey: positive | Alla: positive | Maribel: positive,Agace: 6.142857142857143 | Maible: 6.625 | Cordey: 5.5 | Alla: 8.2 | Maribel: 6.4
Runde13,365.25,14,False,Carie: negative | Agace: positive | Maible: negative | Anett: negative | Cordey: negative | Maribel: negative,Carie: 6.4 | Agace: 6.4 | Maible: 6.2105263157894735 | Anett: 5.5 | Cordey: 3.5714285714285716 | Maribel: 5.846153846153846
Runde14,391.0,16,False,Annetta: negative | Fernanda: positive | Tine: negative | Maribel: negative,Annetta: 4.6 | Fernanda: 4.7894736842105265 | Tine: 5.846153846153846 | Maribel: 5.5
Runde15,415.25,12,False,Carie: negative | Anett: positive | Bunni: positive | Alla: positive,Carie: 5.846153846153846 | Anett: 7.428571428571429 | Bunni: 7.230769230769231 | Alla: 8.615384615384615
Runde16,443.25,8,False,Carie: positive | Maible: positive | Beverley: positive | Jewell: positive | Irita: positive,Carie: 6.625 | Maible: 6.7272727272727275 | Beverley: 10.0 | Jewell: 7.230769230769231 | Irita: 5.5
Runde17,480.5,8,False,Carie: positive | Beverley: positive | Annetta: positive | Bunni: positive,Carie: 7.157894736842105 | Beverley: 10.0 | Annetta: 5.846153846153846 | Bunni: 7.75
Runde18,511.0,7,False,Agace: positive | Maible: positive | Beverley: positive | Addy: positive | Tine: positive,Agace: 6.538461538461538 | Maible: 7.12 | Beverley: 10.0 | Addy: 6.538461538461538 | Tine: 6.625
Runde19,543.0,4,False,Carie: positive | Joane: positive | Agace: positive | Beverley: positive | Min: positive | Fernanda: positive | Alla: positive | Martynne: positive,Carie: 7.545454545454546 | Joane: 6.4 | Agace: 6.625 | Beverley: 10.0 | Min: 6.4 | Fernanda: 5.090909090909091 | Alla: 8.875 | Martynne: 7.75
