Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,13.5,0,False,,
Runde2,25.25,1,False,Joane: positive | Beverley: positive | Alla: positive,Joane: 10 | Beverley: 10 | Alla: 10
Runde3,44.75,17,False,Carie: positive | Maible: positive,Carie: 10 | Maible: 10
Runde4,85.5,5,False,Jewell: positive | Annetta: positive | Bunni: positive | Martynne: positive | Maribel: positive,Jewell: 10 | Annetta: 10 | Bunni: 10 | Martynne: 10 | Maribel: 10
Runde5,110.25,8,False,Carie: positive | Agace: positive | Beverley: positive | Anett: positive | Annetta: positive | Irita: positive | Min: positive | Cordey: positive | Martynne: positive,Carie: 10.0 | Agace: 10 | Beverley: 10.0 | Anett: 10 | Annetta: 10.0 | Irita: 10 | Min: 10 | Cordey: 10 | Martynne: 10.0
Runde6,133.75,6,False,Carie: positive | Maible: positive | Raychel: positive | Sharia: positive | Cordey: positive,Carie: 10.0 | Maible: 10.0 | Raychel: 10 | Sharia: 10 | Cordey: 10.0
Runde7,159.25,15,False,Carie: positive | Agace: positive | Sharia: positive | Fernanda: positive,Carie: 10.0 | Agace: 10.0 | Sharia: 10.0 | Fernanda: 10
Runde8,183.5,18,False,Joane: positive | Agace: positive | Beverley: positive | Anett: positive | Annetta: positive | Bunni: positive | Irita: positive | Martynne: positive,Joane: 10.0 | Agace: 10.0 | Beverley: 10.0 | Anett: 10.0 | Annetta: 10.0 | Bunni: 10.0 | Irita: 10.0 | Martynne: 10.0
Runde9,206.5,18,False,Maible: positive | Beverley: positive | Anett: positive | Cordey: positive | Fernanda: positive,Maible: 10.0 | Beverley: 10.0 | Anett: 10.0 | Cordey: 10.0 | Fernanda: 10.0
Runde10,239.5,7,False,Beverley: positive | Raychel: positive | Annetta: positive | Irita: positive | Cordey: positive | Addy: positive | Alla: positive,Beverley: 10.0 | Raychel: 10.0 | Annetta: 10.0 | Irita: 10.0 | Cordey: 10.0 | Addy: 10 | Alla: 10.0
Runde11,280.25,4,False,Beverley: positive | Addy: positive | Maribel: positive,Beverley: 10.0 | Addy: 10.0 | Maribel: 10.0
Runde12,308.25,10,False,Joane: positive | Agace: positive | Maible: positive | Fernanda: positive | Alla: positive | Martynne: positive | Maribel: positive,Joane: 10.0 | Agace: 10.0 | Maible: 10.0 | Fernanda: 10.0 | Alla: 10.0 | Martynne: 10.0 | Maribel: 10.0
Runde13,347.25,1,False,Agace: positive | Raychel: positive | Sharia: positive | Min: positive | Addy: positive,Agace: 10.0 | Raychel: 10.0 | Sharia: 10.0 | Min: 10.0 | Addy: 10.0
Runde14,372.0,17,False,Carie: positive | Joane: positive | Beverley: positive | Anett: positive | Annetta: positive | Bunni: positive | Fernanda: positive | Martynne: positive,Carie: 10.0 | Joane: 10.0 | Beverley: 10.0 | Anett: 10.0 | Annetta: 10.0 | Bunni: 10.0 | Fernanda: 10.0 | Martynne: 10.0
Runde15,402.25,6,False,Joane: positive | Anett: positive | Annetta: positive | Sharia: positive | Fernanda: positive | Maribel: positive,Joane: 10.0 | Anett: 10.0 | Annetta: 10.0 | Sharia: 10.0 | Fernanda: 10.0 | Maribel: 10.0
Runde16,437.25,1,False,Carie: positive | Joane: positive | Maible: positive | Beverley: positive | Bunni: positive | Irita: positive | Martynne: positive | Maribel: positive,Carie: 10.0 | Joane: 10.0 | Maible: 10.0 | Beverley: 10.0 | Bunni: 10.0 | Irita: 10.0 | Martynne: 10.0 | Maribel: 10.0
Runde17,467.5,15,False,Agace: positive | Beverley: positive | Raychel: positive | Cordey: positive,Agace: 10.0 | Beverley: 10.0 | Raychel: 10.0 | Cordey: 10.0
Runde18,504.0,1,False,Carie: positive | Cordey: positive | Addy: positive | Alla: positive,Carie: 10.0 | Cordey: 10.0 | Addy: 10.0 | Alla: 10.0
Runde19,531.0,9,False,Joane: positive | Beverley: positive | Min: positive | Fernanda: positive | Martynne: positive,Joane: 10.0 | Beverley: 10.0 | Min: 10.0 | Fernanda: 10.0 | Martynne: 10.0
Runde20,583.0,1,False,Beverley: positive | Anett: positive | Min: positive | Fernanda: positive,Beverley: 10.0 | Anett: 10.0 | Min: 10.0 | Fernanda: 10.0
Runde21,612.75,8,False,Carie: positive | Maible: positive | Raychel: positive | Anett: positive | Bunni: positive | Cordey: positive | Addy: positive | Fernanda: positive | Alla: positive | Maribel: positive,Carie: 10.0 | Maible: 10.0 | Raychel: 10.0 | Anett: 10.0 | Bunni: 10.0 | Cordey: 10.0 | Addy: 10.0 | Fernanda: 10.0 | Alla: 10.0 | Maribel: 10.0
Runde22,645.25,12,False,Carie: positive | Annetta: positive | Irita: positive | Min: positive | Alla: positive | Martynne: positive,Carie: 10.0 | Annetta: 10.0 | Irita: 10.0 | Min: 10.0 | Alla: 10.0 | Martynne: 10.0
Runde23,689.25,6,False,Joane: positive | Jewell: positive | Irita: positive | Min: positive | Cordey: positive | Alla: positive | Maribel: positive,Joane: 10.0 | Jewell: 10.0 | Irita: 10.0 | Min: 10.0 | Cordey: 10.0 | Alla: 10.0 | Maribel: 10.0
Runde24,729.25,3,False,Joane: positive | Anett: positive | Jewell: positive | Bunni: positive | Min: positive | Addy: positive | Alla: positive,Joane: 10.0 | Anett: 10.0 | Jewell: 10.0 | Bunni: 10.0 | Min: 10.0 | Addy: 10.0 | Alla: 10.0
Runde25,,,False,,
