Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.5,3,False,,
Runde2,2.0,4,False,,
Runde3,2.25,1,False,Claudelle: negative | Ronny: negative,Claudelle: 1.0 | Ronny: 1
Runde4,1.5,2,False,Ronny: negative,Ronny: 1.0
Runde5,2.0,0,False,,
Runde6,2.25,0,False,Ronny:  | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde7,1.5,2,False,Ronny: negative,Ronny: 1.0
Runde8,1.5,1,False,Claudelle: negative,Claudelle: 1.0
Runde9,1.25,1,False,Claudelle: negative | Ronny: negative,Claudelle: 1.0 | Ronny: 1.0
Runde10,2.0,0,False,Claudelle: negative | Ronny: negative,Claudelle: 1.0 | Ronny: 1.0
Runde11,0.75,2,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde12,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde13,1.0,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde14,1.25,0,False,Ronny:  | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde15,1.5,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde16,0.75,1,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde17,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde18,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde19,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde20,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde21,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde22,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde23,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde24,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde25,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde26,0.75,0,False,Ronny: negative | Claudelle: negative,Ronny: 1.0 | Claudelle: 1.0
Runde27,,,False,,
