Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,2.5,5,False,,
Runde2,3.0,1,False,Fredra: positive | Claudelle: positive,Fredra: 10 | Claudelle: 10
Runde3,4.25,0,False,,
Runde4,3.5,2,False,Claudelle: positive,Claudelle: 10.0
Runde5,4.0,0,False,,
Runde6,4.25,0,False,Fredra: ,Fredra: 5.5
Runde7,2.5,3,False,Fredra: ,Fredra: 4.857142857142857
Runde8,2.5,1,False,Fredra:  | Claudelle: negative,Fredra: 6.090909090909091 | Claudelle: 5.2631578947368425
Runde9,1.25,2,False,Fredra: negative | Claudelle: ,Fredra: 5.243243243243243 | Claudelle: 5.882352941176471
Runde10,1.0,1,False,Fredra: negative | Claudelle: negative,Fredra: 5.0 | Claudelle: 5.488372093023256
Runde11,1.75,0,False,Fredra: negative | Claudelle: ,Fredra: 4.938775510204081 | Claudelle: 5.565217391304348
Runde12,1.75,0,False,Fredra:  | Claudelle: negative,Fredra: 5.278688524590164 | Claudelle: 5.241379310344827
Runde13,1.0,1,False,Fredra: negative | Claudelle: negative,Fredra: 5.164179104477612 | Claudelle: 5.180327868852459
Runde14,1.25,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.951219512195122 | Claudelle: 5.074626865671642
Runde15,0.5,1,False,Fredra: negative | Claudelle: negative,Fredra: 4.696428571428571 | Claudelle: 4.742268041237113
Runde16,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.629032258064516 | Claudelle: 4.660550458715596
Runde17,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.5064935064935066 | Claudelle: 4.517985611510792
Runde18,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.453488372093023 | Claudelle: 4.45859872611465
Runde19,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.3979591836734695 | Claudelle: 4.397790055248619
Runde20,0.75,0,False,Fredra:  | Claudelle: ,Fredra: 4.391959798994975 | Claudelle: 4.391304347826087
Runde21,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.369668246445498 | Claudelle: 4.36734693877551
Runde22,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.312 | Claudelle: 4.306382978723405
Runde23,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.3046875 | Claudelle: 4.2987551867219915
Runde24,0.75,0,False,Fredra:  | Claudelle: ,Fredra: 4.297709923664122 | Claudelle: 4.291497975708502
Runde25,0.75,0,False,Fredra: negative | Claudelle: negative,Fredra: 4.261744966442953 | Claudelle: 4.254416961130742
Runde26,0.75,0,False,Fredra: negative | Claudelle: ,Fredra: 4.256578947368421 | Claudelle: 4.249134948096886
Runde27,,,False,,
