Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.25,0,False,,
Runde2,3.5,3,False,,
Runde3,2.75,2,False,Ladonna: ,Ladonna: 5
Runde4,2.5,2,False,,
Runde5,1.75,2,False,,
Runde6,1.5,1,False,,
Runde7,1.75,0,False,Trudy:  | Ladonna: positive,Trudy: 5.0 | Ladonna: 7.5
Runde8,2.25,0,False,Trudy: ,Trudy: 5.0
Runde9,1.0,2,False,,
Runde10,1.5,0,False,,
Runde11,2.0,0,False,,
Runde12,2.25,0,False,,
Runde13,0.75,2,False,,
Runde14,1.25,0,False,Ladonna: ,Ladonna: 6.428571428571429
Runde15,1.5,0,False,Ladonna: ,Ladonna: 6.0
Runde16,1.5,0,False,Ladonna:  | Trudy: ,Ladonna: 5.454545454545454 | Trudy: 5.0
Runde17,1.75,0,False,Ladonna:  | Trudy: ,Ladonna: 5.357142857142857 | Trudy: 5.0
Runde18,1.75,0,False,Ladonna:  | Trudy: ,Ladonna: 5.32258064516129 | Trudy: 5.0
Runde19,1.75,0,False,Ladonna:  | Trudy: ,Ladonna: 5.294117647058823 | Trudy: 5.0
Runde20,2.0,0,False,Ladonna:  | Trudy: ,Ladonna: 5.27027027027027 | Trudy: 5.0
Runde21,2.25,0,False,Ladonna:  | Trudy: ,Ladonna: 5.25 | Trudy: 5.0
Runde22,1.0,2,False,Ladonna: ,Ladonna: 5.232558139534884
Runde23,1.5,0,False,Ladonna:  | Trudy: negative,Ladonna: 5.181818181818182 | Trudy: 4.836734693877551
Runde24,0.75,1,False,Ladonna:  | Trudy: ,Ladonna: 5.149253731343284 | Trudy: 4.868852459016393
Runde25,,,False,,
