Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.25,0,False,,
Runde2,4.5,2,False,,
Runde3,3.75,2,False,Ladonna:  | Tallie: positive,Ladonna: 5 | Tallie: 10
Runde4,4.5,1,False,,
Runde5,3.75,2,False,,
Runde6,4.5,0,False,Tallie: ,Tallie: 7.5
Runde7,4.75,0,False,Ladonna: negative | Tallie: negative,Ladonna: 3.0 | Tallie: 5.4
Runde8,4.25,1,False,,
Runde9,4.0,1,False,Tallie: negative,Tallie: 5.076923076923077
Runde10,2.5,2,False,Tallie: ,Tallie: 5.578947368421052
Runde11,2.0,1,False,Tallie: ,Tallie: 5.52
Runde12,2.25,0,False,Tallie: ,Tallie: 5.642857142857143
Runde13,2.75,0,False,Ladonna: negative | Tallie: negative,Ladonna: 2.7142857142857144 | Tallie: 5.483870967741935
Runde14,1.25,2,False,Ladonna:  | Tallie: ,Ladonna: 2.5384615384615383 | Tallie: 5.675675675675675
Runde15,1.5,0,False,Ladonna: negative | Tallie: negative,Ladonna: 2.44 | Tallie: 5.26530612244898
Runde16,1.5,0,False,Ladonna:  | Tallie: ,Ladonna: 2.4285714285714284 | Tallie: 5.1923076923076925
Runde17,1.75,0,False,Ladonna: negative | Tallie: ,Ladonna: 2.4193548387096775 | Tallie: 5.127272727272727
Runde18,1.75,0,False,Ladonna: negative | Tallie: negative,Ladonna: 2.4054054054054053 | Tallie: 5.016393442622951
Runde19,1.75,0,False,Ladonna: negative | Tallie: negative,Ladonna: 2.3846153846153846 | Tallie: 4.815789473684211
Runde20,1.0,1,False,Ladonna: negative | Tallie: ,Ladonna: 2.381818181818182 | Tallie: 4.784810126582278
Runde21,0.25,1,False,Ladonna: negative | Tallie: negative,Ladonna: 2.367088607594937 | Tallie: 4.601941747572815
Runde22,1.0,0,False,Ladonna: negative | Tallie: negative,Ladonna: 2.35 | Tallie: 4.455882352941177
Runde23,0.5,1,False,Ladonna: ,Ladonna: 2.3493975903614457
Runde24,0.75,0,False,Ladonna: negative | Tallie: negative,Ladonna: 2.3454545454545452 | Tallie: 4.326315789473684
Runde25,,,False,,
