Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,16.0,4,False,,
Runde2,64.0,14,False,,
Runde3,129.5,18,False,Minta: positive | Albertine: positive | Sharai: positive | Germain: positive,Minta: 10 | Albertine: 10 | Sharai: 10 | Germain: 10
Runde4,173.0,13,False,Rheba: positive | Minta: positive | Hannis: positive | Sharai: positive | Germain: positive,Rheba: 10 | Minta: 10.0 | Hannis: 10 | Sharai: 10.0 | Germain: 10.0
Runde5,231.5,0,False,Nannette: positive | Sharai: positive | Germain: positive,Nannette: 10 | Sharai: 10.0 | Germain: 10.0
Runde6,284.5,0,False,Rheba: positive | Minta: positive | Abbie: positive | Nannette: positive | Averyl: positive,Rheba: 10.0 | Minta: 10.0 | Abbie: 10 | Nannette: 10.0 | Averyl: 10
Runde7,361.0,2,False,Minta: positive | Nannette: positive | Albertine: positive | Hannis: positive,Minta: 10.0 | Nannette: 10.0 | Albertine: 10.0 | Hannis: 10.0
Runde8,419.5,12,False,Inge: positive | Rheba: positive | Abbie: positive | Sharai: positive | Germain: positive | Averyl: positive,Inge: 10 | Rheba: 10.0 | Abbie: 10.0 | Sharai: 10.0 | Germain: 10.0 | Averyl: 10.0
Runde9,482.0,19,False,Hannis: negative | Nara: negative,Hannis: 7.428571428571429 | Nara: 1
Runde10,521.5,9,False,Nannette: negative | Albertine: negative | Rayna: positive | Averyl: positive | Leese: positive,Nannette: 8.2 | Albertine: 7.428571428571429 | Rayna: 10 | Averyl: 10.0 | Leese: 10
Runde11,555.0,9,False,Inge: positive | Sioux: positive | Leese: positive,Inge: 10.0 | Sioux: 10 | Leese: 10.0
Runde12,609.5,13,False,Abbie: positive | Hannis: positive,Abbie: 10.0 | Hannis: 8.2
Runde13,669.0,13,False,Rheba: positive | Minta: positive | Abbie: positive | Albertine: positive,Rheba: 10.0 | Minta: 10.0 | Abbie: 10.0 | Albertine: 8.2
Runde14,743.0,3,False,Inge: positive | Rheba: positive | Minta: positive | Rayna: positive | Germain: positive | Averyl: positive | Nara: positive,Inge: 10.0 | Rheba: 10.0 | Minta: 10.0 | Rayna: 10.0 | Germain: 10.0 | Averyl: 10.0 | Nara: 5.5
Runde15,810.0,18,False,Minta: positive | Abbie: positive | Sioux: positive | Rayna: positive | Sharai: positive,Minta: 10.0 | Abbie: 10.0 | Sioux: 10.0 | Rayna: 10.0 | Sharai: 10.0
Runde16,884.0,5,False,Rheba: positive | Nannette: positive | Rayna: positive | Averyl: positive,Rheba: 10.0 | Nannette: 8.615384615384615 | Rayna: 10.0 | Averyl: 10.0
Runde17,969.5,9,False,Rheba: positive | Abbie: positive | Hannis: positive | Rayna: positive | Germain: positive | Averyl: positive | Leese: positive,Rheba: 10.0 | Abbie: 10.0 | Hannis: 8.615384615384615 | Rayna: 10.0 | Germain: 10.0 | Averyl: 10.0 | Leese: 10.0
Runde18,1039.0,10,False,Rheba: positive | Nannette: positive | Albertine: positive | Hannis: positive | Sioux: positive | Rayna: positive | Sharai: positive | Germain: positive | Nara: positive | Leese: positive,Rheba: 10.0 | Nannette: 8.875 | Albertine: 8.615384615384615 | Hannis: 8.875 | Sioux: 10.0 | Rayna: 10.0 | Sharai: 10.0 | Germain: 10.0 | Nara: 6.142857142857143 | Leese: 10.0
Runde19,1094.5,0,False,Inge: positive | Rheba: positive | Sioux: positive | Rayna: positive | Sharai: positive | Averyl: positive,Inge: 10.0 | Rheba: 10.0 | Sioux: 10.0 | Rayna: 10.0 | Sharai: 10.0 | Averyl: 10.0
Runde20,1164.5,17,False,Minta: positive | Rayna: positive | Germain: positive,Minta: 10.0 | Rayna: 10.0 | Germain: 10.0
Runde21,1220.0,10,False,Minta: positive | Hannis: positive | Sioux: positive | Averyl: positive | Nara: positive | Leese: positive,Minta: 10.0 | Hannis: 9.052631578947368 | Sioux: 10.0 | Averyl: 10.0 | Nara: 6.4 | Leese: 10.0
Runde22,1288.5,4,False,Rheba: positive | Rayna: positive | Nara: positive,Rheba: 10.0 | Rayna: 10.0 | Nara: 6.538461538461538
Runde23,1353.0,15,False,Nannette: positive | Albertine: positive | Hannis: positive | Sharai: positive | Germain: positive | Nara: positive,Nannette: 9.052631578947368 | Albertine: 8.875 | Hannis: 9.181818181818182 | Sharai: 10.0 | Germain: 10.0 | Nara: 6.625
Runde24,1426.5,3,False,Rheba: positive | Minta: positive | Albertine: positive | Germain: positive | Leese: positive,Rheba: 10.0 | Minta: 10.0 | Albertine: 9.052631578947368 | Germain: 10.0 | Leese: 10.0
Runde25,,,False,,
