Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,21.5,3,False,,
Runde2,80.0,8,False,,
Runde3,164.5,17,False,Clarie: positive | Anne-Corinne: positive | Kristyn: positive,Clarie: 10 | Anne-Corinne: 10 | Kristyn: 10
Runde4,238.5,2,False,Christel: positive | Anne-Corinne: positive | Ermentrude: positive | Teodora: positive | Tish: positive,Christel: 10 | Anne-Corinne: 10.0 | Ermentrude: 10 | Teodora: 10 | Tish: 10
Runde5,338.0,16,False,Starr: positive | Clarie: positive | Sal: positive | Anne-Corinne: positive | Leia: positive | Maible: positive | Rozanna: positive,Starr: 10 | Clarie: 10.0 | Sal: 10 | Anne-Corinne: 10.0 | Leia: 10 | Maible: 10 | Rozanna: 10
Runde6,430.5,8,False,Anne-Corinne: positive | Ermentrude: positive | Maible: positive | Robbi: positive,Anne-Corinne: 10.0 | Ermentrude: 10.0 | Maible: 10.0 | Robbi: 10
Runde7,519.5,6,False,Annadiane: positive | Clarie: positive | Christel: positive | Gerti: positive | Genni: positive | Maible: positive | Dorothee: positive | Rozanna: positive,Annadiane: 10 | Clarie: 10.0 | Christel: 10.0 | Gerti: 10 | Genni: 10 | Maible: 10.0 | Dorothee: 10 | Rozanna: 10.0
Runde8,598.5,7,False,Christel: positive | Jillian: positive | Kristyn: positive | Ermentrude: positive | Leia: positive | Genni: positive | Teodora: positive | Tish: positive,Christel: 10.0 | Jillian: 10 | Kristyn: 10.0 | Ermentrude: 10.0 | Leia: 10.0 | Genni: 10.0 | Teodora: 10.0 | Tish: 10.0
Runde9,679.5,13,False,Sal: positive | Anne-Corinne: positive | Leia: positive | Maible: negative,Sal: 10.0 | Anne-Corinne: 10.0 | Leia: 10.0 | Maible: 8.2
Runde10,768.5,9,False,Sal: negative | Jillian: positive | Leia: positive | Rozanna: positive,Sal: 7.428571428571429 | Jillian: 10.0 | Leia: 10.0 | Rozanna: 10.0
Runde11,847.5,13,False,Christel: positive | Jillian: positive | Gerti: positive | Ermentrude: positive | Leia: positive | Dorothee: positive | Robbi: positive,Christel: 10.0 | Jillian: 10.0 | Gerti: 10.0 | Ermentrude: 10.0 | Leia: 10.0 | Dorothee: 10.0 | Robbi: 10.0
Runde12,930.5,3,False,Clarie: positive | Anne-Corinne: positive | Kristyn: positive | Genni: positive | Maible: positive | Tish: positive | Robbi: positive,Clarie: 10.0 | Anne-Corinne: 10.0 | Kristyn: 10.0 | Genni: 10.0 | Maible: 8.615384615384615 | Tish: 10.0 | Robbi: 10.0
Runde13,1014.5,14,False,Jillian: positive | Anne-Corinne: positive | Yolande: positive | Teodora: positive | Tish: positive,Jillian: 10.0 | Anne-Corinne: 10.0 | Yolande: 10 | Teodora: 10.0 | Tish: 10.0
Runde14,1100.5,7,False,Annadiane: positive | Starr: positive | Gerti: positive | Ermentrude: positive | Leia: negative | Yolande: positive | Dorothee: positive,Annadiane: 10.0 | Starr: 10.0 | Gerti: 10.0 | Ermentrude: 10.0 | Leia: 8.875 | Yolande: 10.0 | Dorothee: 10.0
Runde15,1203.0,3,False,Clarie: positive | Christel: positive | Genni: positive | Maible: positive | Rozanna: positive | Robbi: positive,Clarie: 10.0 | Christel: 10.0 | Genni: 10.0 | Maible: 8.875 | Rozanna: 10.0 | Robbi: 10.0
Runde16,1274.5,11,False,Starr: positive | Clarie: positive | Anne-Corinne: positive | Ermentrude: positive | Yolande: positive | Rozanna: positive,Starr: 10.0 | Clarie: 10.0 | Anne-Corinne: 10.0 | Ermentrude: 10.0 | Yolande: 10.0 | Rozanna: 10.0
