Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,20.5,4,False,,
Runde2,87.0,0,False,,
Runde3,180.5,8,False,Annadiane: positive | Clarie: positive | Leia: positive | Yolande: positive,Annadiane: 10 | Clarie: 10 | Leia: 10 | Yolande: 10
Runde4,251.5,5,False,Starr: negative | Christel: positive | Kristyn: negative | Yolande: negative | Rozanna: positive,Starr: 1 | Christel: 10 | Kristyn: 1 | Yolande: 5.5 | Rozanna: 10
Runde5,350.0,17,False,Annadiane: negative | Starr: negative | Clarie: negative | Sal: negative | Gerti: negative | Ermentrude: negative | Leia: negative | Genni: negative | Darb: negative | Teodora: negative | Robbi: negative,Annadiane: 5.5 | Starr: 1.0 | Clarie: 5.5 | Sal: 1 | Gerti: 1 | Ermentrude: 1 | Leia: 5.5 | Genni: 1 | Darb: 1 | Teodora: 1 | Robbi: 1
Runde6,442.5,8,False,Annadiane: negative | Christel: negative | Leia: negative | Teodora: negative | Rozanna: negative,Annadiane: 4.857142857142857 | Christel: 5.5 | Leia: 4.857142857142857 | Teodora: 1.0 | Rozanna: 5.5
Runde7,532.5,5,False,Starr: negative | Clarie: negative | Sal: negative | Gerti: positive | Kristyn: negative | Ermentrude: negative | Leia: negative,Starr: 1.0 | Clarie: 4.857142857142857 | Sal: 1.0 | Gerti: 5.5 | Kristyn: 1.0 | Ermentrude: 1.0 | Leia: 4.6
Runde8,607.5,11,False,Starr: negative | Christel: negative | Leia: negative | Yolande: negative | Maible: negative,Starr: 1.0 | Christel: 4.857142857142857 | Leia: 4.461538461538462 | Yolande: 4.857142857142857 | Maible: 1
Runde9,697.5,4,False,Annadiane: negative | Christel: negative | Jillian: negative | Gerti: negative | Ermentrude: negative | Leia: negative | Yolande: negative | Darb: negative | Teodora: negative | Rozanna: negative | Robbi: negative,Annadiane: 4.6 | Christel: 4.6 | Jillian: 1 | Gerti: 3.5714285714285716 | Ermentrude: 1.0 | Leia: 4.375 | Yolande: 4.6 | Darb: 1.0 | Teodora: 1.0 | Rozanna: 4.857142857142857 | Robbi: 1.0
Runde10,781.5,14,False,Annadiane: negative | Starr: negative | Clarie: negative | Anne-Corinne: negative | Ermentrude: negative | Tish: negative | Robbi: negative,Annadiane: 4.461538461538462 | Starr: 1.0 | Clarie: 4.6 | Anne-Corinne: 1 | Ermentrude: 1.0 | Tish: 1 | Robbi: 1.0
Runde11,864.5,9,False,Starr: negative | Clarie: negative | Christel: negative | Jillian: negative | Kristyn: negative | Leia: negative | Maible: negative | Teodora: negative | Tish: negative | Robbi: negative,Starr: 1.0 | Clarie: 4.461538461538462 | Christel: 4.461538461538462 | Jillian: 1.0 | Kristyn: 1.0 | Leia: 4.315789473684211 | Maible: 1.0 | Teodora: 1.0 | Tish: 1.0 | Robbi: 1.0
Runde12,935.5,15,False,Annadiane: negative | Starr: negative | Clarie: negative | Sal: negative | Jillian: negative | Yolande: negative | Teodora: negative | Tish: negative | Robbi: negative,Annadiane: 4.375 | Starr: 1.0 | Clarie: 4.375 | Sal: 1.0 | Jillian: 1.0 | Yolande: 4.461538461538462 | Teodora: 1.0 | Tish: 1.0 | Robbi: 1.0
Runde13,1016.5,17,False,Gerti: negative | Anne-Corinne: negative | Yolande: negative | Darb: negative | Teodora: negative | Tish: negative | Rozanna: negative,Gerti: 2.8 | Anne-Corinne: 1.0 | Yolande: 4.375 | Darb: 1.0 | Teodora: 1.0 | Tish: 1.0 | Rozanna: 4.6
Runde14,1108.5,1,False,Christel: negative | Anne-Corinne: negative | Kristyn: negative | Leia: negative | Teodora: positive,Christel: 4.375 | Anne-Corinne: 1.0 | Kristyn: 1.0 | Leia: 4.2727272727272725 | Teodora: 1.9473684210526316
Runde15,1214.0,0,False,Annadiane: positive | Clarie: positive | Sal: negative | Jillian: positive | Rozanna: positive,Annadiane: 5.2631578947368425 | Clarie: 5.2631578947368425 | Sal: 1.0 | Jillian: 2.8 | Rozanna: 5.846153846153846
Runde16,1278.5,18,False,Sal: negative | Christel: positive | Teodora: negative | Tish: negative,Sal: 1.0 | Christel: 5.2631578947368425 | Teodora: 1.8181818181818181 | Tish: 1.0
Runde17,1368.5,12,False,Anne-Corinne: negative | Ermentrude: negative | Leia: negative | Genni: negative | Darb: negative | Teodora: negative | Tish: negative | Rozanna: negative | Robbi: negative,Anne-Corinne: 1.0 | Ermentrude: 1.0 | Leia: 4.24 | Genni: 1.0 | Darb: 1.0 | Teodora: 1.72 | Tish: 1.0 | Rozanna: 5.5 | Robbi: 1.0
Runde18,1447.5,20,False,Clarie: negative | Sal: negative | Jillian: negative | Gerti: positive,Clarie: 5.090909090909091 | Sal: 1.0 | Jillian: 2.3846153846153846 | Gerti: 3.769230769230769
Runde19,1542.5,14,False,Starr: negative | Gerti: negative | Ermentrude: negative | Yolande: negative | Maible: negative | Darb: negative | Robbi: positive,Starr: 1.0 | Gerti: 3.25 | Ermentrude: 1.0 | Yolande: 4.315789473684211 | Maible: 1.0 | Darb: 1.0 | Robbi: 1.9473684210526316
Runde20,1631.5,0,False,Annadiane: positive | Sal: positive | Christel: positive | Jillian: positive | Gerti: positive | Anne-Corinne: positive | Kristyn: positive | Darb: positive | Robbi: positive,Annadiane: 5.909090909090909 | Sal: 1.9473684210526316 | Christel: 5.909090909090909 | Jillian: 3.25 | Gerti: 3.8421052631578947 | Anne-Corinne: 2.3846153846153846 | Kristyn: 2.3846153846153846 | Darb: 2.125 | Robbi: 2.6363636363636362
Runde21,1701.5,20,False,Annadiane: positive | Clarie: positive | Christel: positive | Gerti: positive | Ermentrude: positive | Teodora: positive | Robbi: positive,Annadiane: 6.4 | Clarie: 5.68 | Christel: 6.4 | Gerti: 4.2727272727272725 | Ermentrude: 1.9473684210526316 | Teodora: 2.2857142857142856 | Robbi: 3.16
Runde22,1784.5,1,False,Annadiane: positive | Anne-Corinne: positive | Kristyn: negative | Maible: positive | Tish: positive,Annadiane: 6.785714285714286 | Anne-Corinne: 3.25 | Kristyn: 2.125 | Maible: 2.8 | Tish: 1.9473684210526316
Runde23,1872.5,0,False,Annadiane: positive | Kristyn: positive | Genni: positive | Maible: positive | Darb: positive | Tish: positive | Robbi: positive,Annadiane: 7.096774193548387 | Kristyn: 2.8947368421052633 | Genni: 3.5714285714285716 | Maible: 3.769230769230769 | Darb: 2.8947368421052633 | Tish: 2.6363636363636362 | Robbi: 3.5714285714285716
Runde24,1949.0,15,False,Starr: positive | Christel: positive | Kristyn: positive | Teodora: positive | Robbi: positive,Starr: 1.72 | Christel: 6.785714285714286 | Kristyn: 3.4545454545454546 | Teodora: 2.7419354838709675 | Robbi: 3.903225806451613
Runde25,,,False,,
