Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,21.5,3,False,,
Runde2,74.0,14,False,Clarie: positive,Clarie: 10
Runde3,173.5,2,False,Annadiane: positive | Starr: positive | Sal: positive | Anne-Corinne: positive | Genni: positive | Yolande: positive | Darb: positive | Teodora: positive,Annadiane: 10 | Starr: 10 | Sal: 10 | Anne-Corinne: 10 | Genni: 10 | Yolande: 10 | Darb: 10 | Teodora: 10
Runde4,245.5,4,False,Annadiane: positive | Starr: positive | Christel: positive | Jillian: positive | Gerti: positive | Ermentrude: positive | Leia: positive | Maible: positive | Darb: positive | Teodora: positive | Dorothee: positive,Annadiane: 10.0 | Starr: 10.0 | Christel: 10 | Jillian: 10 | Gerti: 10 | Ermentrude: 10 | Leia: 10 | Maible: 10 | Darb: 10.0 | Teodora: 10.0 | Dorothee: 10
Runde5,354.0,7,False,Clarie: negative | Jillian: positive | Genni: negative | Maible: negative | Teodora: negative | Dorothee: negative,Clarie: 5.5 | Jillian: 10.0 | Genni: 5.5 | Maible: 5.5 | Teodora: 7.428571428571429 | Dorothee: 5.5
Runde6,447.5,7,False,Annadiane: negative | Clarie: negative | Gerti: negative | Genni: positive | Yolande: positive | Maible: positive | Teodora: negative | Robbi: positive,Annadiane: 7.428571428571429 | Clarie: 4.857142857142857 | Gerti: 5.5 | Genni: 7.428571428571429 | Yolande: 10.0 | Maible: 7.428571428571429 | Teodora: 6.4 | Robbi: 10
Runde7,533.5,9,False,Christel: negative | Ermentrude: negative | Leia: negative | Genni: negative | Yolande: negative | Darb: negative | Teodora: negative,Christel: 5.5 | Ermentrude: 5.5 | Leia: 5.5 | Genni: 6.4 | Yolande: 7.428571428571429 | Darb: 7.428571428571429 | Teodora: 5.846153846153846
Runde8,614.5,5,False,Starr: negative | Gerti: negative | Genni: negative | Yolande: negative | Maible: negative | Darb: negative | Tish: negative | Robbi: negative,Starr: 7.428571428571429 | Gerti: 4.857142857142857 | Genni: 5.846153846153846 | Yolande: 6.4 | Maible: 6.4 | Darb: 6.4 | Tish: 1 | Robbi: 5.5
Runde9,688.5,20,False,Jillian: negative | Leia: negative | Genni: negative | Yolande: negative,Jillian: 7.428571428571429 | Leia: 4.857142857142857 | Genni: 5.5 | Yolande: 5.846153846153846
Runde10,777.5,9,False,Annadiane: negative | Starr: negative | Christel: negative | Ermentrude: negative | Genni: negative | Yolande: negative | Darb: negative | Teodora: negative,Annadiane: 6.4 | Starr: 6.4 | Christel: 4.857142857142857 | Ermentrude: 4.857142857142857 | Genni: 5.2631578947368425 | Yolande: 5.5 | Darb: 5.846153846153846 | Teodora: 5.5
Runde11,849.5,20,False,Annadiane: negative | Anne-Corinne: negative | Genni: negative | Maible: negative | Darb: negative | Tish: negative,Annadiane: 5.846153846153846 | Anne-Corinne: 5.5 | Genni: 5.090909090909091 | Maible: 5.846153846153846 | Darb: 5.5 | Tish: 1.0
Runde12,934.5,1,False,Starr: negative | Sal: negative | Ermentrude: negative | Yolande: negative | Dorothee: negative | Rozanna: negative,Starr: 5.846153846153846 | Sal: 5.5 | Ermentrude: 4.6 | Yolande: 5.2631578947368425 | Dorothee: 4.857142857142857 | Rozanna: 1
Runde13,1026.5,6,False,Starr: positive | Clarie: positive | Genni: positive | Maible: positive | Tish: positive | Dorothee: positive | Robbi: positive,Starr: 6.625 | Clarie: 6.4 | Genni: 5.68 | Maible: 6.625 | Tish: 3.5714285714285716 | Dorothee: 6.4 | Robbi: 7.428571428571429
