Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,22.5,2,False,,
Runde2,79.0,10,False,,
Runde3,162.5,18,False,Anne-Corinne: positive | Leia: positive | Darb: positive,Anne-Corinne: 10 | Leia: 10 | Darb: 10
Runde4,236.5,2,False,Ermentrude: positive | Maible: positive | Tish: positive | Rozanna: positive,Ermentrude: 10 | Maible: 10 | Tish: 10 | Rozanna: 10
Runde5,349.0,3,False,Gerti: positive | Anne-Corinne: positive | Leia: positive | Yolande: positive | Maible: positive,Gerti: 10 | Anne-Corinne: 10.0 | Leia: 10.0 | Yolande: 10 | Maible: 10.0
Runde6,443.5,6,False,Sal: positive | Jillian: positive | Gerti: positive | Anne-Corinne: positive | Kristyn: positive | Yolande: positive | Tish: positive | Dorothee: positive | Robbi: positive,Sal: 10 | Jillian: 10 | Gerti: 10.0 | Anne-Corinne: 10.0 | Kristyn: 10 | Yolande: 10.0 | Tish: 10.0 | Dorothee: 10 | Robbi: 10
Runde7,524.5,14,False,Clarie: negative | Sal: negative | Kristyn: negative | Ermentrude: negative | Darb: negative,Clarie: 1 | Sal: 5.5 | Kristyn: 5.5 | Ermentrude: 5.5 | Darb: 5.5
Runde8,600.5,10,False,Starr: negative | Sal: negative | Christel: negative | Anne-Corinne: negative | Yolande: negative | Darb: negative | Tish: negative | Dorothee: negative | Robbi: negative,Starr: 1 | Sal: 4.857142857142857 | Christel: 1 | Anne-Corinne: 8.2 | Yolande: 7.428571428571429 | Darb: 4.857142857142857 | Tish: 7.428571428571429 | Dorothee: 5.5 | Robbi: 5.5
Runde9,685.5,9,False,Clarie: negative | Sal: positive | Anne-Corinne: positive | Kristyn: negative | Genni: negative | Tish: negative,Clarie: 1.0 | Sal: 6.4 | Anne-Corinne: 8.615384615384615 | Kristyn: 4.857142857142857 | Genni: 1 | Tish: 6.4
Runde10,782.5,1,False,Jillian: positive | Kristyn: positive | Leia: positive | Dorothee: negative,Jillian: 10.0 | Kristyn: 6.4 | Leia: 10.0 | Dorothee: 4.857142857142857
Runde11,864.5,10,False,Clarie: negative | Sal: positive | Ermentrude: positive | Rozanna: negative,Clarie: 1.0 | Sal: 7.230769230769231 | Ermentrude: 7.428571428571429 | Rozanna: 5.5
Runde12,936.5,14,False,Starr: negative | Anne-Corinne: negative | Ermentrude: negative | Genni: negative | Maible: negative | Darb: negative | Robbi: negative,Starr: 1.0 | Anne-Corinne: 7.75 | Ermentrude: 6.4 | Genni: 1.0 | Maible: 7.428571428571429 | Darb: 4.6 | Robbi: 4.857142857142857
Runde13,1014.5,20,False,Annadiane: negative | Starr: negative | Sal: negative | Jillian: negative | Gerti: negative | Anne-Corinne: negative | Kristyn: negative | Ermentrude: negative | Yolande: negative | Robbi: negative,Annadiane: 1 | Starr: 1.0 | Sal: 6.625 | Jillian: 7.428571428571429 | Gerti: 7.428571428571429 | Anne-Corinne: 7.157894736842105 | Kristyn: 5.846153846153846 | Ermentrude: 5.846153846153846 | Yolande: 6.4 | Robbi: 4.6
Runde14,1097.5,10,False,Clarie: negative | Gerti: positive | Anne-Corinne: negative | Leia: negative | Maible: negative | Tish: negative,Clarie: 1.0 | Gerti: 8.2 | Anne-Corinne: 6.7272727272727275 | Leia: 8.2 | Maible: 6.4 | Tish: 5.846153846153846
Runde15,1202.0,1,False,Annadiane: positive | Clarie: positive | Jillian: positive | Genni: positive | Rozanna: positive,Annadiane: 5.5 | Clarie: 2.3846153846153846 | Jillian: 8.2 | Genni: 3.5714285714285716 | Rozanna: 7.428571428571429
Runde16,1276.5,8,False,Clarie: positive | Gerti: positive | Ermentrude: positive | Leia: positive | Rozanna: positive,Clarie: 3.25 | Gerti: 8.615384615384615 | Ermentrude: 6.625 | Leia: 8.615384615384615 | Rozanna: 8.2
Runde17,1374.5,4,False,Starr: negative | Clarie: negative | Jillian: negative | Kristyn: negative | Genni: negative | Tish: negative | Rozanna: negative,Starr: 1.0 | Clarie: 2.8947368421052633 | Jillian: 7.230769230769231 | Kristyn: 5.5 | Genni: 2.8 | Tish: 5.5 | Rozanna: 7.230769230769231
Runde18,1457.5,16,False,Gerti: positive | Anne-Corinne: negative | Genni: positive | Robbi: negative,Gerti: 8.875 | Anne-Corinne: 6.4 | Genni: 3.769230769230769 | Robbi: 4.461538461538462
