Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.0,0,False,,
Runde2,5.5,1,False,,
Runde3,4.5,2,False,Gilberte: positive,Gilberte: 10
Runde4,8.0,0,False,Gilberte: ,Gilberte: 7.5
Runde5,14.0,0,False,,
Runde6,10.0,9,False,,
Runde7,15.5,0,False,Sallee: negative | Gilberte: negative,Sallee: 1 | Gilberte: 6.0
Runde8,23.0,2,False,Gilberte: negative,Gilberte: 5.4
Runde9,21.0,14,False,,
Runde10,17.0,14,False,Sallee: negative,Sallee: 1.0
Runde11,25.0,3,False,,
Runde12,34.5,6,False,,
Runde13,49.5,8,False,Gilberte: positive,Gilberte: 6.461538461538462
Runde14,45.0,18,False,Gilberte: positive,Gilberte: 7.125
Runde15,48.0,7,False,Sallee: negative,Sallee: 1.0
Runde16,48.5,7,False,,
Runde17,52.0,19,False,,
Runde18,61.5,9,False,Sallee: positive | Gilberte: positive,Sallee: 2.8 | Gilberte: 7.578947368421052
Runde19,56.0,19,False,Gilberte: positive,Gilberte: 7.909090909090909
Runde20,57.5,5,False,Gilberte: negative,Gilberte: 7.44
Runde21,59.5,11,False,,
Runde22,59.0,12,False,Sallee: positive | Gilberte: positive,Sallee: 3.769230769230769 | Gilberte: 7.714285714285714
Runde23,65.0,2,False,,
Runde24,74.5,4,False,Gilberte: positive,Gilberte: 7.935483870967742
Runde25,72.0,15,False,Gilberte: positive,Gilberte: 8.117647058823529
Runde26,83.0,2,False,Gilberte: positive,Gilberte: 8.27027027027027
Runde27,96.5,0,False,Sallee: positive | Gilberte: positive,Sallee: 4.375 | Gilberte: 8.4
Runde28,100.0,7,False,Sallee: positive | Gilberte: positive,Sallee: 4.7894736842105265 | Gilberte: 8.511627906976743
Runde29,110.5,6,False,,
Runde30,123.0,12,False,Gilberte: positive,Gilberte: 8.608695652173912
Runde31,129.0,8,False,,
Runde32,124.5,10,False,Sallee: negative,Sallee: 4.2727272727272725
Runde33,128.5,8,False,Sallee: negative,Sallee: 3.88
Runde34,128.0,20,False,,
Runde35,132.5,8,False,,
Runde36,142.5,4,False,,
Runde37,150.0,3,False,Gilberte: positive,Gilberte: 8.693877551020408
Runde38,156.5,1,False,,
Runde39,152.5,10,False,Gilberte: negative,Gilberte: 8.423076923076923
Runde40,152.5,7,False,Gilberte: negative,Gilberte: 8.181818181818182
Runde41,153.5,14,False,Sallee: negative,Sallee: 3.5714285714285716
Runde42,166.0,10,False,,
Runde43,169.0,12,False,Gilberte: positive,Gilberte: 8.275862068965518
Runde44,,,False,,
