Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.5,4,False,,
Runde2,7.5,1,False,Emlynne: positive,Emlynne: 10
Runde3,9.5,2,False,Ivy: positive,Ivy: 10
Runde4,10.0,6,False,,
Runde5,12.5,5,False,,
Runde6,19.0,5,False,,
Runde7,15.5,13,False,Ivy: positive,Ivy: 10.0
Runde8,23.5,0,False,,
Runde9,31.0,12,False,,
Runde10,31.5,16,False,Emlynne: positive,Emlynne: 10.0
Runde11,36.5,6,False,Ivy: negative,Ivy: 7.428571428571429
Runde12,43.0,4,False,,
Runde13,39.0,12,False,,
Runde14,44.0,4,False,Ivy: negative,Ivy: 6.4
Runde15,60.0,7,False,,
Runde16,53.5,15,False,Ivy: positive,Ivy: 7.230769230769231
Runde17,54.0,10,False,,
Runde18,55.0,20,False,,
Runde19,58.0,20,False,,
Runde20,66.5,1,False,Emlynne: positive,Emlynne: 10.0
Runde21,75.0,15,False,Emlynne: positive,Emlynne: 10.0
Runde22,92.5,0,False,Emlynne: positive | Ivy: positive,Emlynne: 10.0 | Ivy: 7.75
Runde23,91.5,14,False,Ivy: positive,Ivy: 8.105263157894736
Runde24,100.0,17,False,Emlynne: negative,Emlynne: 8.875
Runde25,100.5,18,False,Ivy: positive,Ivy: 8.363636363636363
Runde26,,,False,,
