Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.0,5,False,,
Runde2,8.5,0,False,,
Runde3,11.0,0,False,,
Runde4,9.0,4,False,,
Runde5,10.5,3,False,Auroora: ,Auroora: 1
Runde6,12.5,5,False,,
Runde7,18.5,8,False,Neilla: positive,Neilla: 10
Runde8,20.0,12,False,Neilla: positive,Neilla: 10.0
Runde9,29.5,8,False,,
Runde10,30.5,6,False,Auroora: positive,Auroora: 5.5
Runde11,39.0,13,False,Auroora: negative,Auroora: 3.5714285714285716
Runde12,38.5,3,False,Auroora: positive,Auroora: 4.6
Runde13,49.5,4,False,Neilla: negative | Auroora: negative,Neilla: 7.428571428571429 | Auroora: 3.769230769230769
Runde14,48.0,20,False,,
Runde15,56.5,10,False,Auroora: negative,Auroora: 3.25
Runde16,69.0,8,False,,
Runde17,79.0,4,False,,
Runde18,76.0,18,False,,
Runde19,70.0,15,False,,
Runde20,77.0,5,False,Neilla: negative,Neilla: 6.4
Runde21,75.5,15,False,Neilla: positive,Neilla: 7.230769230769231
Runde22,79.0,4,False,,
Runde23,92.5,3,False,,
Runde24,102.0,8,False,Neilla: positive,Neilla: 7.75
Runde25,112.5,12,False,Neilla: positive,Neilla: 8.105263157894736
Runde26,117.0,12,False,,
Runde27,124.5,20,False,,
Runde28,122.5,19,False,,
Runde29,121.5,16,False,Auroora: negative,Auroora: 2.8947368421052633
Runde30,132.5,2,False,,
Runde31,132.0,20,False,,
Runde32,141.5,18,False,Neilla: positive,Neilla: 8.363636363636363
Runde33,148.5,15,False,Neilla: positive,Neilla: 8.56
Runde34,146.0,16,False,Auroora: positive,Auroora: 3.4545454545454546
Runde35,149.0,17,False,Auroora: positive,Auroora: 3.88
Runde36,156.5,17,False,,
Runde37,164.5,2,False,Auroora: positive,Auroora: 4.214285714285714
Runde38,170.5,5,False,,
Runde39,173.5,19,False,,
Runde40,187.5,4,False,,
Runde41,190.5,9,False,Neilla: positive | Auroora: positive,Neilla: 8.714285714285714 | Auroora: 4.483870967741935
Runde42,190.5,3,False,Neilla: positive,Neilla: 8.838709677419354
Runde43,198.5,11,False,,
Runde44,,,False,,
