Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,39.0,5,False,,
Runde2,129.0,0,False,Rosemonde: positive,Rosemonde: 10
Runde3,231.0,15,False,Anni: positive | Barry: positive | Kari: positive | Lois: positive | Leola: positive,Anni: 10 | Barry: 10 | Kari: 10 | Lois: 10 | Leola: 10
Runde4,397.25,1,False,Barry: negative | Philippa: negative | Noell: negative,Barry: 5.5 | Philippa: 1 | Noell: 1
Runde5,548.25,14,False,Barry: positive | Elsinore: positive | Kari: positive | Lorelle: positive | Lois: positive | Joellen: positive | Leola: positive,Barry: 7.428571428571429 | Elsinore: 10 | Kari: 10.0 | Lorelle: 10 | Lois: 10.0 | Joellen: 10 | Leola: 10.0
Runde6,699.25,2,False,Morgen: negative | Talyah: negative | Diahann: negative | Bernete: negative | Noell: negative | Lois: negative | Joellen: negative | Lib: negative,Morgen: 1 | Talyah: 1 | Diahann: 1 | Bernete: 1 | Noell: 1.0 | Lois: 7.428571428571429 | Joellen: 5.5 | Lib: 1
Runde7,838.5,7,False,Philippa: negative | Noell: negative | Kari: negative | Lorelle: negative | Joellen: negative | Lib: positive | Leola: negative,Philippa: 1.0 | Noell: 1.0 | Kari: 7.428571428571429 | Lorelle: 5.5 | Joellen: 4.857142857142857 | Lib: 5.5 | Leola: 7.428571428571429
Runde8,1006.5,3,False,Morgen: negative | Barry: negative | Philippa: negative | Diahann: negative | Kari: negative | Lorelle: negative | Lib: negative,Morgen: 1.0 | Barry: 6.4 | Philippa: 1.0 | Diahann: 1.0 | Kari: 6.4 | Lorelle: 4.857142857142857 | Lib: 3.5714285714285716
Runde9,1129.5,6,False,Barry: negative | Bernete: negative | Lorelle: negative | Orelia: negative | Lib: negative | Leola: negative,Barry: 5.846153846153846 | Bernete: 1.0 | Lorelle: 4.6 | Orelia: 1 | Lib: 2.8 | Leola: 6.4
Runde10,1253.25,18,False,Anni: negative | Barry: negative | Talyah: negative | Philippa: negative | Lorelle: negative | Lois: negative | Marian: negative | Lib: negative | Leola: negative,Anni: 5.5 | Barry: 5.5 | Talyah: 1.0 | Philippa: 1.0 | Lorelle: 4.461538461538462 | Lois: 6.4 | Marian: 1 | Lib: 2.3846153846153846 | Leola: 5.846153846153846
