Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,39.0,5,False,,
Runde2,123.0,6,False,Bernete: positive,Bernete: 10
Runde3,221.0,19,False,Barry: positive | Noell: positive | Kari: positive | Lois: positive,Barry: 10 | Noell: 10 | Kari: 10 | Lois: 10
Runde4,375.25,13,False,Anni: positive | Diahann: positive | Kari: positive,Anni: 10 | Diahann: 10 | Kari: 10.0
Runde5,520.25,20,False,Elysia: positive | Barry: positive | Philippa: positive | Bernete: positive | Lorelle: positive | Lois: positive | Joellen: positive | Leola: positive,Elysia: 10 | Barry: 10.0 | Philippa: 10 | Bernete: 10.0 | Lorelle: 10 | Lois: 10.0 | Joellen: 10 | Leola: 10
Runde6,656.25,17,False,Elysia: positive | Diahann: positive | Bernete: positive | Kari: positive | Orelia: positive | Carol-Jean: positive,Elysia: 10.0 | Diahann: 10.0 | Bernete: 10.0 | Kari: 10.0 | Orelia: 10 | Carol-Jean: 10
Runde7,786.5,16,False,Morgen: positive | Elysia: positive | Philippa: positive | Diahann: positive | Bernete: positive | Marian: positive | Joellen: positive | Lib: positive | Leola: positive,Morgen: 10 | Elysia: 10.0 | Philippa: 10.0 | Diahann: 10.0 | Bernete: 10.0 | Marian: 10 | Joellen: 10.0 | Lib: 10 | Leola: 10.0
Runde8,957.5,0,False,Morgen: positive | Talyah: positive | Kari: positive | Lorelle: positive | Orelia: positive | Lois: positive | Joellen: positive | Lib: positive | Carol-Jean: positive,Morgen: 10.0 | Talyah: 10 | Kari: 10.0 | Lorelle: 10.0 | Orelia: 10.0 | Lois: 10.0 | Joellen: 10.0 | Lib: 10.0 | Carol-Jean: 10.0
Runde9,1082.5,4,False,Morgen: positive | Elysia: positive | Barry: positive | Talyah: positive | Philippa: positive | Diahann: positive | Rosemonde: positive | Kari: positive | Lois: positive | Marian: positive | Joellen: positive | Lib: positive,Morgen: 10.0 | Elysia: 10.0 | Barry: 10.0 | Talyah: 10.0 | Philippa: 10.0 | Diahann: 10.0 | Rosemonde: 10 | Kari: 10.0 | Lois: 10.0 | Marian: 10.0 | Joellen: 10.0 | Lib: 10.0
