Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,40.0,4,False,,
Runde2,112.0,18,False,Bernete: positive | Elsinore: positive | Rosemonde: positive | Carol-Jean: positive,Bernete: 10 | Elsinore: 10 | Rosemonde: 10 | Carol-Jean: 10
Runde3,215.0,14,False,Barry: positive | Kari: positive | Orelia: positive,Barry: 10 | Kari: 10 | Orelia: 10
Runde4,374.25,8,False,Morgen: positive | Marian: positive | Lib: positive | Leola: positive,Morgen: 10 | Marian: 10 | Lib: 10 | Leola: 10
Runde5,528.25,11,False,Anni: positive | Barry: positive | Diahann: positive | Rosemonde: positive | Noell: positive | Kari: positive | Lois: positive,Anni: 10 | Barry: 10.0 | Diahann: 10 | Rosemonde: 10.0 | Noell: 10 | Kari: 10.0 | Lois: 10
Runde6,674.25,7,False,Philippa: positive | Bernete: positive | Kari: positive | Lib: positive,Philippa: 10 | Bernete: 10.0 | Kari: 10.0 | Lib: 10.0
Runde7,813.5,7,False,Philippa: positive | Bernete: positive | Orelia: positive | Joellen: positive | Lib: positive,Philippa: 10.0 | Bernete: 10.0 | Orelia: 10.0 | Joellen: 10 | Lib: 10.0
Runde8,975.5,9,False,Morgen: positive | Talyah: positive | Noell: positive | Lorelle: positive | Orelia: positive | Marian: positive | Leola: positive | Carol-Jean: positive,Morgen: 10.0 | Talyah: 10 | Noell: 10.0 | Lorelle: 10 | Orelia: 10.0 | Marian: 10.0 | Leola: 10.0 | Carol-Jean: 10.0
Runde9,1097.5,7,False,Morgen: positive | Talyah: positive | Philippa: positive | Diahann: positive | Noell: positive | Lorelle: positive,Morgen: 10.0 | Talyah: 10.0 | Philippa: 10.0 | Diahann: 10.0 | Noell: 10.0 | Lorelle: 10.0
Runde10,1230.25,9,False,Marian: positive | Joellen: positive | Lib: positive,Marian: 10.0 | Joellen: 10.0 | Lib: 10.0
