Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,44.0,0,False,,
Runde2,120.0,14,False,Bernete: positive | Carol-Jean: positive,Bernete: 10 | Carol-Jean: 10
Runde3,231.0,6,False,Talyah: negative | Philippa: negative | Kari: positive | Lois: positive | Marian: positive | Lib: negative,Talyah: 1 | Philippa: 1 | Kari: 10 | Lois: 10 | Marian: 10 | Lib: 1
Runde4,383.25,15,False,Elysia: positive | Anni: positive | Philippa: positive | Diahann: positive | Bernete: positive | Marian: positive | Joellen: positive | Lib: positive | Carol-Jean: positive,Elysia: 10 | Anni: 10 | Philippa: 5.5 | Diahann: 10 | Bernete: 10.0 | Marian: 10.0 | Joellen: 10 | Lib: 5.5 | Carol-Jean: 10.0
Runde5,532.25,16,False,Elsinore: positive | Lorelle: positive,Elsinore: 10 | Lorelle: 10
Runde6,677.25,8,False,Elysia: positive | Barry: positive | Philippa: positive | Bernete: positive | Elsinore: positive | Noell: positive | Orelia: positive | Lois: positive | Lib: positive,Elysia: 10.0 | Barry: 10 | Philippa: 6.142857142857143 | Bernete: 10.0 | Elsinore: 10.0 | Noell: 10 | Orelia: 10 | Lois: 10.0 | Lib: 6.142857142857143
Runde7,817.5,6,False,Morgen: positive | Elysia: positive | Bernete: positive | Lorelle: positive | Marian: positive | Lib: positive,Morgen: 10 | Elysia: 10.0 | Bernete: 10.0 | Lorelle: 10.0 | Marian: 10.0 | Lib: 6.4
Runde8,983.5,5,False,Elysia: positive | Talyah: positive | Philippa: positive | Noell: positive | Lois: positive | Joellen: positive | Lib: positive,Elysia: 10.0 | Talyah: 5.5 | Philippa: 6.4 | Noell: 10.0 | Lois: 10.0 | Joellen: 10.0 | Lib: 6.538461538461538
Runde9,1099.5,13,False,Morgen: positive | Diahann: positive | Marian: positive | Joellen: positive,Morgen: 10.0 | Diahann: 10.0 | Marian: 10.0 | Joellen: 10.0
Runde10,1233.25,8,False,Morgen: positive | Anni: negative | Barry: negative | Philippa: negative | Orelia: positive,Morgen: 10.0 | Anni: 5.5 | Barry: 5.5 | Philippa: 5.153846153846154 | Orelia: 10.0
Runde11,1387.25,5,False,Lorelle: positive | Orelia: positive | Carol-Jean: positive,Lorelle: 10.0 | Orelia: 10.0 | Carol-Jean: 10.0
Runde12,1540.25,15,False,Morgen: positive | Philippa: positive | Elsinore: positive | Lorelle: positive,Morgen: 10.0 | Philippa: 5.5 | Elsinore: 10.0 | Lorelle: 10.0
Runde13,1681.75,13,False,Morgen: negative | Anni: negative | Kari: positive | Lib: negative,Morgen: 8.615384615384615 | Anni: 4.857142857142857 | Kari: 10.0 | Lib: 5.5
Runde14,1822.0,0,False,Diahann: negative | Rosemonde: positive | Lorelle: positive | Carol-Jean: positive,Diahann: 7.428571428571429 | Rosemonde: 10 | Lorelle: 10.0 | Carol-Jean: 10.0
Runde15,1969.75,6,False,Diahann: positive | Kari: positive | Marian: negative | Joellen: positive,Diahann: 8.2 | Kari: 10.0 | Marian: 8.615384615384615 | Joellen: 10.0
Runde16,2132.5,0,False,Elsinore: negative,Elsinore: 8.2
Runde17,2289.5,20,False,Elysia: negative | Barry: negative | Rosemonde: negative | Lorelle: negative | Lib: negative,Elysia: 8.615384615384615 | Barry: 4.857142857142857 | Rosemonde: 5.5 | Lorelle: 8.875 | Lib: 4.7894736842105265
Runde18,2439.5,18,False,Elysia: negative | Talyah: negative | Rosemonde: negative | Lorelle: negative | Orelia: negative | Marian: negative | Lib: negative,Elysia: 7.75 | Talyah: 3.5714285714285716 | Rosemonde: 4.857142857142857 | Lorelle: 8.105263157894736 | Orelia: 8.2 | Marian: 7.75 | Lib: 4.2727272727272725
Runde19,2556.0,8,False,Anni: negative | Talyah: negative | Diahann: negative | Elsinore: negative | Lorelle: negative,Anni: 4.6 | Talyah: 2.8 | Diahann: 7.230769230769231 | Elsinore: 7.230769230769231 | Lorelle: 7.545454545454546
Runde20,2713.75,2,False,Morgen: negative | Anni: negative | Bernete: negative | Elsinore: negative | Rosemonde: negative | Orelia: negative | Marian: negative | Joellen: negative,Morgen: 7.75 | Anni: 4.461538461538462 | Bernete: 8.615384615384615 | Elsinore: 6.625 | Rosemonde: 4.6 | Orelia: 7.230769230769231 | Marian: 7.157894736842105 | Joellen: 8.615384615384615
Runde21,2815.25,8,False,Morgen: negative | Anni: negative | Philippa: negative | Bernete: negative,Morgen: 7.157894736842105 | Anni: 4.375 | Philippa: 4.7894736842105265 | Bernete: 7.75
Runde22,2954.25,14,False,Elysia: negative | Barry: negative | Talyah: negative | Diahann: negative | Bernete: negative | Elsinore: negative | Rosemonde: negative | Kari: negative | Marian: negative | Joellen: negative | Carol-Jean: negative,Elysia: 7.157894736842105 | Barry: 4.6 | Talyah: 2.3846153846153846 | Diahann: 6.625 | Bernete: 7.157894736842105 | Elsinore: 6.2105263157894735 | Rosemonde: 4.461538461538462 | Kari: 8.2 | Marian: 6.7272727272727275 | Joellen: 7.75 | Carol-Jean: 8.615384615384615
Runde23,3100.0,20,False,Morgen: negative | Elysia: negative | Talyah: negative | Philippa: negative | Diahann: negative | Bernete: negative | Rosemonde: negative | Orelia: negative | Lois: negative | Marian: negative | Carol-Jean: negative,Morgen: 6.7272727272727275 | Elysia: 6.7272727272727275 | Talyah: 2.125 | Philippa: 4.2727272727272725 | Diahann: 6.2105263157894735 | Bernete: 6.7272727272727275 | Rosemonde: 4.375 | Orelia: 6.625 | Lois: 8.2 | Marian: 6.4 | Carol-Jean: 7.75
Runde24,3198.5,17,False,Elysia: negative | Anni: negative | Barry: negative | Bernete: negative | Elsinore: negative | Rosemonde: negative | Kari: negative | Orelia: negative | Lois: negative | Lib: negative,Elysia: 6.4 | Anni: 4.315789473684211 | Barry: 4.461538461538462 | Bernete: 6.4 | Elsinore: 5.909090909090909 | Rosemonde: 4.315789473684211 | Kari: 7.230769230769231 | Orelia: 6.2105263157894735 | Lois: 7.230769230769231 | Lib: 3.88
Runde25,,,False,,
