Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,40.0,4,False,,
Runde2,120.0,10,False,Carol-Jean: positive,Carol-Jean: 10
Runde3,237.0,0,False,Elysia: positive | Noell: positive | Kari: positive,Elysia: 10 | Noell: 10 | Kari: 10
Runde4,387.25,17,False,Anni: positive | Talyah: positive | Philippa: positive | Kari: positive | Joellen: positive | Lib: positive | Leola: positive | Carol-Jean: positive,Anni: 10 | Talyah: 10 | Philippa: 10 | Kari: 10.0 | Joellen: 10 | Lib: 10 | Leola: 10 | Carol-Jean: 10.0
Runde5,539.25,13,False,Barry: positive | Bernete: positive,Barry: 10 | Bernete: 10
Runde6,690.25,2,False,Anni: positive | Barry: positive | Rosemonde: negative | Orelia: positive | Leola: positive,Anni: 10.0 | Barry: 10.0 | Rosemonde: 1 | Orelia: 10 | Leola: 10.0
Runde7,823.5,13,False,Morgen: positive | Diahann: positive | Bernete: positive | Elsinore: positive | Orelia: positive,Morgen: 10 | Diahann: 10 | Bernete: 10.0 | Elsinore: 10 | Orelia: 10.0
Runde8,988.5,6,False,Morgen: negative | Talyah: positive | Diahann: negative | Rosemonde: positive | Marian: positive,Morgen: 5.5 | Talyah: 10.0 | Diahann: 5.5 | Rosemonde: 5.5 | Marian: 10
Runde9,1114.5,3,False,Anni: positive | Barry: positive | Diahann: positive | Noell: positive | Marian: positive | Joellen: positive | Carol-Jean: negative,Anni: 10.0 | Barry: 10.0 | Diahann: 7.428571428571429 | Noell: 10.0 | Marian: 10.0 | Joellen: 10.0 | Carol-Jean: 7.428571428571429
Runde10,1250.25,6,False,Elysia: negative | Anni: negative | Barry: negative | Talyah: negative | Bernete: negative | Elsinore: negative | Rosemonde: negative,Elysia: 5.5 | Anni: 8.2 | Barry: 8.2 | Talyah: 7.428571428571429 | Bernete: 7.428571428571429 | Elsinore: 5.5 | Rosemonde: 3.5714285714285716
