Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,41.0,3,False,,
Runde2,111.0,20,False,Rosemonde: positive,Rosemonde: 10
Runde3,221.0,7,False,Barry: positive | Kari: positive | Orelia: positive | Leola: positive,Barry: 10 | Kari: 10 | Orelia: 10 | Leola: 10
Runde4,385.25,3,False,Talyah: positive | Bernete: positive | Lib: positive,Talyah: 10 | Bernete: 10 | Lib: 10
Runde5,546.25,4,False,Anni: positive | Barry: positive | Diahann: positive | Rosemonde: positive | Noell: positive | Kari: positive | Lorelle: positive | Lois: positive | Joellen: positive | Lib: positive,Anni: 10 | Barry: 10.0 | Diahann: 10 | Rosemonde: 10.0 | Noell: 10 | Kari: 10.0 | Lorelle: 10 | Lois: 10 | Joellen: 10 | Lib: 10.0
Runde6,684.25,15,False,Elysia: positive | Elsinore: positive | Noell: positive | Kari: positive | Orelia: positive | Lib: positive | Leola: positive | Carol-Jean: positive,Elysia: 10 | Elsinore: 10 | Noell: 10.0 | Kari: 10.0 | Orelia: 10.0 | Lib: 10.0 | Leola: 10.0 | Carol-Jean: 10
Runde7,810.5,20,False,Elysia: negative | Elsinore: positive | Kari: negative | Lois: negative | Carol-Jean: negative,Elysia: 5.5 | Elsinore: 10.0 | Kari: 8.2 | Lois: 5.5 | Carol-Jean: 5.5
Runde8,963.5,18,False,Diahann: negative | Bernete: negative | Rosemonde: positive | Noell: positive | Lib: positive,Diahann: 5.5 | Bernete: 5.5 | Rosemonde: 10.0 | Noell: 10.0 | Lib: 10.0
Runde9,1084.5,8,False,Morgen: positive | Barry: positive | Rosemonde: positive | Lorelle: positive | Orelia: positive | Lois: positive | Leola: positive,Morgen: 10 | Barry: 10.0 | Rosemonde: 10.0 | Lorelle: 10.0 | Orelia: 10.0 | Lois: 7.428571428571429 | Leola: 10.0
Runde10,1226.25,0,False,Anni: positive | Bernete: positive | Rosemonde: positive | Orelia: positive | Lib: positive,Anni: 10.0 | Bernete: 7.428571428571429 | Rosemonde: 10.0 | Orelia: 10.0 | Lib: 10.0
Runde11,1376.25,9,False,Morgen: positive | Philippa: positive | Bernete: positive | Noell: positive | Orelia: positive | Carol-Jean: positive,Morgen: 10.0 | Philippa: 10 | Bernete: 8.2 | Noell: 10.0 | Orelia: 10.0 | Carol-Jean: 7.428571428571429
Runde12,1544.25,0,False,Elysia: positive | Diahann: positive | Bernete: positive | Elsinore: positive | Noell: positive | Lorelle: positive | Orelia: positive | Leola: positive,Elysia: 7.428571428571429 | Diahann: 7.428571428571429 | Bernete: 8.615384615384615 | Elsinore: 10.0 | Noell: 10.0 | Lorelle: 10.0 | Orelia: 10.0 | Leola: 10.0
Runde13,1695.75,3,False,Morgen: positive | Talyah: positive | Philippa: positive | Diahann: positive | Noell: positive | Kari: positive | Lorelle: positive | Lois: positive | Joellen: positive | Leola: positive | Carol-Jean: positive,Morgen: 10.0 | Talyah: 10.0 | Philippa: 10.0 | Diahann: 8.2 | Noell: 10.0 | Kari: 8.615384615384615 | Lorelle: 10.0 | Lois: 8.2 | Joellen: 10.0 | Leola: 10.0 | Carol-Jean: 8.2
Runde14,1836.0,0,False,Elysia: negative | Elsinore: negative,Elysia: 6.4 | Elsinore: 8.2
Runde15,1972.75,17,False,Anni: negative | Barry: negative | Philippa: negative | Diahann: negative | Bernete: negative | Elsinore: negative | Lorelle: negative | Lib: negative | Leola: negative,Anni: 7.428571428571429 | Barry: 8.2 | Philippa: 7.428571428571429 | Diahann: 7.230769230769231 | Bernete: 7.75 | Elsinore: 7.230769230769231 | Lorelle: 8.615384615384615 | Lib: 8.875 | Leola: 8.875
Runde16,2117.5,18,False,Barry: negative | Diahann: negative | Bernete: negative | Elsinore: negative | Rosemonde: negative | Noell: negative | Lorelle: negative | Orelia: negative | Lois: negative | Lib: negative | Leola: negative,Barry: 7.230769230769231 | Diahann: 6.625 | Bernete: 7.157894736842105 | Elsinore: 6.625 | Rosemonde: 8.875 | Noell: 9.052631578947368 | Lorelle: 7.75 | Orelia: 9.052631578947368 | Lois: 7.230769230769231 | Lib: 8.105263157894736 | Leola: 8.105263157894736
Runde17,2279.5,15,False,Barry: negative | Bernete: negative | Rosemonde: negative | Lorelle: negative | Orelia: negative | Leola: negative,Barry: 6.625 | Bernete: 6.7272727272727275 | Rosemonde: 8.105263157894736 | Lorelle: 7.157894736842105 | Orelia: 8.363636363636363 | Leola: 7.545454545454546
Runde18,2430.5,17,False,Talyah: negative | Philippa: negative | Diahann: negative | Noell: negative | Kari: negative,Talyah: 7.428571428571429 | Philippa: 6.4 | Diahann: 6.2105263157894735 | Noell: 8.363636363636363 | Kari: 7.75
Runde19,2545.0,10,False,Morgen: negative | Elysia: negative | Barry: negative | Philippa: negative | Diahann: negative | Bernete: negative | Rosemonde: negative,Morgen: 8.2 | Elysia: 5.846153846153846 | Barry: 6.2105263157894735 | Philippa: 5.846153846153846 | Diahann: 5.909090909090909 | Bernete: 6.4 | Rosemonde: 7.545454545454546
Runde20,2693.75,11,False,Morgen: negative | Anni: negative | Barry: positive | Talyah: positive | Diahann: positive | Lois: positive,Morgen: 7.230769230769231 | Anni: 6.4 | Barry: 6.7272727272727275 | Talyah: 8.2 | Diahann: 6.4 | Lois: 7.75
Runde21,2799.25,4,False,Philippa: positive | Carol-Jean: positive,Philippa: 6.625 | Carol-Jean: 8.615384615384615
Runde22,2940.25,12,False,Anni: positive | Talyah: positive | Rosemonde: positive | Orelia: negative | Lois: positive,Anni: 7.230769230769231 | Talyah: 8.615384615384615 | Rosemonde: 7.84 | Orelia: 7.84 | Lois: 8.105263157894736
Runde23,3090.0,16,False,Elysia: positive | Anni: positive | Diahann: positive | Rosemonde: positive | Leola: positive,Elysia: 6.625 | Anni: 7.75 | Diahann: 6.785714285714286 | Rosemonde: 8.071428571428571 | Leola: 7.84
Runde24,3203.5,2,False,Barry: positive | Rosemonde: positive | Joellen: positive,Barry: 7.12 | Rosemonde: 8.258064516129032 | Joellen: 10.0
Runde25,,,False,,
