Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,43.0,1,False,,
Runde2,133.0,0,False,Elsinore: positive,Elsinore: 10
Runde3,245.0,5,False,Kari: positive | Orelia: positive,Kari: 10 | Orelia: 10
Runde4,402.25,10,False,Diahann: negative | Elsinore: positive | Rosemonde: negative | Noell: negative | Lorelle: negative | Orelia: negative | Leola: negative,Diahann: 1 | Elsinore: 10.0 | Rosemonde: 1 | Noell: 1 | Lorelle: 1 | Orelia: 5.5 | Leola: 1
Runde5,551.25,16,False,Morgen: negative | Talyah: negative | Diahann: negative | Rosemonde: negative | Noell: negative | Marian: negative,Morgen: 1 | Talyah: 1 | Diahann: 1.0 | Rosemonde: 1.0 | Noell: 1.0 | Marian: 1
Runde6,695.25,9,False,Morgen: negative | Barry: negative | Talyah: negative | Diahann: negative | Lorelle: negative | Orelia: negative | Lois: negative | Joellen: negative | Lib: negative,Morgen: 1.0 | Barry: 1 | Talyah: 1.0 | Diahann: 1.0 | Lorelle: 1.0 | Orelia: 4.857142857142857 | Lois: 1 | Joellen: 1 | Lib: 1
Runde7,836.5,5,False,Talyah: negative | Bernete: negative | Noell: negative | Kari: negative | Lorelle: negative | Lois: negative | Joellen: negative,Talyah: 1.0 | Bernete: 1 | Noell: 1.0 | Kari: 5.5 | Lorelle: 1.0 | Lois: 1.0 | Joellen: 1.0
Runde8,992.5,15,False,Morgen: negative | Barry: negative | Bernete: negative | Kari: negative | Lorelle: negative | Orelia: negative | Carol-Jean: negative,Morgen: 1.0 | Barry: 1.0 | Bernete: 1.0 | Kari: 4.857142857142857 | Lorelle: 1.0 | Orelia: 4.6 | Carol-Jean: 1
Runde9,1118.5,3,False,Elysia: negative | Anni: negative | Elsinore: negative | Rosemonde: negative | Kari: negative | Lorelle: negative | Orelia: negative | Joellen: negative,Elysia: 1 | Anni: 1 | Elsinore: 7.428571428571429 | Rosemonde: 1.0 | Kari: 4.6 | Lorelle: 1.0 | Orelia: 4.461538461538462 | Joellen: 1.0
