Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,9.25,1,False,,
Runde2,9.75,1,False,,
Runde3,12.5,7,False,Malinda: negative | Charlot: negative,Malinda: 1 | Charlot: 1
Runde4,22.5,5,False,,
Runde5,28.75,14,False,Charlot: positive,Charlot: 5.5
Runde6,42.25,9,False,,
Runde7,56.0,8,False,Malinda: positive,Malinda: 5.5
Runde8,61.0,16,False,,
Runde9,63.75,1,False,,
Runde10,81.25,5,False,,
Runde11,91.0,6,False,,
Runde12,101.25,4,False,Charlot: positive,Charlot: 6.142857142857143
Runde13,107.5,20,False,,
Runde14,121.25,11,False,Charlot: positive,Charlot: 6.4
Runde15,138.5,3,False,Charlot: positive,Charlot: 6.538461538461538
Runde16,147.0,8,False,Charlot: positive,Charlot: 6.625
Runde17,150.5,4,False,,
Runde18,177.0,5,False,,
Runde19,188.5,2,False,,
Runde20,189.25,15,False,Malinda: negative,Malinda: 3.5714285714285716
Runde21,193.75,18,False,Malinda: negative | Charlot: negative,Malinda: 2.8 | Charlot: 5.7368421052631575
Runde22,211.75,9,False,Charlot: negative,Charlot: 5.090909090909091
Runde23,225.0,1,False,Malinda: positive,Malinda: 3.769230769230769
Runde24,240.5,19,False,,
Runde25,259.5,5,False,,
Runde26,285.75,9,False,Malinda: positive,Malinda: 4.375
Runde27,295.0,8,False,,
Runde28,317.5,18,False,Malinda: negative | Charlot: negative,Malinda: 3.8421052631578947 | Charlot: 4.6
Runde29,323.75,8,False,,
Runde30,345.75,11,False,Malinda: negative,Malinda: 3.4545454545454546
Runde31,357.5,16,False,Charlot: negative,Charlot: 4.214285714285714
Runde32,368.0,15,False,Malinda: negative,Malinda: 3.16
Runde33,379.75,19,False,Charlot: negative,Charlot: 3.903225806451613
Runde34,380.0,11,False,Malinda: negative,Malinda: 2.9285714285714284
Runde35,389.25,14,False,,
Runde36,402.25,5,False,Malinda: positive | Charlot: positive,Malinda: 3.3225806451612905 | Charlot: 4.176470588235294
Runde37,418.75,3,False,Malinda: positive | Charlot: positive,Malinda: 3.6470588235294117 | Charlot: 4.405405405405405
Runde38,424.75,6,False,Malinda: positive,Malinda: 3.918918918918919
Runde39,432.5,20,False,,
Runde40,444.5,12,False,Charlot: positive,Charlot: 4.6
Runde41,460.0,10,False,,
Runde42,471.5,5,False,,
Runde43,,,False,,
