Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,10.25,0,False,,
Runde2,8.75,10,False,Maddy: positive | Cherice: positive,Maddy: 10 | Cherice: 10
Runde3,20.75,8,False,Emmeline: positive,Emmeline: 10
Runde4,47.25,3,False,Yasmeen: positive | Diannne: positive | Elvira: positive | Imogene: positive,Yasmeen: 10 | Diannne: 10 | Elvira: 10 | Imogene: 10
Runde5,57.75,11,False,Yasmeen: positive | Diannne: positive | Aimil: positive | Colly: positive | Tabby: positive | Elvira: positive,Yasmeen: 10.0 | Diannne: 10.0 | Aimil: 10 | Colly: 10 | Tabby: 10 | Elvira: 10.0
Runde6,83.0,4,False,Diannne: positive | Maddy: positive | Bride: positive,Diannne: 10.0 | Maddy: 10.0 | Bride: 10
Runde7,102.25,11,True,Yasmeen: positive | Julita: positive | Aimil: positive | Eunice: positive | Emmeline: positive,Yasmeen: 10.0 | Julita: 10 | Aimil: 10.0 | Eunice: 10 | Emmeline: 10.0
Runde8,122.25,4,True,Diannne: positive | Maddy: positive | Elvira: positive | Imogene: positive,Diannne: 10.0 | Maddy: 10.0 | Elvira: 10.0 | Imogene: 10.0
Runde9,134.5,15,True,Diannne: positive | Aimil: positive | Colly: positive,Diannne: 10.0 | Aimil: 10.0 | Colly: 10.0
Runde10,152.75,14,True,Diannne: positive | Imogene: positive,Diannne: 10.0 | Imogene: 10.0
Runde11,177.25,3,True,Yasmeen: positive | Emmeline: positive,Yasmeen: 10.0 | Emmeline: 10.0
Runde12,195.5,12,True,Julita: positive | Aimil: positive | Tabby: positive | Bride: positive | Imogene: positive | Emmeline: positive,Julita: 10.0 | Aimil: 10.0 | Tabby: 10.0 | Bride: 10.0 | Imogene: 10.0 | Emmeline: 10.0
Runde13,216.75,9,True,Yasmeen: positive | Diannne: positive | Julita: positive | Colly: positive | Elvira: positive | Bride: positive,Yasmeen: 10.0 | Diannne: 10.0 | Julita: 10.0 | Colly: 10.0 | Elvira: 10.0 | Bride: 10.0
Runde14,239.25,14,True,Julita: positive | Elvira: positive | Bride: positive | Emmeline: positive,Julita: 10.0 | Elvira: 10.0 | Bride: 10.0 | Emmeline: 10.0
Runde15,266.0,2,True,Diannne: positive | Julita: positive | Cherice: positive | Bride: positive | Imogene: positive,Diannne: 10.0 | Julita: 10.0 | Cherice: 10.0 | Bride: 10.0 | Imogene: 10.0
Runde16,294.25,6,True,Yasmeen: positive | Maddy: positive | Colly: positive | Imogene: positive,Yasmeen: 10.0 | Maddy: 10.0 | Colly: 10.0 | Imogene: 10.0
Runde17,330.25,7,True,Aimil: positive | Colly: positive | Tabby: positive | Imogene: positive,Aimil: 10.0 | Colly: 10.0 | Tabby: 10.0 | Imogene: 10.0
Runde18,357.5,3,True,Julita: positive | Aimil: positive | Maddy: positive | Cherice: positive | Eunice: positive | Elvira: positive,Julita: 10.0 | Aimil: 10.0 | Maddy: 10.0 | Cherice: 10.0 | Eunice: 10.0 | Elvira: 10.0
Runde19,383.25,1,True,Julita: positive | Aimil: positive | Cherice: positive | Bride: positive | Imogene: positive,Julita: 10.0 | Aimil: 10.0 | Cherice: 10.0 | Bride: 10.0 | Imogene: 10.0
Runde20,397.75,12,True,Yasmeen: positive | Diannne: positive | Elvira: positive,Yasmeen: 10.0 | Diannne: 10.0 | Elvira: 10.0
Runde21,418.25,0,True,Yasmeen: positive | Colly: positive | Tabby: positive | Bride: positive,Yasmeen: 10.0 | Colly: 10.0 | Tabby: 10.0 | Bride: 10.0
Runde22,440.25,1,True,Yasmeen: positive | Julita: positive | Maddy: positive | Colly: positive | Elvira: positive | Bride: positive,Yasmeen: 10.0 | Julita: 10.0 | Maddy: 10.0 | Colly: 10.0 | Elvira: 10.0 | Bride: 10.0
Runde23,462.0,19,True,Julita: positive | Aimil: positive | Cherice: positive | Colly: positive,Julita: 10.0 | Aimil: 10.0 | Cherice: 10.0 | Colly: 10.0
Runde24,474.75,17,True,Diannne: positive | Julita: positive | Aimil: positive | Maddy: positive | Cherice: positive | Colly: positive | Elvira: positive | Bride: positive | Emmeline: positive,Diannne: 10.0 | Julita: 10.0 | Aimil: 10.0 | Maddy: 10.0 | Cherice: 10.0 | Colly: 10.0 | Elvira: 10.0 | Bride: 10.0 | Emmeline: 10.0
Runde25,,,False,,
