Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.25,4,False,,
Runde2,14.75,0,False,Cherice: positive | Elvira: positive,Cherice: 10 | Elvira: 10
Runde3,28.75,6,True,Colly: positive | Emmeline: positive,Colly: 10 | Emmeline: 10
Runde4,44.25,14,False,Agata: positive | Tabby: positive,Agata: 10 | Tabby: 10
Runde5,64.75,1,False,Diannne: positive | Maddy: positive | Elvira: positive | Bride: positive,Diannne: 10 | Maddy: 10 | Elvira: 10.0 | Bride: 10
Runde6,76.0,18,True,Diannne: positive | Aimil: positive | Tabby: positive | Bride: positive,Diannne: 10.0 | Aimil: 10 | Tabby: 10.0 | Bride: 10.0
Runde7,106.25,0,True,Aimil: positive | Bride: positive,Aimil: 10.0 | Bride: 10.0
Runde8,130.25,0,True,Yasmeen: positive | Aimil: positive | Colly: positive | Elvira: positive | Emmeline: positive,Yasmeen: 10 | Aimil: 10.0 | Colly: 10.0 | Elvira: 10.0 | Emmeline: 10.0
Runde9,157.5,0,True,Diannne: positive | Aimil: positive | Cherice: positive | Colly: positive | Emmeline: positive,Diannne: 10.0 | Aimil: 10.0 | Cherice: 10.0 | Colly: 10.0 | Emmeline: 10.0
Runde10,182.75,7,True,Agata: positive | Elvira: positive,Agata: 10.0 | Elvira: 10.0
Runde11,206.25,4,True,Julita: positive | Cherice: positive | Agata: positive | Imogene: positive | Emmeline: positive,Julita: 10 | Cherice: 10.0 | Agata: 10.0 | Imogene: 10 | Emmeline: 10.0
Runde12,235.5,1,True,Julita: positive | Imogene: positive,Julita: 10.0 | Imogene: 10.0
Runde13,247.75,18,True,Yasmeen: positive | Diannne: positive | Julita: positive | Cherice: positive | Agata: positive,Yasmeen: 10.0 | Diannne: 10.0 | Julita: 10.0 | Cherice: 10.0 | Agata: 10.0
Runde14,264.25,20,True,Julita: positive | Maddy: positive | Cherice: positive | Elvira: positive | Bride: positive | Emmeline: positive,Julita: 10.0 | Maddy: 10.0 | Cherice: 10.0 | Elvira: 10.0 | Bride: 10.0 | Emmeline: 10.0
Runde15,290.0,3,True,Diannne: positive | Cherice: positive | Agata: positive | Bride: positive | Imogene: positive,Diannne: 10.0 | Cherice: 10.0 | Agata: 10.0 | Bride: 10.0 | Imogene: 10.0
Runde16,323.25,1,True,Julita: positive | Colly: positive | Tabby: positive | Elvira: positive | Imogene: positive,Julita: 10.0 | Colly: 10.0 | Tabby: 10.0 | Elvira: 10.0 | Imogene: 10.0
Runde17,359.25,7,True,Yasmeen: positive | Diannne: positive | Cherice: positive,Yasmeen: 10.0 | Diannne: 10.0 | Cherice: 10.0
Runde18,386.5,3,True,Yasmeen: positive | Aimil: positive | Cherice: positive | Colly: positive | Emmeline: positive,Yasmeen: 10.0 | Aimil: 10.0 | Cherice: 10.0 | Colly: 10.0 | Emmeline: 10.0
Runde19,410.25,3,True,Aimil: positive | Maddy: positive | Tabby: positive | Imogene: positive,Aimil: 10.0 | Maddy: 10.0 | Tabby: 10.0 | Imogene: 10.0
Runde20,433.75,3,True,Diannne: positive | Maddy: positive | Colly: positive | Imogene: positive,Diannne: 10.0 | Maddy: 10.0 | Colly: 10.0 | Imogene: 10.0
Runde21,452.25,2,True,Yasmeen: positive | Colly: positive,Yasmeen: 10.0 | Colly: 10.0
Runde22,475.25,0,True,Yasmeen: positive | Julita: positive | Colly: positive,Yasmeen: 10.0 | Julita: 10.0 | Colly: 10.0
Runde23,505.0,11,True,Diannne: positive | Julita: positive | Elvira: positive | Bride: positive,Diannne: 10.0 | Julita: 10.0 | Elvira: 10.0 | Bride: 10.0
Runde24,527.75,7,True,Diannne: positive | Cherice: positive | Agata: positive,Diannne: 10.0 | Cherice: 10.0 | Agata: 10.0
Runde25,,,False,,
