Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,7.25,4,False,,
Runde2,17.25,7,False,Lynea: positive,Lynea: 10
Runde3,40.5,16,False,Con: positive | Tallou: positive,Con: 10 | Tallou: 10
Runde4,75.5,8,False,Lynea: positive | Aeriel: positive | Harriette: positive | Tabitha: positive,Lynea: 10.0 | Aeriel: 10 | Harriette: 10 | Tabitha: 10
Runde5,118.0,0,False,Aeriel: positive | Con: positive | Giacinta: positive | Harriette: positive | Morena: positive | Henryetta: positive | Tandie: positive,Aeriel: 10.0 | Con: 10.0 | Giacinta: 10 | Harriette: 10.0 | Morena: 10 | Henryetta: 10 | Tandie: 10
Runde6,134.0,18,True,Christel: positive | Adeline: positive,Christel: 10 | Adeline: 10
Runde7,176.5,4,True,Dolly: positive | Aeriel: positive | Morena: positive | Tandie: positive | Adeline: positive,Dolly: 10 | Aeriel: 10.0 | Morena: 10.0 | Tandie: 10.0 | Adeline: 10.0
Runde8,220.0,4,True,Aeriel: positive | Con: positive | Tallou: positive | Adeline: positive,Aeriel: 10.0 | Con: 10.0 | Tallou: 10.0 | Adeline: 10.0
Runde9,242.5,19,True,Aeriel: positive | Harriette: positive | Morena: positive | Tallou: positive | Dulsea: positive | Ailis: positive,Aeriel: 10.0 | Harriette: 10.0 | Morena: 10.0 | Tallou: 10.0 | Dulsea: 10 | Ailis: 10
Runde10,271.0,6,True,Con: positive | Harriette: positive | Michaella: positive | Alana: positive | Henryetta: positive | Tabitha: positive,Con: 10.0 | Harriette: 10.0 | Michaella: 10 | Alana: 10 | Henryetta: 10.0 | Tabitha: 10.0
Runde11,298.5,19,True,Tommy: positive | Dolly: positive | Christel: positive | Ailis: positive | Tabitha: positive,Tommy: 10 | Dolly: 10.0 | Christel: 10.0 | Ailis: 10.0 | Tabitha: 10.0
Runde12,329.25,9,True,Tommy: positive | Morena: positive | Michaella: positive | Ailis: positive | Henryetta: positive,Tommy: 10.0 | Morena: 10.0 | Michaella: 10.0 | Ailis: 10.0 | Henryetta: 10.0
Runde13,360.25,18,True,Tommy: positive | Dolly: positive | Giacinta: positive | Tallou: positive | Alana: positive | Flor: positive | Adeline: positive,Tommy: 10.0 | Dolly: 10.0 | Giacinta: 10.0 | Tallou: 10.0 | Alana: 10.0 | Flor: 10 | Adeline: 10.0
Runde14,385.0,6,True,Lynea: positive | Giacinta: positive | Henryetta: positive | Tabitha: positive | Adeline: positive,Lynea: 10.0 | Giacinta: 10.0 | Henryetta: 10.0 | Tabitha: 10.0 | Adeline: 10.0
Runde15,423.0,6,True,Lynea: positive | Morena: positive | Christel: positive | Tallou: positive | Ailis: positive,Lynea: 10.0 | Morena: 10.0 | Christel: 10.0 | Tallou: 10.0 | Ailis: 10.0
Runde16,446.25,7,True,Con: positive | Harriette: positive | Dulsea: positive | Alana: positive | Ailis: positive | Flor: positive | Henryetta: positive | Adeline: positive,Con: 10.0 | Harriette: 10.0 | Dulsea: 10.0 | Alana: 10.0 | Ailis: 10.0 | Flor: 10.0 | Henryetta: 10.0 | Adeline: 10.0
Runde17,472.0,11,True,Michaella: positive | Tallou: positive | Alana: positive | Henryetta: positive,Michaella: 10.0 | Tallou: 10.0 | Alana: 10.0 | Henryetta: 10.0
Runde18,513.25,8,True,Dolly: positive | Aeriel: positive | Giacinta: positive | Morena: positive | Michaella: positive | Christel: positive | Dulsea: positive | Alana: positive | Ailis: positive | Henryetta: positive,Dolly: 10.0 | Aeriel: 10.0 | Giacinta: 10.0 | Morena: 10.0 | Michaella: 10.0 | Christel: 10.0 | Dulsea: 10.0 | Alana: 10.0 | Ailis: 10.0 | Henryetta: 10.0
Runde19,550.5,9,True,Lynea: positive | Dolly: positive | Aeriel: positive | Harriette: positive | Morena: positive | Michaella: positive | Christel: positive | Flor: positive,Lynea: 10.0 | Dolly: 10.0 | Aeriel: 10.0 | Harriette: 10.0 | Morena: 10.0 | Michaella: 10.0 | Christel: 10.0 | Flor: 10.0
Runde20,580.25,9,True,Lynea: positive | Alana: positive,Lynea: 10.0 | Alana: 10.0
Runde21,616.5,18,True,Con: positive | Dulsea: positive | Alana: positive,Con: 10.0 | Dulsea: 10.0 | Alana: 10.0
Runde22,667.0,4,True,Tommy: positive | Aeriel: positive | Giacinta: positive | Tallou: positive | Dulsea: positive | Ailis: positive | Flor: positive,Tommy: 10.0 | Aeriel: 10.0 | Giacinta: 10.0 | Tallou: 10.0 | Dulsea: 10.0 | Ailis: 10.0 | Flor: 10.0
Runde23,700.75,16,True,Tommy: positive | Aeriel: positive | Tallou: positive | Alana: positive | Flor: positive,Tommy: 10.0 | Aeriel: 10.0 | Tallou: 10.0 | Alana: 10.0 | Flor: 10.0
Runde24,743.25,13,True,Aeriel: positive | Giacinta: positive | Harriette: positive | Ailis: positive | Flor: positive | Tabitha: positive,Aeriel: 10.0 | Giacinta: 10.0 | Harriette: 10.0 | Ailis: 10.0 | Flor: 10.0 | Tabitha: 10.0
Runde25,,,False,,
