Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,8.25,3,False,,
Runde2,22.25,3,False,Cally: positive | Con: positive | Tandie: positive,Cally: 10 | Con: 10 | Tandie: 10
Runde3,56.5,5,False,Cally: positive | Harriette: positive | Christel: positive | Tabitha: positive,Cally: 10.0 | Harriette: 10 | Christel: 10 | Tabitha: 10
Runde4,81.5,18,False,Alana: positive | Tabitha: positive | Tandie: positive,Alana: 10 | Tabitha: 10.0 | Tandie: 10.0
Runde5,136.0,0,False,Giacinta: positive | Tallou: positive | Dulsea: negative | Ailis: negative | Flor: negative | Defector: negative,Giacinta: 10 | Tallou: 10 | Dulsea: 1 | Ailis: 1 | Flor: 1 | Defector: 1
Runde6,158.0,12,True,Dolly: positive | Harriette: positive | Christel: positive | Tallou: positive | Alana: positive | Flor: positive | Adeline: positive,Dolly: 10 | Harriette: 10.0 | Christel: 10.0 | Tallou: 10.0 | Alana: 10.0 | Flor: 5.5 | Adeline: 10
Runde7,199.5,20,True,Lynea: negative | Con: negative | Giacinta: negative | Christel: negative | Tallou: negative | Alana: negative | Ailis: negative | Henryetta: negative,Lynea: 1 | Con: 5.5 | Giacinta: 5.5 | Christel: 7.428571428571429 | Tallou: 7.428571428571429 | Alana: 7.428571428571429 | Ailis: 1.0 | Henryetta: 1
Runde8,240.0,7,True,Tommy: positive | Con: positive | Morena: positive,Tommy: 10 | Con: 7.428571428571429 | Morena: 10
Runde9,268.5,13,True,Aeriel: positive | Harriette: positive | Morena: positive | Christel: positive | Tallou: positive | Alana: positive | Adeline: positive,Aeriel: 10 | Harriette: 10.0 | Morena: 10.0 | Christel: 8.2 | Tallou: 8.2 | Alana: 8.2 | Adeline: 10.0
Runde10,300.0,3,True,Tommy: positive | Cally: positive | Ailis: positive | Flor: positive | Tabitha: positive | Tandie: positive,Tommy: 10.0 | Cally: 10.0 | Ailis: 3.5714285714285716 | Flor: 6.142857142857143 | Tabitha: 10.0 | Tandie: 10.0
Runde11,327.5,19,True,Cally: positive | Dolly: positive | Ailis: positive | Tabitha: positive,Cally: 10.0 | Dolly: 10.0 | Ailis: 4.6 | Tabitha: 10.0
Runde12,359.25,8,True,Tommy: positive | Con: positive | Morena: positive | Christel: positive | Dulsea: positive | Ailis: positive | Flor: positive | Henryetta: positive | Tandie: positive,Tommy: 10.0 | Con: 8.2 | Morena: 10.0 | Christel: 8.615384615384615 | Dulsea: 5.5 | Ailis: 5.153846153846154 | Flor: 6.4 | Henryetta: 5.5 | Tandie: 10.0
Runde13,398.25,10,True,Cally: positive | Dolly: positive | Con: positive | Ailis: positive | Flor: positive | Tabitha: positive | Tandie: positive | Adeline: positive,Cally: 10.0 | Dolly: 10.0 | Con: 8.615384615384615 | Ailis: 5.5 | Flor: 6.538461538461538 | Tabitha: 10.0 | Tandie: 10.0 | Adeline: 10.0
Runde14,419.0,10,True,Tommy: positive | Dolly: positive | Harriette: positive | Alana: positive,Tommy: 10.0 | Dolly: 10.0 | Harriette: 10.0 | Alana: 8.615384615384615
Runde15,460.0,3,True,Lynea: positive | Harriette: positive | Ailis: positive,Lynea: 5.5 | Harriette: 10.0 | Ailis: 5.7368421052631575
Runde16,475.25,15,True,Tommy: positive | Cally: positive | Con: positive | Harriette: positive | Dulsea: positive | Alana: positive | Ailis: positive | Adeline: positive,Tommy: 10.0 | Cally: 10.0 | Con: 8.875 | Harriette: 10.0 | Dulsea: 6.142857142857143 | Alana: 8.875 | Ailis: 5.909090909090909 | Adeline: 10.0
Runde17,506.0,6,True,Tommy: positive | Dolly: positive | Tallou: positive | Dulsea: positive | Flor: positive | Henryetta: positive,Tommy: 10.0 | Dolly: 10.0 | Tallou: 8.615384615384615 | Dulsea: 6.4 | Flor: 6.625 | Henryetta: 6.142857142857143
Runde18,539.25,16,True,Christel: positive | Dulsea: positive | Ailis: positive | Henryetta: positive,Christel: 8.875 | Dulsea: 6.538461538461538 | Ailis: 6.04 | Henryetta: 6.4
Runde19,581.5,4,True,Lynea: positive | Con: positive | Morena: positive | Christel: positive | Ailis: positive,Lynea: 6.142857142857143 | Con: 9.052631578947368 | Morena: 10.0 | Christel: 9.052631578947368 | Ailis: 6.142857142857143
Runde20,617.25,3,True,Lynea: positive | Cally: positive | Dolly: positive | Ailis: positive | Flor: positive | Tandie: positive | Adeline: positive,Lynea: 6.4 | Cally: 10.0 | Dolly: 10.0 | Ailis: 6.225806451612903 | Flor: 6.684210526315789 | Tandie: 10.0 | Adeline: 10.0
Runde21,670.5,1,True,Con: positive | Harriette: positive | Flor: positive | Henryetta: positive | Adeline: positive,Con: 9.181818181818182 | Harriette: 10.0 | Flor: 6.7272727272727275 | Henryetta: 6.538461538461538 | Adeline: 10.0
