Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.75,2,False,,
Runde2,5.0,0,False,,
Runde3,5.0,4,False,Defector: negative,Defector: 1
Runde4,5.25,0,False,Mil: ,Mil: 5
Runde5,2.25,4,False,,
Runde6,39.5,0,False,Mil: negative | Defector: negative,Mil: 2.6 | Defector: 1.0
Runde7,38.0,10,False,,
Runde8,46.0,3,False,,
Runde9,41.75,9,False,Mil: positive,Mil: 3.923076923076923
Runde10,42.75,4,False,Mil: positive,Mil: 4.75
Runde11,43.75,5,False,,
Runde12,41.75,4,False,,
Runde13,35.0,14,False,,
Runde14,30.25,8,False,,
Runde15,32.25,1,False,,
Runde16,29.0,11,False,Mil: positive,Mil: 5.315789473684211
Runde17,29.5,2,False,Mil: positive,Mil: 5.7272727272727275
Runde18,20.25,15,False,,
Runde19,14.5,8,False,Mil: positive,Mil: 6.04
Runde20,14.5,0,False,,
Runde21,13.5,3,False,,
Runde22,18.25,0,False,Mil: positive,Mil: 6.285714285714286
Runde23,15.25,7,False,Mil: positive,Mil: 6.483870967741935
Runde24,16.75,1,False,Mil: positive,Mil: 6.647058823529412
Runde25,17.5,5,False,,
Runde26,9.5,13,False,,
Runde27,20.25,4,False,Defector: negative,Defector: 1.0
Runde28,16.75,13,False,Defector: negative,Defector: 1.0
Runde29,15.25,6,False,Mil: positive,Mil: 6.783783783783784
Runde30,15.25,0,False,Mil: positive,Mil: 6.9
Runde31,8.75,10,False,,
Runde32,11.25,3,False,,
Runde33,6.0,9,False,,
Runde34,21.75,2,False,Mil: positive | Defector: negative,Mil: 7.0 | Defector: 1.0
Runde35,,,False,,
