Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,5.25,0,False,,
Runde2,6.5,0,False,,
Runde3,7.5,0,False,,
Runde4,8.25,0,True,,
Runde5,9.0,0,True,,
Runde6,10.0,0,False,,
Runde7,10.5,0,True,,
Runde8,10.75,0,True,,
Runde9,12.25,0,False,,
Runde10,16.5,0,True,,
Runde11,19.75,0,True,,
Runde12,21.25,0,True,,
Runde13,21.25,0,True,,
Runde14,23.25,0,True,,
Runde15,25.5,0,False,,
Runde16,29.75,0,True,,
Runde17,31.25,0,True,,
Runde18,33.75,0,False,,
Runde19,38.5,0,True,,
Runde20,39.75,0,True,,
Runde21,42.0,0,True,,
Runde22,43.0,0,False,,
Runde23,45.5,0,False,,
Runde24,47.25,0,False,,
Runde25,47.25,0,False,,
Runde26,49.75,0,False,,
Runde27,50.5,0,True,,
Runde28,54.25,0,True,,
Runde29,54.5,0,True,,
Runde30,57.25,0,False,,
Runde31,58.75,0,True,,
Runde32,61.25,0,True,,
Runde33,65.75,0,False,,
Runde34,66.5,0,False,,
Runde35,70.25,0,False,,
Runde36,73.0,0,False,,
Runde37,,,False,,
