Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,4.25,1,False,,
Runde2,1.5,4,False,,
Runde3,1.5,1,False,,
Runde4,5.25,0,False,Defector: negative,Defector: 1
Runde5,7.0,2,False,,
Runde6,7.0,1,False,,
Runde7,7.5,0,True,Nessy: positive,Nessy: 10
Runde8,10.75,0,True,,
Runde9,6.25,6,False,,
Runde10,4.5,6,True,,
Runde11,6.75,1,True,,
Runde12,6.25,2,True,,
Runde13,9.25,0,False,Nessy: positive | Defector: negative,Nessy: 10.0 | Defector: 1.0
Runde14,9.25,5,True,,
Runde15,6.5,5,False,,
Runde16,10.75,0,True,Nessy: positive,Nessy: 10.0
Runde17,10.25,2,True,,
Runde18,4.75,8,False,Nessy: positive,Nessy: 10.0
Runde19,15.5,3,False,Nessy: negative | Defector: negative,Nessy: 7.75 | Defector: 1.0
Runde20,17.75,2,True,Nessy: positive | Defector: negative,Nessy: 8.105263157894736 | Defector: 1.0
Runde21,14.0,6,True,,
Runde22,11.0,4,False,,
Runde23,10.5,3,False,,
Runde24,10.25,2,False,Nessy: positive,Nessy: 8.363636363636363
Runde25,10.25,0,False,,
Runde26,12.75,0,False,,
Runde27,11.5,2,True,Nessy: positive,Nessy: 8.56
Runde28,11.25,4,True,,
Runde29,13.5,1,False,Nessy: negative | Defector: negative,Nessy: 8.071428571428571 | Defector: 1.0
Runde30,8.25,8,False,,
Runde31,29.75,1,False,Nessy: negative | Defector: negative,Nessy: 6.651162790697675 | Defector: 1.0
Runde32,28.25,7,False,Defector: negative,Defector: 1.0
Runde33,19.75,13,False,,
Runde34,18.5,2,False,,
Runde35,13.25,9,False,,
Runde36,15.0,1,False,Nessy: positive,Nessy: 6.869565217391305
Runde37,,,False,,
