Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,20.5,0,False,,
Runde2,52.0,15,False,,
Runde3,124.0,9,False,Bryana: positive,Bryana: 10
Runde4,183.0,5,True,Bryana: positive | Jonis: positive | Genevieve: positive | Zita: positive | Marian: positive,Bryana: 10.0 | Jonis: 10 | Genevieve: 10 | Zita: 10 | Marian: 10
Runde5,247.5,4,True,Phebe: positive | Brunhilde: positive | Hali: positive | Marian: positive | Defector: negative,Phebe: 10 | Brunhilde: 10 | Hali: 10 | Marian: 10.0 | Defector: 1
Runde6,288.5,6,True,Laureen: positive,Laureen: 10
Runde7,337.0,13,True,Phebe: positive | Laureen: negative | Brunhilde: negative | Jonis: negative | Defector: negative,Phebe: 10.0 | Laureen: 5.5 | Brunhilde: 5.5 | Jonis: 5.5 | Defector: 1.0
Runde8,369.0,14,True,Bryana: positive | Laureen: positive | Lia: positive | Marian: positive | Xaviera: positive,Bryana: 10.0 | Laureen: 7.428571428571429 | Lia: 10 | Marian: 10.0 | Xaviera: 10
Runde9,427.0,6,True,Bryana: positive | Laureen: positive | Brunhilde: positive | Jonis: positive | Xaviera: positive,Bryana: 10.0 | Laureen: 8.2 | Brunhilde: 7.428571428571429 | Jonis: 7.428571428571429 | Xaviera: 10.0
Runde10,472.5,2,True,Jonis: positive | Hali: positive | Genevieve: positive | Marian: positive | Marcie: positive,Jonis: 8.2 | Hali: 10.0 | Genevieve: 10.0 | Marian: 10.0 | Marcie: 10
Runde11,531.0,14,True,Brunhilde: positive | Jonis: positive,Brunhilde: 8.2 | Jonis: 8.615384615384615
Runde12,593.0,4,True,Phebe: positive | Ardeen: positive | Brunhilde: positive | Hali: positive | Marian: positive | Marcie: positive,Phebe: 10.0 | Ardeen: 10 | Brunhilde: 8.615384615384615 | Hali: 10.0 | Marian: 10.0 | Marcie: 10.0
Runde13,659.5,1,True,Laureen: positive | Zita: positive | Marian: positive | Xaviera: positive,Laureen: 8.615384615384615 | Zita: 10.0 | Marian: 10.0 | Xaviera: 10.0
Runde14,727.5,3,True,Bryana: positive | Laureen: positive | Marian: positive,Bryana: 10.0 | Laureen: 8.875 | Marian: 10.0
Runde15,780.5,19,True,Phebe: positive | Genevieve: positive | Zita: positive,Phebe: 10.0 | Genevieve: 10.0 | Zita: 10.0
Runde16,834.0,12,True,Phebe: positive | Laureen: positive | Hali: positive | Zita: positive | Marian: positive | Marcie: positive | Xaviera: positive,Phebe: 10.0 | Laureen: 9.052631578947368 | Hali: 10.0 | Zita: 10.0 | Marian: 10.0 | Marcie: 10.0 | Xaviera: 10.0
Runde17,906.0,2,True,Laureen: positive | Zita: positive,Laureen: 9.181818181818182 | Zita: 10.0
Runde18,967.5,7,True,Phebe: positive | Brunhilde: positive | Lia: positive | Jonis: positive | Hali: positive | Zita: positive,Phebe: 10.0 | Brunhilde: 8.875 | Lia: 10.0 | Jonis: 8.875 | Hali: 10.0 | Zita: 10.0
Runde19,1023.5,5,True,Bryana: positive | Hali: positive | Marian: positive | Xaviera: positive,Bryana: 10.0 | Hali: 10.0 | Marian: 10.0 | Xaviera: 10.0
Runde20,1071.5,0,True,Phebe: positive | Brunhilde: positive | Lia: positive,Phebe: 10.0 | Brunhilde: 9.052631578947368 | Lia: 10.0
Runde21,1125.0,11,True,Marian: positive | Marcie: positive | Xaviera: positive,Marian: 10.0 | Marcie: 10.0 | Xaviera: 10.0
Runde22,1194.0,7,True,Ardeen: positive | Bryana: positive | Lia: positive | Marcie: positive,Ardeen: 10.0 | Bryana: 10.0 | Lia: 10.0 | Marcie: 10.0
Runde23,1249.5,18,True,Bryana: positive | Marcie: positive | Xaviera: positive,Bryana: 10.0 | Marcie: 10.0 | Xaviera: 10.0
Runde24,1309.5,15,True,Jonis: positive,Jonis: 9.052631578947368
Runde25,,,False,,
