Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,23.5,2,False,,
Runde2,96.0,7,False,Ekaterina: positive | Vania: positive,Ekaterina: 10 | Vania: 10
Runde3,197.0,7,False,Ekaterina: positive | Virgina: positive | Suzanna: positive | Loralie: positive,Ekaterina: 10.0 | Virgina: 10 | Suzanna: 10 | Loralie: 10
Runde4,276.5,13,True,Ekaterina: negative | Virgina: positive | Loralie: positive | Camile: positive | Defector: negative,Ekaterina: 7.428571428571429 | Virgina: 10.0 | Loralie: 10.0 | Camile: 10 | Defector: 1
Runde5,373.0,10,True,Ekaterina: negative | Marya: negative | Shir: negative | Virgina: negative | Vania: negative,Ekaterina: 6.4 | Marya: 1 | Shir: 1 | Virgina: 7.428571428571429 | Vania: 5.5
Runde6,470.0,1,True,Aubine: positive | Vania: negative | Suzanna: positive | Loralie: negative,Aubine: 10 | Vania: 4.857142857142857 | Suzanna: 10.0 | Loralie: 7.428571428571429
Runde7,558.5,6,True,Aubine: positive | Dorelia: negative | Ekaterina: negative | Shir: positive | Virgina: negative | Suzanna: positive | Selene: positive | Camile: positive,Aubine: 10.0 | Dorelia: 1 | Ekaterina: 5.846153846153846 | Shir: 5.5 | Virgina: 6.4 | Suzanna: 10.0 | Selene: 10 | Camile: 10.0
Runde8,672.5,4,True,Fidelity: negative | Mignonne: positive | Eartha: negative | Virgina: negative | Nolana: negative | Jodie: negative | Suzanna: negative | Queenie: negative,Fidelity: 1 | Mignonne: 10 | Eartha: 1 | Virgina: 5.846153846153846 | Nolana: 1 | Jodie: 1 | Suzanna: 8.2 | Queenie: 1
Runde9,774.5,20,True,Aubine: negative | Elly: negative | Eartha: negative | Vania: positive | Suzanna: negative | Camile: negative | Defector: negative,Aubine: 7.428571428571429 | Elly: 1 | Eartha: 1.0 | Vania: 6.4 | Suzanna: 7.230769230769231 | Camile: 7.428571428571429 | Defector: 1.0
Runde10,904.5,17,True,Fidelity: negative | Marya: negative | Nolana: negative | Irma: negative | Selene: negative | Queenie: negative,Fidelity: 1.0 | Marya: 1.0 | Nolana: 1.0 | Irma: 1 | Selene: 5.5 | Queenie: 1.0
Runde11,1007.5,14,True,Fidelity: negative | Mignonne: negative | Shir: negative | Eartha: negative | Selene: negative | Camile: negative | Defector: negative,Fidelity: 1.0 | Mignonne: 5.5 | Shir: 3.5714285714285716 | Eartha: 1.0 | Selene: 4.857142857142857 | Camile: 6.4 | Defector: 1.0
Runde12,1118.0,2,True,Aubine: negative | Dorelia: negative | Fidelity: negative | Marya: negative | Nolana: negative | Suzanna: negative | Selene: negative | Queenie: negative | Camile: negative | Defector: negative,Aubine: 6.4 | Dorelia: 1.0 | Fidelity: 1.0 | Marya: 1.0 | Nolana: 1.0 | Suzanna: 6.625 | Selene: 4.6 | Queenie: 1.0 | Camile: 5.846153846153846 | Defector: 1.0
Runde13,1236.0,9,True,Aubine: negative | Fidelity: negative | Ekaterina: negative | Mignonne: negative | Shir: negative | Virgina: negative | Vania: negative | Jodie: negative | Irma: negative | Queenie: negative | Camile: negative | Defector: negative,Aubine: 5.846153846153846 | Fidelity: 1.0 | Ekaterina: 5.5 | Mignonne: 4.857142857142857 | Shir: 2.8 | Virgina: 5.5 | Vania: 5.846153846153846 | Jodie: 1.0 | Irma: 1.0 | Queenie: 1.0 | Camile: 5.5 | Defector: 1.0
Runde14,1352.5,2,True,Dorelia: negative | Elly: negative | Fidelity: negative | Ekaterina: negative | Shir: negative | Jodie: negative | Irma: negative | Loralie: negative | Queenie: negative,Dorelia: 1.0 | Elly: 1.0 | Fidelity: 1.0 | Ekaterina: 5.2631578947368425 | Shir: 2.3846153846153846 | Jodie: 1.0 | Irma: 1.0 | Loralie: 6.4 | Queenie: 1.0
Runde15,1464.5,15,True,Aubine: negative | Ekaterina: negative | Marya: negative | Mignonne: negative | Shir: negative | Vania: negative | Nolana: negative | Irma: negative | Selene: negative | Loralie: negative | Camile: negative,Aubine: 5.5 | Ekaterina: 5.090909090909091 | Marya: 1.0 | Mignonne: 4.6 | Shir: 2.125 | Vania: 5.5 | Nolana: 1.0 | Irma: 1.0 | Selene: 4.461538461538462 | Loralie: 5.846153846153846 | Camile: 5.2631578947368425
Runde16,1551.0,18,True,Fidelity: negative | Virgina: negative | Vania: negative | Nolana: negative | Jodie: negative | Selene: negative,Fidelity: 1.0 | Virgina: 5.2631578947368425 | Vania: 5.2631578947368425 | Nolana: 1.0 | Jodie: 1.0 | Selene: 4.375
Runde17,1656.5,13,True,Aubine: negative | Dorelia: negative | Elly: negative | Fidelity: negative | Marya: negative | Eartha: negative | Virgina: negative | Vania: negative | Nolana: negative | Jodie: negative,Aubine: 5.2631578947368425 | Dorelia: 1.0 | Elly: 1.0 | Fidelity: 1.0 | Marya: 1.0 | Eartha: 1.0 | Virgina: 5.090909090909091 | Vania: 5.090909090909091 | Nolana: 1.0 | Jodie: 1.0
Runde18,1734.0,9,True,Dorelia: negative | Eartha: negative | Vania: negative | Irma: negative | Suzanna: negative | Queenie: negative | Camile: negative | Defector: negative,Dorelia: 1.0 | Eartha: 1.0 | Vania: 4.96 | Irma: 1.0 | Suzanna: 6.2105263157894735 | Queenie: 1.0 | Camile: 5.090909090909091 | Defector: 1.0
Runde19,1865.0,15,True,Dorelia: negative | Elly: negative | Marya: negative | Mignonne: negative | Eartha: negative | Camile: negative,Dorelia: 1.0 | Elly: 1.0 | Marya: 1.0 | Mignonne: 4.461538461538462 | Eartha: 1.0 | Camile: 4.96
Runde20,1961.0,9,True,Dorelia: negative | Elly: negative | Ekaterina: negative | Marya: negative | Mignonne: negative | Virgina: negative | Nolana: negative | Loralie: negative,Dorelia: 1.0 | Elly: 1.0 | Ekaterina: 4.96 | Marya: 1.0 | Mignonne: 4.375 | Virgina: 4.96 | Nolana: 1.0 | Loralie: 5.5
Runde21,2072.0,9,True,Aubine: negative | Marya: negative | Mignonne: negative | Eartha: negative | Jodie: negative | Loralie: negative | Defector: negative,Aubine: 5.090909090909091 | Marya: 1.0 | Mignonne: 4.315789473684211 | Eartha: 1.0 | Jodie: 1.0 | Loralie: 5.2631578947368425 | Defector: 1.0
Runde22,2173.5,9,True,Elly: negative | Fidelity: negative | Ekaterina: negative | Mignonne: negative | Vania: negative | Defector: negative,Elly: 1.0 | Fidelity: 1.0 | Ekaterina: 4.857142857142857 | Mignonne: 4.2727272727272725 | Vania: 4.857142857142857 | Defector: 1.0
Runde23,2270.0,10,True,Dorelia: negative | Fidelity: negative | Marya: negative | Virgina: negative | Vania: negative | Suzanna: negative | Selene: negative | Queenie: negative,Dorelia: 1.0 | Fidelity: 1.0 | Marya: 1.0 | Virgina: 4.857142857142857 | Vania: 4.774193548387097 | Suzanna: 5.909090909090909 | Selene: 4.315789473684211 | Queenie: 1.0
Runde24,2355.5,15,True,Aubine: negative | Marya: negative | Jodie: negative | Irma: negative | Selene: negative | Queenie: negative | Camile: negative | Defector: negative,Aubine: 4.96 | Marya: 1.0 | Jodie: 1.0 | Irma: 1.0 | Selene: 4.2727272727272725 | Queenie: 1.0 | Camile: 4.857142857142857 | Defector: 1.0
Runde25,,,False,,
