Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,25.5,0,False,,
Runde2,93.0,12,False,Dorelia: positive,Dorelia: 10
Runde3,199.0,2,False,Ekaterina: positive | Virgina: positive | Suzanna: positive | Loralie: positive,Ekaterina: 10 | Virgina: 10 | Suzanna: 10 | Loralie: 10
Runde4,285.5,3,True,Mignonne: positive | Eartha: positive | Virgina: positive | Jodie: positive | Loralie: positive | Queenie: positive | Camile: positive,Mignonne: 10 | Eartha: 10 | Virgina: 10.0 | Jodie: 10 | Loralie: 10.0 | Queenie: 10 | Camile: 10
Runde5,365.0,18,True,Dorelia: negative | Suzanna: negative | Queenie: negative,Dorelia: 5.5 | Suzanna: 5.5 | Queenie: 5.5
Runde6,445.0,18,True,Virgina: negative | Vania: negative | Nolana: negative | Jodie: negative | Meriel: negative,Virgina: 7.428571428571429 | Vania: 1 | Nolana: 1 | Jodie: 5.5 | Meriel: 1
Runde7,517.5,13,True,Fidelity: positive | Mignonne: positive | Nolana: positive | Suzanna: positive | Camile: positive,Fidelity: 10 | Mignonne: 10.0 | Nolana: 5.5 | Suzanna: 7.428571428571429 | Camile: 10.0
Runde8,600.5,11,True,Dorelia: positive | Elly: positive | Marya: positive | Shir: positive | Camile: positive,Dorelia: 7.428571428571429 | Elly: 10 | Marya: 10 | Shir: 10 | Camile: 10.0
Runde9,686.5,9,True,Aubine: positive | Dorelia: positive | Marya: positive | Mignonne: positive | Shir: positive | Virgina: positive | Nolana: positive | Jodie: positive | Loralie: positive | Queenie: positive | Camile: positive,Aubine: 10 | Dorelia: 8.2 | Marya: 10.0 | Mignonne: 10.0 | Shir: 10.0 | Virgina: 8.2 | Nolana: 6.142857142857143 | Jodie: 7.428571428571429 | Loralie: 10.0 | Queenie: 7.428571428571429 | Camile: 10.0
Runde10,803.5,0,True,Elly: positive | Mignonne: positive | Jodie: positive | Meriel: positive | Queenie: positive,Elly: 10.0 | Mignonne: 10.0 | Jodie: 8.2 | Meriel: 5.5 | Queenie: 8.2
Runde11,887.5,0,True,Aubine: positive | Dorelia: positive | Elly: positive | Fidelity: positive | Ekaterina: positive | Vania: positive | Nolana: positive | Jodie: positive | Meriel: positive,Aubine: 10.0 | Dorelia: 8.615384615384615 | Elly: 10.0 | Fidelity: 10.0 | Ekaterina: 10.0 | Vania: 5.5 | Nolana: 6.4 | Jodie: 8.615384615384615 | Meriel: 6.142857142857143
Runde12,948.0,19,True,Dorelia: positive | Elly: positive | Mignonne: positive | Shir: positive | Irma: positive | Suzanna: positive | Meriel: positive,Dorelia: 8.875 | Elly: 10.0 | Mignonne: 10.0 | Shir: 10.0 | Irma: 10 | Suzanna: 8.2 | Meriel: 6.4
Runde13,1041.0,1,True,Aubine: positive | Dorelia: positive | Elly: positive | Marya: positive | Eartha: positive | Virgina: positive | Jodie: positive | Suzanna: positive | Queenie: positive,Aubine: 10.0 | Dorelia: 9.052631578947368 | Elly: 10.0 | Marya: 10.0 | Eartha: 10.0 | Virgina: 8.615384615384615 | Jodie: 8.875 | Suzanna: 8.615384615384615 | Queenie: 8.615384615384615
