Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,20.5,5,False,,
Runde2,89.0,11,False,,
Runde3,192.0,5,False,Dorelia: positive | Shir: positive | Eartha: positive | Virgina: positive | Nolana: positive | Loralie: positive,Dorelia: 10 | Shir: 10 | Eartha: 10 | Virgina: 10 | Nolana: 10 | Loralie: 10
Runde4,281.5,0,True,Aubine: positive | Mignonne: positive | Shir: positive | Irma: positive | Meriel: positive | Camile: positive,Aubine: 10 | Mignonne: 10 | Shir: 10.0 | Irma: 10 | Meriel: 10 | Camile: 10
Runde5,387.0,1,True,Aubine: positive | Virgina: negative | Jodie: positive | Suzanna: negative | Selene: negative | Defector: negative,Aubine: 10.0 | Virgina: 5.5 | Jodie: 10 | Suzanna: 1 | Selene: 1 | Defector: 1
Runde6,478.0,7,True,Aubine: positive | Dorelia: negative | Elly: negative | Fidelity: positive | Virgina: negative | Irma: negative | Selene: positive | Camile: negative | Defector: negative,Aubine: 10.0 | Dorelia: 5.5 | Elly: 1 | Fidelity: 10 | Virgina: 4.857142857142857 | Irma: 5.5 | Selene: 5.5 | Camile: 5.5 | Defector: 1.0
Runde7,555.5,17,True,Aubine: negative | Dorelia: negative | Fidelity: negative | Shir: negative | Virgina: negative | Nolana: negative | Jodie: negative | Loralie: negative | Defector: negative,Aubine: 8.2 | Dorelia: 4.857142857142857 | Fidelity: 5.5 | Shir: 7.428571428571429 | Virgina: 4.6 | Nolana: 5.5 | Jodie: 5.5 | Loralie: 5.5 | Defector: 1.0
Runde8,644.5,20,True,Fidelity: negative | Marya: negative | Eartha: negative | Nolana: negative | Jodie: negative | Selene: negative | Defector: negative,Fidelity: 4.857142857142857 | Marya: 1 | Eartha: 5.5 | Nolana: 4.857142857142857 | Jodie: 4.857142857142857 | Selene: 3.5714285714285716 | Defector: 1.0
Runde9,736.5,18,True,Mignonne: negative | Eartha: negative | Virgina: negative | Irma: negative | Meriel: negative | Defector: negative,Mignonne: 5.5 | Eartha: 4.857142857142857 | Virgina: 4.461538461538462 | Irma: 4.857142857142857 | Meriel: 5.5 | Defector: 1.0
Runde10,846.5,19,True,Elly: positive | Fidelity: negative | Marya: negative | Mignonne: positive | Nolana: negative | Meriel: positive | Camile: positive,Elly: 5.5 | Fidelity: 4.6 | Marya: 1.0 | Mignonne: 7.428571428571429 | Nolana: 4.6 | Meriel: 7.428571428571429 | Camile: 7.428571428571429
Runde11,927.5,3,True,Aubine: positive | Dorelia: positive | Elly: positive | Ekaterina: positive | Nolana: positive | Meriel: positive | Queenie: positive,Aubine: 8.615384615384615 | Dorelia: 6.4 | Elly: 6.142857142857143 | Ekaterina: 10 | Nolana: 5.846153846153846 | Meriel: 8.2 | Queenie: 10
Runde12,1000.0,7,True,Elly: positive | Ekaterina: positive | Marya: positive | Mignonne: positive | Virgina: positive | Irma: positive | Suzanna: positive,Elly: 6.4 | Ekaterina: 10.0 | Marya: 3.5714285714285716 | Mignonne: 8.2 | Virgina: 5.5 | Irma: 6.4 | Suzanna: 5.5
Runde13,1077.0,17,True,Dorelia: positive | Jodie: positive | Suzanna: positive | Selene: positive | Queenie: positive,Dorelia: 7.230769230769231 | Jodie: 6.4 | Suzanna: 6.142857142857143 | Selene: 4.6 | Queenie: 10.0
Runde14,1156.5,6,True,Fidelity: positive | Ekaterina: positive | Shir: positive | Irma: positive | Suzanna: positive | Queenie: positive,Fidelity: 5.846153846153846 | Ekaterina: 10.0 | Shir: 8.2 | Irma: 7.230769230769231 | Suzanna: 6.4 | Queenie: 10.0
Runde15,1247.5,3,True,Aubine: positive | Marya: positive | Mignonne: positive | Virgina: positive | Nolana: positive | Jodie: positive | Queenie: positive | Camile: positive,Aubine: 8.875 | Marya: 4.6 | Mignonne: 8.615384615384615 | Virgina: 6.2105263157894735 | Nolana: 6.625 | Jodie: 7.230769230769231 | Queenie: 10.0 | Camile: 8.2
Runde16,1317.0,2,True,Elly: positive | Fidelity: positive | Ekaterina: positive | Mignonne: positive | Nolana: positive | Irma: positive | Selene: positive,Elly: 6.538461538461538 | Fidelity: 6.625 | Ekaterina: 10.0 | Mignonne: 8.875 | Nolana: 7.157894736842105 | Irma: 7.75 | Selene: 5.153846153846154
Runde17,1402.5,0,True,Ekaterina: positive | Mignonne: positive,Ekaterina: 10.0 | Mignonne: 9.052631578947368
Runde18,1451.0,5,True,Elly: positive | Fidelity: positive | Mignonne: positive | Nolana: positive | Irma: positive | Meriel: positive | Camile: positive,Elly: 6.625 | Fidelity: 7.157894736842105 | Mignonne: 9.181818181818182 | Nolana: 7.545454545454546 | Irma: 8.105263157894736 | Meriel: 8.615384615384615 | Camile: 8.615384615384615
Runde19,1560.0,4,True,Dorelia: positive | Elly: positive | Selene: positive | Loralie: positive,Dorelia: 7.75 | Elly: 6.684210526315789 | Selene: 5.5 | Loralie: 7.428571428571429
Runde20,1632.0,0,True,Aubine: positive | Dorelia: positive | Fidelity: positive | Ekaterina: positive | Marya: positive | Mignonne: positive | Shir: positive | Eartha: positive | Virgina: positive | Loralie: positive | Meriel: positive,Aubine: 9.052631578947368 | Dorelia: 8.105263157894736 | Fidelity: 7.545454545454546 | Ekaterina: 10.0 | Marya: 5.153846153846154 | Mignonne: 9.28 | Shir: 8.615384615384615 | Eartha: 6.4 | Virgina: 6.7272727272727275 | Loralie: 8.2 | Meriel: 8.875
Runde21,1710.0,9,True,Aubine: positive | Dorelia: positive | Elly: positive | Nolana: positive | Irma: positive | Selene: positive | Meriel: positive | Queenie: positive | Camile: positive,Aubine: 9.181818181818182 | Dorelia: 8.363636363636363 | Elly: 6.7272727272727275 | Nolana: 7.84 | Irma: 8.363636363636363 | Selene: 5.7368421052631575 | Meriel: 9.052631578947368 | Queenie: 10.0 | Camile: 8.875
Runde22,1777.5,10,True,Aubine: positive | Fidelity: positive | Marya: positive | Nolana: positive | Jodie: positive | Suzanna: positive | Selene: positive | Meriel: positive | Queenie: positive,Aubine: 9.28 | Fidelity: 7.84 | Marya: 5.5 | Nolana: 8.071428571428571 | Jodie: 7.75 | Suzanna: 6.538461538461538 | Selene: 5.909090909090909 | Meriel: 9.181818181818182 | Queenie: 10.0
Runde23,1849.0,2,True,Dorelia: positive | Fidelity: positive | Mignonne: positive | Shir: positive | Selene: positive | Camile: positive,Dorelia: 8.56 | Fidelity: 8.071428571428571 | Mignonne: 9.357142857142858 | Shir: 8.875 | Selene: 6.04 | Camile: 9.052631578947368
Runde24,1915.5,1,True,Fidelity: positive | Marya: positive | Eartha: positive | Virgina: positive | Jodie: positive | Irma: positive | Loralie: positive,Fidelity: 8.258064516129032 | Marya: 5.7368421052631575 | Eartha: 7.230769230769231 | Virgina: 7.12 | Jodie: 8.105263157894736 | Irma: 8.56 | Loralie: 8.615384615384615
Runde25,,,False,,
