Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,3.0,4,False,,
Runde2,4.0,1,False,,
Runde3,2.0,4,False,,
Runde4,3.5,1,False,,
Runde5,4.5,0,False,,
Runde6,5.0,3,False,Merrielle: positive,Merrielle: 10
Runde7,5.5,1,False,,
Runde8,5.5,0,False,Merrielle: positive,Merrielle: 10.0
Runde9,5.5,0,False,,
Runde10,7.5,1,False,,
Runde11,13.5,3,False,Defector: negative,Defector: 1
Runde12,14.5,8,False,,
Runde13,19.0,0,False,Merrielle: positive,Merrielle: 10.0
Runde14,21.0,8,False,,
Runde15,17.5,13,False,,
Runde16,12.5,10,False,Merrielle: positive,Merrielle: 10.0
Runde17,13.0,10,False,,
Runde18,15.5,1,False,Merrielle: negative | Defector: negative,Merrielle: 8.875 | Defector: 1.0
Runde19,38.0,1,False,Merrielle: negative | Defector: negative,Merrielle: 8.105263157894736 | Defector: 1.0
Runde20,34.0,14,False,Defector: negative,Defector: 1.0
Runde21,35.0,4,False,,
Runde22,43.0,4,False,Merrielle: positive,Merrielle: 8.363636363636363
Runde23,44.5,3,False,,
Runde24,42.5,16,False,,
Runde25,44.0,3,False,,
Runde26,,,False,,
